"sample_id","geo_accession","tissue_from_sample_id","inferred_group_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","gene_level_TPM_sum","genes_with_TPM_gt0","effective_length_NA_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140483_REPAIR11_cartilage","GSM7140483","cartilage","Repair_52W",13392011.285,16539,16535,992755.760571,16539,0,0,2005.1605
"GSM7140484_CON12_cartilage","GSM7140484","cartilage","Control_52W",18068618.606,16511,16508,993690.441326,16511,0,0,2055.1165
"GSM7140485_REPAIR12_cartilage","GSM7140485","cartilage","Repair_52W",12337241.84,16034,16031,993221.759978,16034,0,0,1931.05241884805
"GSM7140486_CON1_synovium","GSM7140486","synovium","Control_52W",7108677.116,16731,16728,981863.043931,16731,0,0,2068.9815
"GSM7140487_ACLT1_synovium","GSM7140487","synovium","ACLT_alone_52W",10334100.022,16660,16658,980475.263179,16660,0,0,2037.95531106996
"GSM7140488_ACLT2_synovium","GSM7140488","synovium","ACLT_alone_52W",10521456.74,16880,16877,979505.05989,16880,0,0,2062.31214592531
"GSM7140489_ACLT3_synovium","GSM7140489","synovium","ACLT_alone_52W",18669779.773,16495,16493,979341.430609,16495,0,0,2065.7685
"GSM7140490_ACLT4_synovium","GSM7140490","synovium","ACLT_alone_52W",9298836.883,16367,16362,976777.647923,16367,0,0,2087.92252978312
"GSM7140491_CON2_synovium","GSM7140491","synovium","Control_52W",8959038.859,16672,16664,979800.471957,16672,0,0,2070.90054166667
"GSM7140492_ACLT5_synovium","GSM7140492","synovium","ACLT_alone_52W",9066421.989,16613,16605,977392.226415,16613,0,0,2090.1855
"GSM7140493_ACLT6_synovium","GSM7140493","synovium","ACLT_alone_52W",10831988.018,16291,16289,975265.836718,16291,0,0,1959.06640140907
"GSM7140494_ACLT7_synovium","GSM7140494","synovium","ACLT_alone_52W",10627442.631,16710,16701,986966.072494,16710,0,0,2012.78023897871
"GSM7140495_CON3_synovium","GSM7140495","synovium","Control_52W",9719015.249,16993,16984,978064.348262,16993,0,0,2001.26614240395
"GSM7140496_ACLT8_synovium","GSM7140496","synovium","ACLT_alone_52W",12200496.595,16912,16905,978661.867805,16912,0,0,2080.26872828308
"GSM7140497_ACLT9_synovium","GSM7140497","synovium","ACLT_alone_52W",7706255.524,16517,16516,979277.1305,16517,0,0,2037.70745999056
"GSM7140498_ACLT10_synovium","GSM7140498","synovium","ACLT_alone_52W",9007486.319,16511,16511,974016.532623,16511,0,0,2017.821
"GSM7140499_ACLT11_synovium","GSM7140499","synovium","ACLT_alone_52W",8387249.214,15741,15737,988328.28969,15741,0,0,1973.05
"GSM7140500_CON4_synovium","GSM7140500","synovium","Control_52W",8391254.347,16672,16671,981488.074192,16672,0,0,2120.24623850432
"GSM7140501_ACLT12_synovium","GSM7140501","synovium","ACLT_alone_52W",10569945.072,15555,15555,982363.945739,15555,0,0,1840.09138113214
