"geo_accession","sample_id","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index","inventory_quant_path","inventory_tissue","inventory_group","matched_quant_inventory_by_GSM"
"GSM7140449","GSM7140449_ACLT9_cartilage","ACLT9_cartilage","cartilage","ACLT_alone_52W",12,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","cartilage","ACLT_alone_52W",TRUE
"GSM7140450","GSM7140450_ACLT10_cartilage","ACLT10_cartilage","cartilage","ACLT_alone_52W",13,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","cartilage","ACLT_alone_52W",TRUE
"GSM7140451","GSM7140451_ACLT11_cartilage","ACLT11_cartilage","cartilage","ACLT_alone_52W",14,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","cartilage","ACLT_alone_52W",TRUE
"GSM7140452","GSM7140452_CON4_cartilage","CON4_cartilage","cartilage","Control_52W",15,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140452_CON4_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140453","GSM7140453_ACLT12_cartilage","ACLT12_cartilage","cartilage","ACLT_alone_52W",16,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","cartilage","ACLT_alone_52W",TRUE
"GSM7140454","GSM7140454_CON5_cartilage","CON5_cartilage","cartilage","Control_52W",17,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140454_CON5_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140455","GSM7140455_RECON1_cartilage","RECON1_cartilage","cartilage","Reconstruction_52W",18,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140455_RECON1_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140456","GSM7140456_RECON2_cartilage","RECON2_cartilage","cartilage","Reconstruction_52W",19,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140456_RECON2_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140457","GSM7140457_RECON3_cartilage","RECON3_cartilage","cartilage","Reconstruction_52W",20,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140457_RECON3_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140458","GSM7140458_RECON4_cartilage","RECON4_cartilage","cartilage","Reconstruction_52W",21,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140458_RECON4_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140459","GSM7140459_CON6_cartilage","CON6_cartilage","cartilage","Control_52W",22,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140459_CON6_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140460","GSM7140460_RECON5_cartilage","RECON5_cartilage","cartilage","Reconstruction_52W",23,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140460_RECON5_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140461","GSM7140461_RECON6_cartilage","RECON6_cartilage","cartilage","Reconstruction_52W",24,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140461_RECON6_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140462","GSM7140462_RECON7_cartilage","RECON7_cartilage","cartilage","Reconstruction_52W",25,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140462_RECON7_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140463","GSM7140463_CON7_cartilage","CON7_cartilage","cartilage","Control_52W",26,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140463_CON7_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140464","GSM7140464_RECON8_cartilage","RECON8_cartilage","cartilage","Reconstruction_52W",27,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140464_RECON8_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140465","GSM7140465_RECON9_cartilage","RECON9_cartilage","cartilage","Reconstruction_52W",28,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140465_RECON9_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140466","GSM7140466_RECON10_cartilage","RECON10_cartilage","cartilage","Reconstruction_52W",29,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140466_RECON10_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140467","GSM7140467_RECON11_cartilage","RECON11_cartilage","cartilage","Reconstruction_52W",30,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140467_RECON11_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140468","GSM7140468_CON8_cartilage","CON8_cartilage","cartilage","Control_52W",31,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140468_CON8_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140469","GSM7140469_RECON12_cartilage","RECON12_cartilage","cartilage","Reconstruction_52W",32,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140469_RECON12_cartilage_quant.sf.txt.gz","cartilage","Reconstruction_52W",TRUE
"GSM7140470","GSM7140470_CON9_cartilage","CON9_cartilage","cartilage","Control_52W",33,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140470_CON9_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140471","GSM7140471_REPAIR1_cartilage","REPAIR1_cartilage","cartilage","Repair_52W",34,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140472","GSM7140472_REPAIR2_cartilage","REPAIR2_cartilage","cartilage","Repair_52W",35,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
