"file_label","file","exists","n_rows","n_control_52w","n_aclt_alone_52w","n_reconstruction_52w","n_repair_52w"
"step25v3_synovium_manifest","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_manifest.csv",TRUE,48,12,12,12,12
"step25v3_main_comparison_manifest","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv",TRUE,24,12,12,0,0
