"sample_id","geo_accession","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index"
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11_synovium","synovium","ACLT_alone_52W",62
"GSM7140500_CON4_synovium","GSM7140500","CON4_synovium","synovium","Control_52W",63
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12_synovium","synovium","ACLT_alone_52W",64
"GSM7140502_CON5_synovium","GSM7140502","CON5_synovium","synovium","Control_52W",65
"GSM7140503_RECON1_synovium","GSM7140503","RECON1_synovium","synovium","Reconstruction_52W",66
"GSM7140504_RECON2_synovium","GSM7140504","RECON2_synovium","synovium","Reconstruction_52W",67
"GSM7140505_RECON3_synovium","GSM7140505","RECON3_synovium","synovium","Reconstruction_52W",68
"GSM7140506_RECON4_synovium","GSM7140506","RECON4_synovium","synovium","Reconstruction_52W",69
"GSM7140507_CON6_synovium","GSM7140507","CON6_synovium","synovium","Control_52W",70
"GSM7140508_RECON5_synovium","GSM7140508","RECON5_synovium","synovium","Reconstruction_52W",71
"GSM7140509_RECON6_synovium","GSM7140509","RECON6_synovium","synovium","Reconstruction_52W",72
"GSM7140510_RECON7_synovium","GSM7140510","RECON7_synovium","synovium","Reconstruction_52W",73
"GSM7140511_CON7_synovium","GSM7140511","CON7_synovium","synovium","Control_52W",74
"GSM7140512_RECON8_synovium","GSM7140512","RECON8_synovium","synovium","Reconstruction_52W",75
"GSM7140513_RECON9_synovium","GSM7140513","RECON9_synovium","synovium","Reconstruction_52W",76
"GSM7140514_RECON10_synovium","GSM7140514","RECON10_synovium","synovium","Reconstruction_52W",77
"GSM7140515_RECON11_synovium","GSM7140515","RECON11_synovium","synovium","Reconstruction_52W",78
"GSM7140516_CON8_synovium","GSM7140516","CON8_synovium","synovium","Control_52W",79
"GSM7140517_RECON12_synovium","GSM7140517","RECON12_synovium","synovium","Reconstruction_52W",80
"GSM7140518_CON9_synovium","GSM7140518","CON9_synovium","synovium","Control_52W",81
"GSM7140519_REPAIR1_synovium","GSM7140519","REPAIR1_synovium","synovium","Repair_52W",82
"GSM7140520_REPAIR2_synovium","GSM7140520","REPAIR2_synovium","synovium","Repair_52W",83
"GSM7140521_REPAIR3_synovium","GSM7140521","REPAIR3_synovium","synovium","Repair_52W",84
"GSM7140522_REPAIR4_synovium","GSM7140522","REPAIR4_synovium","synovium","Repair_52W",85
"GSM7140523_CON10_synovium","GSM7140523","CON10_synovium","synovium","Control_52W",86
"GSM7140524_REPAIR5_synovium","GSM7140524","REPAIR5_synovium","synovium","Repair_52W",87
"GSM7140525_REPAIR6_synovium","GSM7140525","REPAIR6_synovium","synovium","Repair_52W",88
"GSM7140526_REPAIR7_synovium","GSM7140526","REPAIR7_synovium","synovium","Repair_52W",89
"GSM7140527_CON11_synovium","GSM7140527","CON11_synovium","synovium","Control_52W",90
"GSM7140528_REPAIR8_synovium","GSM7140528","REPAIR8_synovium","synovium","Repair_52W",91
"GSM7140529_REPAIR9_synovium","GSM7140529","REPAIR9_synovium","synovium","Repair_52W",92
"GSM7140530_REPAIR10_synovium","GSM7140530","REPAIR10_synovium","synovium","Repair_52W",93
"GSM7140531_REPAIR11_synovium","GSM7140531","REPAIR11_synovium","synovium","Repair_52W",94
"GSM7140532_CON12_synovium","GSM7140532","CON12_synovium","synovium","Control_52W",95
"GSM7140533_REPAIR12_synovium","GSM7140533","REPAIR12_synovium","synovium","Repair_52W",96
