"item","value"
"R_version","4.5.2"
"platform","x86_64-w64-mingw32"
"edgeR_version","4.8.2"
"ggplot2_version","4.0.2"
"score_input","Step18_current78 pig signature gene table and Step16 full gene-level count matrix"
"normalization","edgeR TMM-normalized logCPM from full count matrix"
"logCPM_prior_count","1"
"row_standardization","row-wise z-score across all 18 pig early samples"
