"sample_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"GSM7140486_CON1_synovium",0,74.7757355114802,65.0179728836304,73.9610201528056,92.3125269288696,76.0555814915433,68.6233156716792,86.446975706659,67.171237433245,89.6082382642796,107.023154348321,93.7686024630351,101.51576140083,82.6130605496896,110.735130646108,117.959507351819,90.5526635667339,112.816275820528,91.6243834868827,88.612569891021,90.5374338086415,88.0969188084513,123.223190273315,127.035313453649
"GSM7140491_CON2_synovium",74.7757355114802,0,72.7331503014438,75.0718481011164,82.0080572005998,65.1646139329231,64.2020247914184,80.0936627115203,62.8477974243325,77.5307101147444,92.6237037287255,84.1760078566653,103.629013090923,91.2488258286009,99.3229854923138,104.416552415951,84.0628529019276,97.9988066006061,91.9130697583731,91.8376824191727,87.5240594706118,83.9768034879536,112.24306113277,117.038248041391
"GSM7140495_CON3_synovium",65.0179728836304,72.7331503014438,0,77.9791002950366,85.0523490320552,77.719975032704,67.5206854545706,87.6422091526578,60.5322235386355,80.7207278338462,100.966608132138,89.2395976056154,91.482176405487,79.18815910222,108.733706962969,113.052736351744,91.136910835371,104.006700446722,98.5964869255928,85.7338685254041,88.3302013404174,77.8806685848991,124.789951370243,119.23689932484
"GSM7140500_CON4_synovium",73.9610201528056,75.0718481011164,77.9791002950366,0,82.2774084748078,67.1472308434836,67.1231044496508,70.9961452189986,72.7469737998769,81.7653744026986,104.010672762865,86.5215684535593,108.156694672623,90.8341561919948,102.514916502562,106.620690834252,76.5098030017522,102.538231761985,99.9225081967111,88.5243054899493,87.2269101983508,89.9022861709585,120.991266416725,122.219797579627
"GSM7140502_CON5_synovium",92.3125269288696,82.0080572005998,85.0523490320552,82.2774084748078,0,81.2074217069715,79.5971495984291,80.0875817475828,72.2837702775702,82.7790635756182,87.5570363646556,88.4110789229087,103.09843498016,95.2556476338056,93.0151010608652,89.1389919834056,83.1812703833788,91.119497558882,113.719097180086,80.3125318506541,85.6550646430576,91.1527623952751,117.815246341907,114.96689781086
"GSM7140507_CON6_synovium",76.0555814915433,65.1646139329231,77.719975032704,67.1472308434836,81.2074217069715,0,59.3787826913588,72.2317800978538,66.3529015107121,72.5741404571578,106.354570584308,78.5162616389447,114.762780073157,98.3178612543681,107.004943863825,104.013967044326,89.7556670734485,104.0025523151,103.846797265529,97.8191063210225,96.8566719077402,92.2633974194122,129.383551515596,122.018555922983
"GSM7140511_CON7_synovium",68.6233156716792,64.2020247914184,67.5206854545706,67.1231044496508,79.5971495984291,59.3787826913588,0,66.9591573465304,56.2060862584054,65.8475647321072,101.279648197931,77.5510833785578,107.72547405852,88.8646699510321,105.222253660256,98.3452865980364,85.9217476079815,98.7874529252875,98.7715033415234,89.9091364236,91.8261185327839,80.1650003208166,126.832328064703,117.855492820019
"GSM7140516_CON8_synovium",86.446975706659,80.0936627115203,87.6422091526578,70.9961452189986,80.0875817475828,72.2317800978538,66.9591573465304,0,74.4216948503808,66.7114933654971,109.477137415905,72.8725650560803,120.513487377784,106.585490036027,110.312974185608,99.2355673099795,90.8593627823592,106.703696329001,119.110198046687,93.5248104134499,101.690400346033,94.5582833136843,133.299690700682,131.216357517596
"GSM7140518_CON9_synovium",67.171237433245,62.8477974243325,60.5322235386355,72.7469737998769,72.2837702775702,66.3529015107121,56.2060862584054,74.4216948503808,0,69.6231463839299,91.5911856819024,77.656508908716,101.977922236718,87.623556736358,105.983415289301,103.988814327982,88.6632548153613,97.2988551631079,104.080076525565,86.958420663291,89.2544925685293,81.7915197743812,125.954030118094,116.794837991681
"GSM7140523_CON10_synovium",89.6082382642796,77.5307101147444,80.7207278338462,81.7653744026986,82.7790635756182,72.5741404571578,65.8475647321072,66.7114933654971,69.6231463839299,0,111.858704983372,63.8637254807196,120.393943446916,110.612705398551,120.60195669184,101.147445059101,98.5821523128068,108.841179150316,127.358300780346,97.5847119238804,108.852560165503,88.8286645509422,144.042838821007,128.827102131032
"GSM7140527_CON11_synovium",107.023154348321,92.6237037287255,100.966608132138,104.010672762865,87.5570363646556,106.354570584308,101.279648197931,109.477137415905,91.5911856819024,111.858704983372,0,115.052802592263,82.0781123557291,85.1855424207715,79.3865826310174,84.1075926994879,72.2797759278026,85.2907117183702,96.9234968249326,82.9818474666223,77.9587100625586,94.416252835355,97.9768775407508,110.753130913248
"GSM7140532_CON12_synovium",93.7686024630351,84.1760078566653,89.2395976056154,86.5215684535593,88.4110789229087,78.5162616389447,77.5510833785578,72.8725650560803,77.656508908716,63.8637254807196,115.052802592263,0,122.882777537467,111.778515622885,125.974247855338,107.402575115401,102.6733850596,119.786584054545,132.406790800323,99.6707810397673,109.661912745913,101.781497739461,143.178144530954,139.682609649358
"GSM7140487_ACLT1_synovium",101.51576140083,103.629013090923,91.482176405487,108.156694672623,103.09843498016,114.762780073157,107.72547405852,120.513487377784,101.977922236718,120.393943446916,82.0781123557291,122.882777537467,0,61.6258787431992,94.6762797486651,107.738145895337,83.8805934354278,103.863388134259,93.8452094758389,73.6063609990645,78.2051194542102,91.9123336346846,104.72254175326,118.708390975972
"GSM7140488_ACLT2_synovium",82.6130605496896,91.2488258286009,79.18815910222,90.8341561919948,95.2556476338056,98.3178612543681,88.8646699510321,106.585490036027,87.623556736358,110.612705398551,85.1855424207715,111.778515622885,61.6258787431992,0,91.387957874376,105.740679527607,76.6627283307506,99.3707050472679,81.7908009689551,67.3842406583359,68.8696179754329,84.8684847302019,103.955814292603,115.915696645008
"GSM7140489_ACLT3_synovium",110.735130646108,99.3229854923138,108.733706962969,102.514916502562,93.0151010608652,107.004943863825,105.222253660256,110.312974185608,105.983415289301,120.60195669184,79.3865826310174,125.974247855338,94.6762797486651,91.387957874376,0,86.8060784964827,77.3278368576699,85.9227709031419,92.0930862207877,89.5935402029465,80.4566789443252,91.5032473080333,94.1762693026379,109.306663567599
"GSM7140490_ACLT4_synovium",117.959507351819,104.416552415951,113.052736351744,106.620690834252,89.1389919834056,104.013967044326,98.3452865980364,99.2355673099795,103.988814327982,101.147445059101,84.1075926994879,107.402575115401,107.738145895337,105.740679527607,86.8060784964827,0,82.4118782859318,88.8687507984631,120.425409268973,91.5826611907544,97.4962202561914,95.8879782063226,120.824517361679,119.093296114855
