"sample_id","PC1","PC2","PC3","group"
"GSM7140486_CON1_synovium",-24.2291101629846,38.2859149667815,12.9588042301561,"Control_52W"
"GSM7140491_CON2_synovium",-20.8004474037765,11.6985906659694,6.56406465020063,"Control_52W"
"GSM7140495_CON3_synovium",-22.8859469934381,25.0070351036829,17.5468621140628,"Control_52W"
"GSM7140500_CON4_synovium",-26.356576351852,12.1237012429521,-0.982513738218412,"Control_52W"
"GSM7140502_CON5_synovium",-12.899733831082,-20.1512377633298,-13.9120780763063,"Control_52W"
"GSM7140507_CON6_synovium",-39.0066957753024,4.10948266102982,6.01016077941113,"Control_52W"
"GSM7140511_CON7_synovium",-35.752014941864,5.52929556289633,9.11633276412877,"Control_52W"
"GSM7140516_CON8_synovium",-45.3052746877316,-10.2780486894707,-16.1508185362772,"Control_52W"
"GSM7140518_CON9_synovium",-32.2122022675457,6.79758644298608,9.37937763571904,"Control_52W"
"GSM7140523_CON10_synovium",-55.7414931548863,-16.3477360235682,-4.22181149573286,"Control_52W"
"GSM7140527_CON11_synovium",36.4262818012347,-15.3655811863363,-16.0396607950687,"Control_52W"
"GSM7140532_CON12_synovium",-56.9419995407906,-7.83471412316315,-21.0807209769151,"Control_52W"
"GSM7140487_ACLT1_synovium",41.4516233832853,21.4271885621196,-3.93743254626296,"ACLT_alone_52W"
"GSM7140488_ACLT2_synovium",25.2797473533623,29.5208108494841,2.01404952854631,"ACLT_alone_52W"
"GSM7140489_ACLT3_synovium",44.5070940269528,-17.8355421173912,-9.9496422720371,"ACLT_alone_52W"
"GSM7140490_ACLT4_synovium",12.9509660829483,-50.8275268592942,-30.1921302465846,"ACLT_alone_52W"
"GSM7140492_ACLT5_synovium",18.4739883306828,-3.47301748014659,-19.3265977780273,"ACLT_alone_52W"
"GSM7140493_ACLT6_synovium",22.8232064378298,-41.3208924757151,17.349225739624,"ACLT_alone_52W"
"GSM7140494_ACLT7_synovium",36.8726101652977,39.0033752143395,21.3554952796917,"ACLT_alone_52W"
"GSM7140496_ACLT8_synovium",13.2548914273775,2.84829332874931,-18.4361168891691,"ACLT_alone_52W"
"GSM7140497_ACLT9_synovium",26.8075721112271,11.1296423582507,-9.30409196956605,"ACLT_alone_52W"
"GSM7140498_ACLT10_synovium",1.0403298761235,-5.5194604807246,18.4936051884131,"ACLT_alone_52W"
"GSM7140499_ACLT11_synovium",61.1920547236902,24.8204130190017,-26.7707772116307,"ACLT_alone_52W"
"GSM7140501_ACLT12_synovium",31.0511293912412,-43.3475727791037,69.5164146218432,"ACLT_alone_52W"
