"sample_id","group","score_name","untrimmed_score","trimmed_score","delta_trimmed_minus_untrimmed"
"CON1","Control","directional_score",-0.527245622975577,-0.528381915781894,-0.001136292806317
"CON2","Control","directional_score",-0.685372952095711,-0.682488886834089,0.00288406526162244
"CON3","Control","directional_score",-0.689993501388455,-0.69529644800499,-0.00530294661653552
"CON4","Control","directional_score",-0.603367499305398,-0.640295614544808,-0.0369281152394098
"CON5","Control","directional_score",-0.269466970249732,-0.276173194348795,-0.00670622409906313
"CON6","Control","directional_score",-0.516891767124516,-0.537818471572823,-0.0209267044483066
"INJL1","ACLT_t28","directional_score",0.105370372635466,0.10430472521624,-0.00106564741922598
"INJL2","ACLT_t28","directional_score",0.146958651000206,0.155524354648429,0.00856570364822271
"INJL3","ACLT_t28","directional_score",0.234110321479203,0.255113201141034,0.0210028796618317
"INJL4","ACLT_t28","directional_score",0.218889395096232,0.231990587593736,0.013101192497504
"INJL5","ACLT_t28","directional_score",0.0761202322265876,0.0769392176873565,0.000818985460768903
"INJL6","ACLT_t28","directional_score",0.0765352326661191,0.0641905610522664,-0.0123446716138527
"INJS1","ACLT_t7","directional_score",0.358262456826779,0.346155487533243,-0.0121069692935359
"INJS2","ACLT_t7","directional_score",0.302097999736812,0.32719646084191,0.0250984611050974
"INJS3","ACLT_t7","directional_score",0.38391848221321,0.393639084311854,0.00972060209864389
"INJS4","ACLT_t7","directional_score",0.431457546709744,0.418421093395858,-0.0130364533138869
"INJS5","ACLT_t7","directional_score",0.5324069403465,0.573104232815144,0.0406972924686447
"INJS6","ACLT_t7","directional_score",0.42621068220253,0.413875524850329,-0.012335157352201
"CON1","Control","directional_score_sum_means",-1.03108689963135,-1.02755474820382,0.00353215142752727
"CON2","Control","directional_score_sum_means",-1.35992201140882,-1.35885513074107,0.00106688066775118
"CON3","Control","directional_score_sum_means",-1.07687127601677,-1.06668008199126,0.0101911940255106
"CON4","Control","directional_score_sum_means",-1.33233531941124,-1.3211045409944,0.0112307784168313
"CON5","Control","directional_score_sum_means",-0.878203599750514,-0.87720272475242,0.00100087499809398
"CON6","Control","directional_score_sum_means",-0.926994947458465,-0.919988756397642,0.00700619106082323
"INJL1","ACLT_t28","directional_score_sum_means",0.300731939837333,0.300423979841,-0.000307959996332652
"INJL2","ACLT_t28","directional_score_sum_means",0.40592600386612,0.405117357070258,-0.000808646795862344
"INJL3","ACLT_t28","directional_score_sum_means",0.995546960990587,0.99659573216809,0.00104877117750335
"INJL4","ACLT_t28","directional_score_sum_means",1.0281614621744,1.02855005121943,0.000388589045022814
"INJL5","ACLT_t28","directional_score_sum_means",0.40484072168404,0.402920214194635,-0.00192050748940509
"INJL6","ACLT_t28","directional_score_sum_means",0.200089646608697,0.200056549571307,-3.30970373897399e-05
"INJS1","ACLT_t7","directional_score_sum_means",0.83594577759404,0.830910512272499,-0.00503526532154108
"INJS2","ACLT_t7","directional_score_sum_means",0.393562496417381,0.403700416695802,0.0101379202784211
"INJS3","ACLT_t7","directional_score_sum_means",0.261441205413533,0.251562574265425,-0.00987863114810766
"INJS4","ACLT_t7","directional_score_sum_means",0.556310275346422,0.548202455903364,-0.00810781944305772
"INJS5","ACLT_t7","directional_score_sum_means",0.697377873924134,0.688604770703834,-0.0087731032203
"INJS6","ACLT_t7","directional_score_sum_means",0.525479689820463,0.514741369174976,-0.0107383206454871
"CON1","Control","up_score",-0.531500958670087,-0.533692658210979,-0.0021916995408916
"CON2","Control","up_score",-0.687340932601639,-0.683602094639017,0.00373883796262131
"CON3","Control","up_score",-0.74510545170848,-0.754189686917484,-0.00908423520900481
"CON4","Control","up_score",-0.580531077341682,-0.632929557834847,-0.0523984804931643
"CON5","Control","up_score",-0.207781577658632,-0.217108405975189,-0.00932682831655771
"CON6","Control","up_score",-0.53630787381371,-0.566118141890641,-0.0298102680769314
"INJL1","ACLT_t28","up_score",0.0890083372597563,0.0876111744146905,-0.00139716284506587
"INJL2","ACLT_t28","up_score",0.126593432479168,0.138420964144174,0.0118275316650059
"INJL3","ACLT_t28","up_score",0.138232809109715,0.16668241388903,0.0284496047793154
"INJL4","ACLT_t28","up_score",0.111547091099515,0.129341701042471,0.0177946099429559
"INJL5","ACLT_t28","up_score",0.0301929127300667,0.0316588942655524,0.00146598153548577
"INJL6","ACLT_t28","up_score",0.0679862906158539,0.0511586651492166,-0.0168276254666373
"INJS1","ACLT_t7","up_score",0.336549572473964,0.320955571677604,-0.0155940007963596
"INJS2","ACLT_t7","up_score",0.340395000292493,0.372776916294276,0.0323819160017836
"INJS3","ACLT_t7","up_score",0.475990438397372,0.491041919649724,0.0150514812523521
"INJS4","ACLT_t7","up_score",0.487203877268484,0.470901044466467,-0.0163028328020171
"INJS5","ACLT_t7","up_score",0.599213487031748,0.656304904619954,0.0570914175882065
"INJS6","ACLT_t7","up_score",0.485654623036094,0.470786375854999,-0.0148682471810946
"CON1","Control","down_score_reoriented",-0.499585940961261,-0.493862089992843,0.00572385096841888
"CON2","Control","down_score_reoriented",-0.672581078807184,-0.675253036102054,-0.00267195729487024
"CON3","Control","down_score_reoriented",-0.331765824308293,-0.312490395073777,0.0192754292345154
"CON4","Control","down_score_reoriented",-0.751804242069554,-0.688174983159558,0.0636292589099955
"CON5","Control","down_score_reoriented",-0.670422022091882,-0.660094318777231,0.0103277033146517
"CON6","Control","down_score_reoriented",-0.390687073644755,-0.353870614507001,0.0368164591377547
"INJL1","ACLT_t28","down_score_reoriented",0.211723602577577,0.21281280542631,0.00108920284873323
"INJL2","ACLT_t28","down_score_reoriented",0.279332571386952,0.266696392926084,-0.0126361784608683
"INJL3","ACLT_t28","down_score_reoriented",0.857314151880872,0.82991331827906,-0.0274008336018121
"INJL4","ACLT_t28","down_score_reoriented",0.916614371074889,0.899208350176956,-0.017406020897933
"INJL5","ACLT_t28","down_score_reoriented",0.374647808953974,0.371261319929083,-0.0033864890248908
"INJL6","ACLT_t28","down_score_reoriented",0.132103355992843,0.14889788442209,0.0167945284292476
"INJS1","ACLT_t7","down_score_reoriented",0.499396205120076,0.509954940594894,0.0105587354748185
"INJS2","ACLT_t7","down_score_reoriented",0.0531674961248883,0.0309235004015258,-0.0222439957233625
"INJS3","ACLT_t7","down_score_reoriented",-0.214549232983839,-0.239479345384299,-0.0249301124004598
"INJS4","ACLT_t7","down_score_reoriented",0.0691063980779376,0.0773014114368969,0.00819501335895931
"INJS5","ACLT_t7","down_score_reoriented",0.0981643868923867,0.0322998660838803,-0.0658645208085064
"INJS6","ACLT_t7","down_score_reoriented",0.0398250667843698,0.0439549933199773,0.00412992653560753
"CON1","Control","down_score_raw",0.499585940961261,0.493862089992843,-0.00572385096841888
"CON2","Control","down_score_raw",0.672581078807184,0.675253036102054,0.00267195729487024
"CON3","Control","down_score_raw",0.331765824308293,0.312490395073777,-0.0192754292345154
"CON4","Control","down_score_raw",0.751804242069554,0.688174983159558,-0.0636292589099955
"CON5","Control","down_score_raw",0.670422022091882,0.660094318777231,-0.0103277033146517
"CON6","Control","down_score_raw",0.390687073644755,0.353870614507001,-0.0368164591377547
"INJL1","ACLT_t28","down_score_raw",-0.211723602577577,-0.21281280542631,-0.00108920284873323
"INJL2","ACLT_t28","down_score_raw",-0.279332571386952,-0.266696392926084,0.0126361784608683
"INJL3","ACLT_t28","down_score_raw",-0.857314151880872,-0.82991331827906,0.0274008336018121
"INJL4","ACLT_t28","down_score_raw",-0.916614371074889,-0.899208350176956,0.017406020897933
"INJL5","ACLT_t28","down_score_raw",-0.374647808953974,-0.371261319929083,0.0033864890248908
"INJL6","ACLT_t28","down_score_raw",-0.132103355992843,-0.14889788442209,-0.0167945284292476
"INJS1","ACLT_t7","down_score_raw",-0.499396205120076,-0.509954940594894,-0.0105587354748185
"INJS2","ACLT_t7","down_score_raw",-0.0531674961248883,-0.0309235004015258,0.0222439957233625
"INJS3","ACLT_t7","down_score_raw",0.214549232983839,0.239479345384299,0.0249301124004598
"INJS4","ACLT_t7","down_score_raw",-0.0691063980779376,-0.0773014114368969,-0.00819501335895931
"INJS5","ACLT_t7","down_score_raw",-0.0981643868923867,-0.0322998660838803,0.0658645208085064
"INJS6","ACLT_t7","down_score_raw",-0.0398250667843698,-0.0439549933199773,-0.00412992653560753
"CON1","Control","total_score_unoriented",-0.394022705385907,-0.396685358450469,-0.00266265306456198
"CON2","Control","total_score_unoriented",-0.506017997747129,-0.502421410540208,0.00359658720692113
"CON3","Control","total_score_unoriented",-0.601522614906243,-0.611965675985316,-0.0104430610790729
"CON4","Control","total_score_unoriented",-0.402886368086851,-0.456782285702259,-0.0538959176154085
"CON5","Control","total_score_unoriented",-0.0906877643585632,-0.100148042674867,-0.00946027831630356
"CON6","Control","total_score_unoriented",-0.412708547485915,-0.443452974370956,-0.0307444268850412
"INJL1","ACLT_t28","total_score_unoriented",0.0489107452814453,0.0475546437692237,-0.00135610151222152
"INJL2","ACLT_t28","total_score_unoriented",0.0724699652970189,0.0844053165348065,0.0119353512377876
"INJL3","ACLT_t28","total_score_unoriented",0.00549321431096993,0.0338029829332849,0.028309768622315
"INJL4","ACLT_t28","total_score_unoriented",-0.0255411038570719,-0.00779830578678579,0.0177427980702862
"INJL5","ACLT_t28","total_score_unoriented",-0.0237858501611387,-0.0220638009603989,0.00172204920073977
"INJL6","ACLT_t28","total_score_unoriented",0.0413076710680277,0.024484458539709,-0.0168232125283187
"INJS1","ACLT_t7","total_score_unoriented",0.225090135461425,0.210167503374604,-0.0149226320868208
"INJS2","ACLT_t7","total_score_unoriented",0.287920000770175,0.318950194068169,0.0310301932979941
"INJS3","ACLT_t7","total_score_unoriented",0.441131611008901,0.457500243081001,0.0163686320720998
"INJS4","ACLT_t7","total_score_unoriented",0.413029173888961,0.397807383679352,-0.0152217902096093
"INJS5","ACLT_t7","total_score_unoriented",0.50622977050853,0.564490935192776,0.0582611646842464
"INJS6","ACLT_t7","total_score_unoriented",0.415590664393365,0.402154193298335,-0.0134364710950297
