"branch","sample_id","raw_library_size","TMM_norm_factor","effective_library_size"
"trimmed","CON1",10625439,0.984648172531512,10462319.0936951
"trimmed","CON2",8000690,0.946997680611808,7576634.87329409
"trimmed","CON3",12107657,0.892684087990427,10808312.7467459
"trimmed","CON4",14011784,1.03539689810953,14507757.6905807
"trimmed","CON5",18316030,0.987295192883496,18083328.3717099
"trimmed","CON6",10742940,1.06483728063046,11439483.0155762
"trimmed","INJS1",14263343,0.993586633279925,14171866.9506868
"trimmed","INJS2",13541819,0.967970040539864,13108075.0864135
"trimmed","INJS3",12222584,1.0799899476269,13200267.8540254
"trimmed","INJS4",8969248,1.08116692134617,9697254.24695027
"trimmed","INJS5",12291971,1.0137158464869,12460565.7872574
"trimmed","INJS6",7587994,1.10264852004734,8366890.35422808
"trimmed","INJL1",10166423,0.948314635171554,9640967.7182447
"trimmed","INJL2",9537502,1.00739832255659,9608063.51618011
"trimmed","INJL3",12302593,0.953590297991079,11731633.324933
"trimmed","INJL4",13810820,0.893927254009599,12345868.3982208
"trimmed","INJL5",11827863,1.00851019822263,11928520.4586801
"trimmed","INJL6",9594833,1.07054186614961,10271670.4252139
