"score_name","n_samples","spearman","pearson","mean_abs_delta","median_abs_delta","max_abs_delta","stability_flag"
"directional_score",18,0.995872033023736,0.999334433697474,0.0135432424669261,0.0122210633228685,0.0406972924686447,"highly_stable"
"directional_score_sum_means",18,0.997936016511868,0.999978525041653,0.00506703901083157,0.00428370837453418,0.0112307784168313,"highly_stable"
"up_score",18,0.993808049535604,0.99884883480853,0.0186445978586362,0.0153227410243559,0.0570914175882065,"highly_stable"
"down_score_reoriented",18,0.98968008255934,0.998739341901382,0.0196155675791892,0.0147153534450579,0.0658645208085064,"stable"
"down_score_raw",18,0.98968008255934,0.998739341901382,0.0196155675791892,0.0147153534450579,0.0658645208085064,"stable"
"total_score_unoriented",18,0.993808049535604,0.99808851094502,0.0187740604880432,0.0150722111482151,0.0582611646842464,"highly_stable"
