"strandSpecific","n_samples_total","n_parse_pass","mean_assigned_fragments","median_assigned_fragments","mean_total_fragments_considered","mean_assignment_rate_pct","median_assignment_rate_pct","min_assignment_rate_pct","max_assignment_rate_pct"
0,18,18,11229782.4444444,11155296,15560160.7777778,72.5935127296833,75.8643754851135,57.4997050633558,78.661220500927
1,18,18,5932198,5900328.5,15560160.7777778,38.340920256866,39.9742241743567,30.4718134387154,41.2758667456618
2,18,18,5913767.77777778,5888842,15560160.7777778,38.2204125257188,39.8043160048935,30.4484072234999,41.1572766921714
