"sample_id","group","time_point","sample_number","strandSpecific","source_column","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","total_fragments_considered","assigned_fragments","unassigned_fragments","assignment_rate_pct","parse_status"
"INJL1","ACLT_4W","t28",1,1,"INJL1.bam",5140837,2192523,0,216604,0,0,0,0,0,0,0,6474334,0,47097,14071395,5140837,8930558,36.5339541673018,"PASS"
"INJL2","ACLT_4W","t28",2,1,"INJL2.bam",4951766,1194917,0,250261,0,0,0,0,0,0,0,5857209,0,32899,12287052,4951766,7335286,40.3006840045928,"PASS"
"INJL3","ACLT_4W","t28",3,1,"INJL3.bam",6360706,1169544,0,263729,0,0,0,0,0,0,0,7573969,0,42282,15410230,6360706,9049524,41.2758667456618,"PASS"
"INJL4","ACLT_4W","t28",4,1,"INJL4.bam",7138640,2180918,0,224276,0,0,0,0,0,0,0,8312873,0,46731,17903438,7138640,10764798,39.8730120996872,"PASS"
"INJL5","ACLT_4W","t28",5,1,"INJL5.bam",6149246,1711589,0,229120,0,0,0,0,0,0,0,7358281,0,42910,15491146,6149246,9341900,39.6952297783521,"PASS"
"INJL6","ACLT_4W","t28",6,1,"INJL6.bam",4975048,799370,0,246224,0,0,0,0,0,0,0,6171826,0,31510,12223978,4975048,7248930,40.6990915723179,"PASS"
"CON1","Control","t0",1,2,"CON1.bam",5162430,2726316,0,232330,0,0,0,0,0,0,0,7151689,0,51216,15323981,5162430,10161551,33.6885695694872,"PASS"
"CON2","Control","t0",2,2,"CON2.bam",3802380,2384711,0,204973,0,0,0,0,0,0,0,5225116,0,45980,11663160,3802380,7860780,32.6016276892369,"PASS"
"CON3","Control","t0",3,2,"CON3.bam",5647070,4553795,0,280317,0,0,0,0,0,0,0,7987727,0,77447,18546356,5647070,12899286,30.4484072234999,"PASS"
"CON4","Control","t0",4,2,"CON4.bam",7027846,2912910,0,266355,0,0,0,0,0,0,0,9211173,0,58587,19476871,7027846,12449025,36.0830340766748,"PASS"
