"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"1W","Cthrc1",6.20943492302011,1.35314725580675e-18,1.93648903778503e-14,1.35314725580675e-18,1.35314725580675e-18,FALSE,17.8686549388759,1
"1W","Eln",2.8952764557886,1.68273628054654e-16,6.68580131494874e-13,1.68273628054654e-16,1.68273628054654e-16,FALSE,15.7739839415867,2
"1W","Cpxm1",3.30399895444573,1.86175537066014e-16,6.68580131494874e-13,1.86175537066014e-16,1.86175537066014e-16,FALSE,15.7300773846608,3
"1W","Mfap2",3.26316270551553,1.86871673955663e-16,6.68580131494874e-13,1.86871673955663e-16,1.86871673955663e-16,FALSE,15.7284565240736,4
"1W","C1qtnf6",3.52476056909089,5.88399061636753e-16,1.39210990429535e-12,5.88399061636753e-16,5.88399061636753e-16,FALSE,15.2303280285453,5
"1W","Mest",4.91060711004527,6.80928609465965e-16,1.39210990429535e-12,6.80928609465965e-16,6.80928609465965e-16,FALSE,15.1668984183959,6
"1W","Ptn",4.00501706585527,9.77504073598816e-16,1.74863259965908e-12,9.77504073598816e-16,9.77504073598816e-16,FALSE,15.0098814240725,7
"1W","Mmp14",3.38533651941381,5.49603669861529e-15,8.7393090215426e-12,5.49603669861529e-15,5.49603669861529e-15,FALSE,14.2599503760299,8
"1W","Cd276",2.41675327977846,7.48564761532142e-15,8.84067537544994e-12,7.48564761532142e-15,7.48564761532142e-15,FALSE,14.1257706210265,9
"1W","Uox",4.65606070034755,7.76433816442054e-15,8.84067537544994e-12,7.76433816442054e-15,7.76433816442054e-15,FALSE,14.1098955578092,10
"1W","Fscn1",2.0640353345234,7.78776905630321e-15,8.84067537544994e-12,7.78776905630321e-15,7.78776905630321e-15,FALSE,14.1085869358192,11
"1W","Runx1",2.74383629655089,8.03080007552576e-15,8.84067537544994e-12,8.03080007552576e-15,8.03080007552576e-15,FALSE,14.0952411855959,12
"1W","Cdkn1c",1.57721089929991,1.17716429683647e-14,1.19984285717762e-11,1.17716429683647e-14,1.17716429683647e-14,FALSE,13.9291629184396,13
"1W","Cxcl16",2.31220542342747,1.39904038731591e-14,1.19984285717762e-11,1.39904038731591e-14,1.39904038731591e-14,FALSE,13.8541697481706,14
"1W","Ppic",2.05185717948293,1.43360842176814e-14,1.19984285717762e-11,1.43360842176814e-14,1.43360842176814e-14,FALSE,13.8435694564008,15
"1W","Cx3cr1",3.26830734837177,1.4775252413972e-14,1.19984285717762e-11,1.4775252413972e-14,1.4775252413972e-14,FALSE,13.8304650910857,16
"1W","Sox4",1.8868333920114,1.50913083845973e-14,1.19984285717762e-11,1.50913083845973e-14,1.50913083845973e-14,FALSE,13.8212731061768,17
"1W","Capn6",3.28832832416653,1.64415070631397e-14,1.23839161884523e-11,1.64415070631397e-14,1.64415070631397e-14,FALSE,13.7840583766252,18
"1W","Pycr1",1.8912266081495,2.33540356143523e-14,1.67109801838498e-11,2.33540356143523e-14,2.33540356143523e-14,FALSE,13.6316380618385,19
"1W","Basp1",2.04902105117968,2.87123628618631e-14,1.84671573488984e-11,2.87123628618631e-14,2.87123628618631e-14,FALSE,13.5419310661018,20
"1W","P4ha3",4.65502764391651,2.90763203420884e-14,1.84671573488984e-11,2.90763203420884e-14,2.90763203420884e-14,FALSE,13.5364605550427,21
"1W","Ms4a7",3.51035448462123,2.96795904566183e-14,1.84671573488984e-11,2.96795904566183e-14,2.96795904566183e-14,FALSE,13.5275420961039,22
"1W","Sh3pxd2b",2.58101336570204,3.57052513489905e-14,1.98493650176459e-11,3.57052513489905e-14,3.57052513489905e-14,FALSE,13.4472679053397,23
"1W","Cdh11",3.47491272644206,3.73105671456688e-14,1.98493650176459e-11,3.73105671456688e-14,3.73105671456688e-14,FALSE,13.4281681493413,24
"1W","Fuca2",0.941018552579929,4.41740323006855e-14,2.17991233191417e-11,4.41740323006855e-14,4.41740323006855e-14,FALSE,13.3548329555977,25
"1W","C1qtnf3",5.7382437077514,4.88008352025981e-14,2.32796250861461e-11,4.88008352025981e-14,4.88008352025981e-14,FALSE,13.3115727451945,26
