"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","Gja1",1.61917406605256,7.0420600416437e-09,2.13848304914485e-06,7.0420600416437e-09,7.0420600416437e-09,FALSE,8.15230027639117,22
"4W","Elk3",1.05870311777735,7.28760477338748e-09,2.13848304914485e-06,7.28760477338748e-09,7.28760477338748e-09,FALSE,8.13741518836645,23
"4W","Adcy7",1.35649886675924,7.32633340633741e-09,2.13848304914485e-06,7.32633340633741e-09,7.32633340633741e-09,FALSE,8.13511332137475,24
"4W","Cd276",2.05039783393413,7.74752464769633e-09,2.13848304914485e-06,7.74752464769633e-09,7.74752464769633e-09,FALSE,8.11083703343763,25
"4W","Timp1",3.5595849639152,7.85118173143272e-09,2.13848304914485e-06,7.85118173143272e-09,7.85118173143272e-09,FALSE,8.10506496990259,26
"4W","Runx1",2.30925915512754,8.34274221181459e-09,2.17153995462432e-06,8.34274221181459e-09,8.34274221181459e-09,FALSE,8.07869117577565,27
"4W","Fbxl2",1.84413148307834,8.79281993960972e-09,2.19235194857039e-06,8.79281993960972e-09,8.79281993960972e-09,FALSE,8.0558718202838,28
"4W","Calu",0.937451980720986,9.50796939431757e-09,2.19235194857039e-06,9.50796939431757e-09,9.50796939431757e-09,FALSE,8.02191222491403,29
"4W","Thbs3",2.16236803261168,9.70164341847558e-09,2.19235194857039e-06,9.70164341847558e-09,9.70164341847558e-09,FALSE,8.01315469180378,30
"4W","Neo1",0.644988477276687,9.95409867680046e-09,2.19235194857039e-06,9.95409867680046e-09,9.95409867680046e-09,FALSE,8.00199805833004,31
"4W","Gpr153",2.25273006799486,1.04506835314216e-08,2.19250322710708e-06,1.04506835314216e-08,1.04506835314216e-08,FALSE,7.98085530340781,32
"4W","Lbh",1.36150277165211,1.13810994590919e-08,2.27247783624488e-06,1.13810994590919e-08,1.13810994590919e-08,FALSE,7.94381578135463,33
"4W","Zfp521",0.770969675956467,1.1572467626352e-08,2.27247783624488e-06,1.1572467626352e-08,1.1572467626352e-08,FALSE,7.93657402546987,34
