"contrast","gene_id","gene_symbol","gene_symbol_original","identifier_source","logFC","PValue_original","PValue","FDR","rank_stat"
"ACLT_untreated_t7_vs_Control","ENSSSCG00000060663","ENSSSCG00000060663","ENSSSCG00000060663","pig_gene_symbol_from_DE_table",-0.19319041596587,0.403843410345813,0.403843410345813,0.513618377218475,-0.39378699925981
"ACLT_untreated_t7_vs_Control","ENSSSCG00000004884","TMX3","TMX3","pig_gene_symbol_from_DE_table",-0.0857705357772128,0.403822010504306,0.403822010504306,0.513618377218475,-0.393810013326878
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011732","TRIM59","TRIM59","pig_gene_symbol_from_DE_table",-0.117488455425846,0.4030875893907,0.4030875893907,0.512782910399803,-0.394600573075202
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011206","ENSSSCG00000011206","ENSSSCG00000011206","pig_gene_symbol_from_DE_table",-0.16939068076752,0.403054432364152,0.403054432364152,0.512782910399803,-0.394636298575885
"ACLT_untreated_t7_vs_Control","ENSSSCG00000008008","STUB1","STUB1","pig_gene_symbol_from_DE_table",-0.103586482175868,0.402670883076944,0.402670883076944,0.512356041376197,-0.395049772866347
"ACLT_untreated_t7_vs_Control","ENSSSCG00000039619","PIN1","PIN1","pig_gene_symbol_from_DE_table",-0.132425609977186,0.401892378457887,0.401892378457887,0.511586105677021,-0.395890229749913
"ACLT_untreated_t7_vs_Control","ENSSSCG00000028674","ENSSSCG00000028674","ENSSSCG00000028674","pig_gene_symbol_from_DE_table",-0.365123182252543,0.401744928926832,0.401744928926832,0.511452197979928,-0.396049596463793
"ACLT_untreated_t7_vs_Control","ENSSSCG00000055991","ENSSSCG00000055991","ENSSSCG00000055991","pig_gene_symbol_from_DE_table",-0.133391740973735,0.401549230961917,0.401549230961917,0.511340270580744,-0.396261201507643
"ACLT_untreated_t7_vs_Control","ENSSSCG00000051313","ENSSSCG00000051313","ENSSSCG00000051313","pig_gene_symbol_from_DE_table",-0.230030278434271,0.400646928640573,0.400646928640573,0.510282571395192,-0.397238182211761
"ACLT_untreated_t7_vs_Control","ENSSSCG00000002243","SLC12A6","SLC12A6","pig_gene_symbol_from_DE_table",-0.141526965056122,0.400484615858188,0.400484615858188,0.51016714736504,-0.397414162167065
"ACLT_untreated_t7_vs_Control","ENSSSCG00000051028","ENSSSCG00000051028","ENSSSCG00000051028","pig_gene_symbol_from_DE_table",-0.167217420434887,0.400254301736273,0.400254301736273,0.509965041322386,-0.397663991800202
"ACLT_untreated_t7_vs_Control","ENSSSCG00000031630","DPH7","DPH7","pig_gene_symbol_from_DE_table",-0.114389399371002,0.400166153797542,0.400166153797542,0.509898376633877,-0.39775964693563
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003229","ETFB","ETFB","pig_gene_symbol_from_DE_table",-0.132294309458803,0.399912015296236,0.399912015296236,0.509665805310827,-0.398035547358193
"ACLT_untreated_t7_vs_Control","ENSSSCG00000017119","CLPTM1L","CLPTM1L","pig_gene_symbol_from_DE_table",-0.111243806977532,0.399788495006893,0.399788495006893,0.509554011769777,-0.398169708034097
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003017","TGFB1","TGFB1","pig_gene_symbol_from_DE_table",-0.180695991603287,0.398348060012416,0.398348060012416,0.507900021334472,-0.399737293542858
"ACLT_untreated_t7_vs_Control","ENSSSCG00000044615","ENSSSCG00000044615","ENSSSCG00000044615","pig_gene_symbol_from_DE_table",-0.262037056217826,0.398275455306934,0.398275455306934,0.507852943503278,-0.399816457219129
"ACLT_untreated_t7_vs_Control","ENSSSCG00000006890","ABCA4","ABCA4","pig_gene_symbol_from_DE_table",-0.279712867914364,0.398261436709847,0.398261436709847,0.507852943503278,-0.399831743891776
"ACLT_untreated_t7_vs_Control","ENSSSCG00000015197","SPA17","SPA17","pig_gene_symbol_from_DE_table",-0.256465338847481,0.398090877327701,0.398090877327701,0.507799556999926,-0.40001777461795
"ACLT_untreated_t7_vs_Control","ENSSSCG00000033278","ATP6V1D","ATP6V1D","pig_gene_symbol_from_DE_table",-0.103205014726701,0.397411538616072,0.397411538616072,0.507251226717115,-0.400759527551971
"ACLT_untreated_t7_vs_Control","ENSSSCG00000023434","PPM1L","PPM1L","pig_gene_symbol_from_DE_table",-0.175370677075799,0.396945940686502,0.396945940686502,0.50670238329964,-0.401268634950145
"ACLT_untreated_t7_vs_Control","ENSSSCG00000035663","ENSSSCG00000035663","ENSSSCG00000035663","pig_gene_symbol_from_DE_table",-0.128546196396637,0.396671243856963,0.396671243856963,0.506442573898113,-0.401569281973301
"ACLT_untreated_t7_vs_Control","ENSSSCG00000010801","CDC73","CDC73","pig_gene_symbol_from_DE_table",-0.0977410191217829,0.396537170483516,0.396537170483516,0.506316815958722,-0.401716096671078
"ACLT_untreated_t7_vs_Control","ENSSSCG00000038800","PUF60","PUF60","pig_gene_symbol_from_DE_table",-0.0890181703519812,0.396461666061594,0.396461666061594,0.506265825682278,-0.401798798315489
"ACLT_untreated_t7_vs_Control","ENSSSCG00000026354","PRPF18","PRPF18","pig_gene_symbol_from_DE_table",-0.0948987861888721,0.39632642948614,0.39632642948614,0.506183961851779,-0.401946965270494
"ACLT_untreated_t7_vs_Control","ENSSSCG00000025794","FBRS","FBRS","pig_gene_symbol_from_DE_table",-0.191243555044465,0.394978390973361,0.394978390973361,0.504734013173267,-0.403426663709588
"ACLT_untreated_t7_vs_Control","ENSSSCG00000035284","BMF","BMF","pig_gene_symbol_from_DE_table",-0.142266180054288,0.394458861051264,0.394458861051264,0.504160647390683,-0.403998283582719
"ACLT_untreated_t7_vs_Control","ENSSSCG00000009176","LAMTOR3","LAMTOR3","pig_gene_symbol_from_DE_table",-0.114603472013498,0.394077895198196,0.394077895198196,0.503764207145314,-0.404417925100613
"ACLT_untreated_t7_vs_Control","ENSSSCG00000004089","RMND1","RMND1","pig_gene_symbol_from_DE_table",-0.138539716176133,0.39384272498056,0.39384272498056,0.503572031793821,-0.404677172360412
"ACLT_untreated_t7_vs_Control","ENSSSCG00000035546","ENSSSCG00000035546","ENSSSCG00000035546","pig_gene_symbol_from_DE_table",-0.199461714196078,0.393376645119549,0.393376645119549,0.5030937002414,-0.405191427835067
"ACLT_untreated_t7_vs_Control","ENSSSCG00000023666","CTSB","CTSB","pig_gene_symbol_from_DE_table",-0.228326376037459,0.393300045295581,0.393300045295581,0.503086145833738,-0.405276003573422
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016577","ATP6V1F","ATP6V1F","pig_gene_symbol_from_DE_table",-0.135705704815599,0.393212544606384,0.393212544606384,0.503019427231948,-0.405372635381039
"ACLT_untreated_t7_vs_Control","ENSSSCG00000013042","CCDC88B","CCDC88B","pig_gene_symbol_from_DE_table",-0.33133368974609,0.392579206351226,0.392579206351226,0.502299518518248,-0.406072707298613
"ACLT_untreated_t7_vs_Control","ENSSSCG00000057682","ENSSSCG00000057682","ENSSSCG00000057682","pig_gene_symbol_from_DE_table",-0.198852148969163,0.392495835071881,0.392495835071881,0.502237995197167,-0.406164947364325
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003849","MAGOH","MAGOH","pig_gene_symbol_from_DE_table",-0.122660564561688,0.391595444417011,0.391595444417011,0.501221039603176,-0.407162369157107
"ACLT_untreated_t7_vs_Control","ENSSSCG00000049865","ENSSSCG00000049865","ENSSSCG00000049865","pig_gene_symbol_from_DE_table",-0.179744066607741,0.391444288604632,0.391444288604632,0.501117697401487,-0.407330039157162
"ACLT_untreated_t7_vs_Control","ENSSSCG00000038304","ENSSSCG00000038304","ENSSSCG00000038304","pig_gene_symbol_from_DE_table",-0.0862858617059872,0.391309219843258,0.391309219843258,0.500989846723855,-0.407479919337043
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011555","RPUSD3","RPUSD3","pig_gene_symbol_from_DE_table",-0.115966991961425,0.391293744978948,0.391293744978948,0.500989846723855,-0.407497094452602
"ACLT_untreated_t7_vs_Control","ENSSSCG00000033194","GEMIN7","GEMIN7","pig_gene_symbol_from_DE_table",-0.189000030763321,0.391220748669272,0.391220748669272,0.500970282915458,-0.407578120158429
