"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t28_vs_Control","HALLMARK_INFLAMMATORY_RESPONSE",0.38006230529595,0.527864312911042,0.122679189568808,0.236656579553785,1.0118052975041,146,23,"KIF1B;ATP2C1;SLC31A1;OSMR;KCNJ2;MARCO;MMP14;ATP2A2;SGMS2;TNFAIP6;NFKB1;HIF1A;CHST2;APLNR;SERPINE1;RGS16;IL1R1;DCBLD2;IFNAR1;ITGA5;IL6;IL4R;TNFSF15"
"ACLT_untreated_t28_vs_Control","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.597222222222222,0.694444444444444,0.0574877409561325,-0.256031172299409,-0.930468485361418,77,6,"TMEM140;TXNIP;IRF7;PROCR;CSF1;LY6E"
"ACLT_untreated_t28_vs_Control","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.672955974842767,0.747728860936408,0.0875697115548511,0.215726151206067,0.925844472083384,151,58,"ST8SIA4;CASP3;PNP;TNFAIP6;SOCS3;NFKB1;HIF1A;MTHFD2;IL7;NCOA3;CASP7;AUTS2;PTPN1;STAT3;BPGM;IL6;IL4R;ZNFX1;CMKLR1;HERC6;SOCS1;STAT1;DDX60;PELI1;STAT2;TRAFD1;JAK2;PSMA2;PIM1;IFI30;OAS2;CD40;PSMA3;ICAM1;EIF2AK2;FCGR1A;SELP;ITGB7;RIGI;TRIM25;NUP93;PDE4B;BANK1;IRF1;CD86;RIPK2;TRIM21;CMPK2;PTPN2;MX1;IL2RB;CCL2;CSF2RB;IFI44;PSMB2;RIPK1;CDKN1A;SP110"
"ACLT_untreated_t28_vs_Control","HALLMARK_KRAS_SIGNALING_DN",0.00856191340694024,0.0203855081117625,0.380730400722792,-0.426109406805446,-1.53818009257354,76,30,"COQ8A;EFHD1;PDK2;GAMT;TFCP2L1;THNSL2;P2RX6;MAGIX;CPEB3;CNTFR;SPHK2;BTG2;CELSR2;IGFBP2;FGGY;MTHFR;IDUA;CKM;MFSD6;ZBTB16;SHOX2;BMPR1B;FGF16;NRIP2;THRB;CCDC106;HNF1A;HSD11B2;LFNG;EGF"
"ACLT_untreated_t28_vs_Control","HALLMARK_KRAS_SIGNALING_UP",0.111111111111111,0.231481481481481,0.241339976815091,0.276363377836808,1.18484160858779,150,35,"SPON1;SPP1;ETS1;MMP9;VWA5A;TFPI;RELN;SOX9;FLT4;NIN;USP12;STRN;CDADC1;ANKH;FBXO4;EPB41L3;CROT;AMMECR1;RGS16;ANO1;PLAU;ADGRA2;BPGM;DCBLD2;PECAM1;ADAM17;TOR1AIP2;CBL;CMKLR1;ETV4;PRRX1;SLPI;TRIB2;FUCA1;PRDM1"
"ACLT_untreated_t28_vs_Control","HALLMARK_MITOTIC_SPINDLE",2.81093186203221e-11,2.81093186203221e-10,0.863415391606693,0.492037958539601,2.1691053498151,182,60,"TPX2;CENPF;KIF23;KIF11;CCNB2;NDC80;KIF2C;RACGAP1;TOP2A;KIF4A;ANLN;DLGAP5;KIF1B;BUB1;KIF15;TTK;NUSAP1;FARP1;NEK2;CENPE;PRC1;CDK1;SMC4;KIF22;PALLD;RANBP9;FSCN1;SMC1A;KNTC1;LMNB1;FGD6;PLK1;CEP192;CDK5RAP2;ESPL1;CKAP5;ARHGEF12;NET1;NIN;MYO1E;DLG1;MAPRE1;ARHGAP29;PAFAH1B1;PKD2;ABR;BCR;CDC42BPA;RAB3GAP1;ALS2;CDC42;LRPPRC;RABGAP1;KIF3C;ECT2;CAPZB;FBXO5;NCK2;VCL;KIF3B"
"ACLT_untreated_t28_vs_Control","HALLMARK_MTORC1_SIGNALING",2.22101228624724e-05,0.000100955103920329,0.575610261071129,0.384041369654753,1.69301204309707,182,57,"BUB1;SYTL2;PSME3;HMGCR;ARPC5L;MCM2;RPN1;MCM4;HSPA4;EPRS1;PNP;YKT6;CACYBP;NIBAN1;ATP2A2;PLOD2;DDX39A;PLK1;SRD5A1;ABCF2;BHLHE40;EDEM1;USO1;ACTR3;PPA1;CCNF;TXNRD1;RIT1;HSPA5;PRDX1;HSP90B1;GSR;MTHFD2;HPRT1;CALR;LDHA;ETF1;PITPNB;UCHL5;HMGCS1;GCLC;SERPINH1;ASNS;PSMA4;VLDLR;GSK3B;GMPS;RPA1;PSMD14;PSMC2;HK2;MLLT11;XBP1;M6PR;CDC25A;PSMD12;STIP1"
"ACLT_untreated_t28_vs_Control","HALLMARK_MYC_TARGETS_V1",6.15420203405356e-12,7.69275254256695e-11,0.887074988399873,0.510810890503785,2.22798356755626,176,87,"CDK2;GSPT1;TYMS;MCM2;CDC20;RRM1;TCP1;MCM4;MCM6;EPRS1;NCBP1;CTPS1;CCNA2;HDAC2;PSMD1;SF3B3;DDX18;EIF4G2;PPM1G;H2AZ1;KPNB1;DHX15;SMARCC1;CCT3;HNRNPD;G3BP1;STARD7;SYNCRIP;APEX1;DUT;PCNA;EIF3J;SRPK1;NOP56;HPRT1;HNRNPU;LDHA;ETF1;IMPDH2;EIF2S1;MAD2L1;XPOT;NOLC1;IARS1;FBL;NPM1;EIF4A1;HSP90AB1;EIF4E;PSMA4;PSMD7;ILF2;XRCC6;SNRPB2;CUL1;PSMD14;RFC4;HNRNPR;COX5A;HDGF;HNRNPA2B1;CCT7;EIF3B;CCT4;LSM2;EIF2S2;CSTF2;CDK4;PWP1;CCT2;RSL1D1;SSBP1;PSMD8;COPS5;TARDBP;DDX21;GNL3;SSB;SNRPA1;PSMA1;NAP1L1;USP1;PSMA6;PSMA2;NME1;HSPD1;SNRPD1"
"ACLT_untreated_t28_vs_Control","HALLMARK_MYC_TARGETS_V2",0.406417112299465,0.549212313918196,0.107972360317345,0.282769691232777,1.01416347712245,53,17,"PLK4;MCM4;WDR43;DDX18;PLK1;NOP56;PPRC1;NOLC1;NPM1;HK2;MPHOSPH10;CDK4;GNL3;UTP20;LAS1L;TMEM97;HSPD1"
"ACLT_untreated_t28_vs_Control","HALLMARK_MYOGENESIS",0.000476822981048499,0.00170293921803035,0.49849310876659,-0.39873571815224,-1.59373356683542,154,55,"SGCA;CFD;AKT2;PC;GPX3;MYBPH;GSN;CRAT;SCD;PPP1R3C;FOXO4;APOD;LPIN1;CTF1;DMD;CACNA1H;PICK1;BIN1;DMPK;IGFBP3;SIRT2;FXYD7;SH2B1;HDAC5;ERBB3;TCAP;SORBS1;LSP1;ACTN2;CKM;GAA;SYNGR2;NQO1;CHRNB1;FGF2;FST;KLF5;SH3BGR;ITGA7;EFS;COL15A1;CKB;TAGLN;VIPR1;CKMT2;FLII;CRYAB;ACSL1;FHL1;PTGIS;SLC6A8;COX6A2;PLXNB2;KIFC3;AGL"
