"pig_ensg","CON1","CON2","CON3","CON4","CON5","CON6","INJS1","INJS2","INJS3","INJS4","INJS5","INJS6","INJL1","INJL2","INJL3","INJL4","INJL5","INJL6"
"ENSSSCG00000040779",7.08863596621645,8.21126819421162,8.96809914983307,8.70078117265866,7.94931915460051,8.79457369512547,4.02784928265224,4.23340106180041,5.33955184980849,5.1353677932488,3.51796024581999,5.77901727753041,4.30562330206913,3.85367957481365,3.59667504654558,2.53167489285306,4.53850183215866,6.04749983741837
"ENSSSCG00000029944",13.4061526007267,14.9174227877283,14.6116022645885,15.4856728541058,15.1211511679125,15.003310570849,8.73795621705963,9.73564394656028,11.193347890827,10.9494373366282,10.6231551336679,11.7932636670886,9.91332356028709,9.66622794748717,9.63518578036792,9.39993661218034,9.54069948217063,10.2947272295818
"ENSSSCG00000011579",12.3450225342619,11.942989588821,12.705342657237,12.8401592250386,11.9173243706586,12.2513067411264,9.09121283058779,8.37270408885287,9.85960820646139,9.07295405173178,8.81734689508836,9.30416609714002,9.08880352016773,8.46253778086445,8.38449388793537,8.64794864506668,9.21310676729203,9.65768567868245
"ENSSSCG00000030469",6.99960681417723,6.97082142282881,6.71130937909011,8.48172635523294,7.62367825774749,8.62699514165616,9.44727467182402,9.63286700212069,9.70019954644059,9.62618516915606,9.80807082187446,9.3319266763605,8.50223187086498,9.53742609162427,9.3441904516225,8.6140981765458,8.84443629220445,9.20978191315941
"ENSSSCG00000029326",7.39825360473576,8.57682548730435,7.92713948463909,9.20932713127084,8.50657178467769,8.79457369512547,10.3276744627753,10.5133078073882,10.1112194437039,10.1528575483002,10.5321265765172,9.76763744739412,9.03209132594311,9.81257248502873,9.21216550353885,9.48667287554025,9.22718281556969,9.40591394430943
"ENSSSCG00000010214",6.90472019938713,8.75862596658767,6.96101370450515,9.05888906838917,7.89989801122237,8.50338124609041,9.65467060384041,9.78441107754222,9.25200919496222,8.91892470979743,9.16972400896973,9.06045854519147,8.73324195778621,9.55416936691985,9.21216550353885,8.90751277782359,8.76946811296686,9.18861852280309
"ENSSSCG00000009378",7.17248897650306,7.72044874584743,6.96101370450515,9.11079774366983,8.04335526843908,8.36817474890914,9.36902935140693,9.5412464185942,9.64497964842599,9.23237928114246,9.38086771437858,8.82679817045379,8.50223187086498,9.01561688686587,9.06683031636764,8.66458062224301,8.73047066899118,9.16714005162253
"ENSSSCG00000010540",8.44250386196568,8.97009165367406,9.40728963016521,9.9690472094844,9.69663004785779,9.42527837299036,8.61742735340432,8.99601395065162,9.47947756514905,8.39743123297485,8.83537647100546,9.95781360610177,9.27953222282614,9.90684119816429,9.99797071694889,9.55962399775578,9.47143333589479,10.0349980882522
"ENSSSCG00000000265",6.57566128876841,6.97082142282881,6.40914827548074,8.76698377123166,8.17382889494746,8.62699514165616,8.80741482615702,9.21738654154173,9.33188387181426,8.88091630776067,9.46433938705698,8.93935835187562,8.38635208570457,8.86271782827473,8.58761249174873,7.27259735362625,7.4473586551881,8.88085452594705
"ENSSSCG00000000739",5.97271600826415,6.21250282791258,7.17380866349642,6.9426972510367,6.83273212321732,7.39320356767986,7.87527378268492,8.38681017170613,8.68608069937933,8.37936985284087,8.50454868501374,7.90172412634422,7.55220035750384,7.85372743966988,7.7846726644285,6.81711832520344,7.4946741212395,7.4776693641787
"ENSSSCG00000005096",13.7357010370979,13.8067678964091,13.8948757912028,14.51744877851,14.3772491366277,14.0994020987847,13.2694910030119,13.2617710485141,13.2989781014285,13.1530909772989,12.8439854446772,13.5528687410839,13.2030332891671,14.1866622503403,14.1100400908635,13.9250737976828,14.2259543616328,14.5284745789165
"ENSSSCG00000010703",15.6509631518663,16.3540448271325,16.7169566209704,16.736725183576,16.3676123708629,16.1867369303575,15.8770953253327,15.9357119168789,15.4800303437022,15.8195467870458,15.5278716659154,16.0435608346019,16.2475906148135,16.7299405813269,16.6127883878579,16.1439282762555,16.5118641918422,16.7755690580072
"ENSSSCG00000014326",8.47589342637758,8.64000561809002,8.41952354843969,10.1286354648964,9.26067417371144,9.45894349833525,11.0954018809844,11.2614488072475,11.0983363467954,10.7353753994891,11.2690495282009,10.5429495102731,10.1359754244154,10.6139511060842,10.197376546967,9.94037087431165,10.0642829974483,10.3718586750827
"ENSSSCG00000003931",7.32685344216071,8.12556352735615,8.24219623567526,9.25617816416045,8.21482346403455,8.36817474890914,9.24307897669183,9.75208350178205,9.75917366405907,9.83938179862466,9.73311815571318,9.06045854519147,8.73324195778621,9.1317140620554,8.97927786020046,8.80622253721677,8.44750979251418,9.05467221463302
"ENSSSCG00000001510",6.14866020959642,8.64000561809002,8.50063149621364,9.25617816416045,8.47317048699115,9.28216512978423,8.64614881108081,9.21738654154173,9.43676293051148,9.18117034279003,9.50995504801651,8.97500796573843,8.32472395305311,8.8355816682317,8.56373243788672,8.41223277688041,8.54062864246285,8.90700495159019
"ENSSSCG00000033608",13.3599546039125,13.0563607904195,12.2749567802109,13.581276759638,12.3784246990055,11.8809704860841,13.2082107929232,12.941131080581,12.5507617241156,13.2507039553266,13.6217695956039,13.2146190819075,13.6675665382031,13.3925014996878,13.6396658242903,14.598948065761,13.480344916203,13.5497263722617
"ENSSSCG00000015604",6.69388530027292,6.97082142282881,5.50411393374816,7.78600738625276,7.56146931630134,8.05254468407126,8.77310349217366,9.6794517677558,9.20187168510584,9.63382340900886,8.70416484974387,8.93935835187562,8.19295908380409,8.86271782827473,8.6342185268106,8.22308172528188,8.89821174786878,8.26482472907968
"ENSSSCG00000000217",8.94986522926198,9.72001475489354,9.52828365346141,10.9219372298151,10.243989668408,10.3845819038298,10.8500311517326,10.9532241980169,11.1388726335076,10.8181573541421,10.8965142068533,10.5896916135179,10.4918990492267,11.0863910479334,10.9849226114549,10.4523946368039,10.5519624307024,10.8201420912794
"ENSSSCG00000035537",11.4842476499441,11.8789555565133,12.7924803805388,13.2577930870129,12.5504294010855,12.8000232970183,11.7541240656059,11.7866385044763,12.2170317957799,11.9179104357899,11.7744543592752,12.2658371253536,12.1236344190375,12.538128490141,12.9784493129515,12.0540439336393,12.3815383544861,13.401254284208
"ENSSSCG00000008601",10.8696747205342,11.0301113013627,10.4631571291055,10.1535979607269,10.4382494898832,9.08066046997117,9.64995123178853,9.83158350166401,9.89159052384589,10.1042006063288,10.107883372843,10.6949872819073,10.2314228422474,10.9024895569127,10.4131961900295,10.8944243989113,10.3924801090018,10.8270065042719
"ENSSSCG00000025698",13.6496217843303,13.6696667110307,13.3223233928967,13.0965819725708,13.5941069287869,13.3070015432875,13.2174109285081,12.6798611032512,12.6475871724086,12.3135093419122,13.0867445678614,13.3632684917035,14.5056775603932,13.3221509603977,13.9563135910424,13.2899053073931,13.7150679395328,14.1036957590975
"ENSSSCG00000017082",19.5834649145265,20.2488389653436,20.2472348356484,19.7576075846042,18.975295686633,19.7646730112955,19.2905471206812,19.5795356141079,18.4173367555194,19.1148110796015,19.1040634046306,19.1306677531348,19.556913307679,20.4569860546379,20.4223955318868,20.9340683360828,20.2903844142724,19.793658499867
"ENSSSCG00000059646",5.77229487363931,5.32082774921501,8.41952354843969,7.50487585267912,7.11850437493547,6.44199505261624,6.26408781200579,6.00909926361994,7.81025296927982,7.43950098764771,6.03009354104291,7.07408078903752,6.59597676448767,7.48599472876789,8.30029156483378,6.32556585969047,6.78822055212592,7.61091170308237
"ENSSSCG00000004466",5.97271600826415,6.97082142282881,7.17380866349642,7.90838503486697,6.47601087215636,6.89974340215897,9.05597125168994,8.59555108016184,8.47713247633887,8.55054961837593,8.71394331321071,8.26065398086684,6.9625645873675,8.8355816682317,8.35696890349254,8.0312166674988,8.2130178687348,8.77123821867938
