"mouse_id","x","y","xend","yend"
"M130",-76.0613245161998,-1.30179647994215,8.23322451155064,-48.2150174120939
"M135",-87.5284646156531,-10.0745296328341,75.6669737160908,8.24230736674141
"M142",5.8168018298974,42.5992578302707,84.1231454464723,13.8541949669317
"M143",-28.3505777522421,38.6974004754564,71.8350992497475,-1.94450730359307
"M147",-89.1553660816149,-38.6790599258498,23.2139393088477,-16.262556461959
"M153",-22.2641277356339,18.0101775495554,37.5306873105235,-8.31133052298078
"M158",-72.4498065986675,17.2636788016097,67.1837296393087,-28.0816338650473
"M160",-52.271729263266,39.2527820426434,52.3763719677003,-13.6127249560827
"M163",-69.5456660343245,-15.5455357525973,14.6429290255096,-39.7810135184467
"M167",-80.2013644044585,-15.2482133188182,106.335494912594,19.8372259231725
"M174",-28.1765760141517,37.8598854500305,53.3397646243971,-17.2514006253489
"M178",-78.6990612384943,7.73482918598228,84.4059027120672,10.9575801831996
