"panel","timepoint","PCA_input","genes_used","samples","PCA_center","PCA_scale","PC1_variance_pct","PC2_variance_pct","pair_lines","output_png","output_pdf"
"Figure1B","1W","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_voom_logCPM_1W.csv",14311,24,TRUE,FALSE,58.8304341571494,9.23268463228826,12,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1B_mouse_1W_PCA.png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1B_mouse_1W_PCA.pdf"
"Figure1C","4W","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_voom_logCPM_4W.csv",14316,24,TRUE,FALSE,48.7006600434985,11.7148886847663,12,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1C_mouse_4W_PCA.png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1C_mouse_4W_PCA.pdf"
