"mouse_id","x","y","xend","yend"
"M131",-26.8028055776187,-10.9526172512143,35.7341804617719,28.3311349743814
"M137",-41.3435350575211,25.1661837492208,91.1260618734642,26.7049781981843
"M140",-66.5984850972373,31.1848059249686,61.2989184649933,9.95966989727693
"M146",0.121034419226778,-34.8103730386486,70.7771116024843,-13.2496682738132
"M150",-74.9734669029473,10.5518587010514,45.7497039486366,2.20894944904042
"M154",-76.0024738649412,44.710124818696,-58.5869732776282,14.573473713954
"M157",8.40826807665267,-66.9267887698632,31.5855290721899,-16.3148742524048
"M161",-18.4748227521094,-16.0691107297686,39.8808061893105,16.7343946870497
"M166",-55.7237423947128,-8.39850470943198,70.7113203981885,3.34660224422727
"M169",-65.6987500763251,-41.5194781469583,36.5418342885094,23.9829621038882
"M173",-43.1392500611894,-4.97893967891602,51.9983081218534,-5.2230936092915
"M176",-20.5975611380361,-23.948406330117,4.0087892829834,4.93671632848844
