"comparison","control_group","treatment_group","n_control_samples","n_treatment_samples","n_input_genes","n_tested_genes_after_filterByExpr","n_FDR_lt_0_05","n_strict_FDR_0_05_abslogFC_1","n_strict_up","n_strict_down","min_PValue","min_FDR","de_file","keep_file","dge_rds","fit_rds"
"ACLT_t7_vs_Control_t0","Control_t0","ACLT_t7",6,6,35682,14405,6052,2043,919,1124,5.6210988183389e-12,3.24129030948747e-08,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t7_vs_Control_t0_QLF.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_filterByExpr_keep_ACLT_t7_vs_Control_t0.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w6_trimmed_edgeR_DGEList_ACLT_t7_vs_Control_t0.rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w6_trimmed_edgeR_QLF_fit_test_ACLT_t7_vs_Control_t0.rds"
"ACLT_t28_vs_Control_t0","Control_t0","ACLT_t28",6,6,35682,14164,6008,1887,671,1216,1.06330711162931e-11,1.20391472896881e-07,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t28_vs_Control_t0_QLF.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_filterByExpr_keep_ACLT_t28_vs_Control_t0.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w6_trimmed_edgeR_DGEList_ACLT_t28_vs_Control_t0.rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w6_trimmed_edgeR_QLF_fit_test_ACLT_t28_vs_Control_t0.rds"
