"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1E","4W","G10090_22168","243548","Prickle2","Prickle2",1.06571810770984,3.23669390043727,8.85098405757113,3.2085868169159e-09,1.70583664455986e-06,11.2138422095289,TRUE,"Up",6.1471287169878,5.7680625603684,"Up strict"
"Figure1E","4W","G10090_7091","77300","Raph1","Raph1",0.989265233716904,5.30411461472912,8.84975569538826,3.2172107713828e-09,1.70583664455986e-06,11.2520228295227,FALSE,"Not_strict",5.70614375687657,5.7680625603684,"Not strict"
"Figure1E","4W","G10090_582","52662","Ldlrad4","Ldlrad4",0.968726172037956,5.06005488689965,8.79614903062948,3.61773409424509e-09,1.74974397775968e-06,11.1372720292472,FALSE,"Not_strict",5.57698126773224,5.75702549255965,"Not strict"
"Figure1E","4W","G10090_30720","106572","Rab31","Rab31",1.65503224023899,5.73018815652321,8.7928143146782,3.64428206340038e-09,1.74974397775968e-06,11.1288051753514,TRUE,"Up",9.52806279806398,5.75702549255965,"Up strict"
"Figure1E","4W","G10090_12163","17022","Lum","Lum",2.45929683523368,8.43363251015589,8.78384373042958,3.71669570581981e-09,1.74974397775968e-06,10.9355269343942,TRUE,"Up",14.1582345742115,5.75702549255965,"Up strict"
"Figure1E","4W","G10090_4876","70370","Fbln7","Fbln7",2.53132802332902,6.75029470931883,8.76490520594757,3.87446962256963e-09,1.74974397775968e-06,11.0396548314271,TRUE,"Up",14.5729199603358,5.75702549255965,"Up strict"
"Figure1E","4W","G10090_23485","18631","Pex11a","Pex11a",-1.05805789473552,4.04588683198389,-8.76061755779017,3.91113490418481e-09,1.74974397775968e-06,11.0610450850333,TRUE,"Down",6.09126627259637,5.75702549255965,"Down strict"
"Figure1E","4W","G10090_12196","14651","Hagh","Hagh",-0.747657275271259,4.975943400397,-8.73109789263573,4.17343867557911e-09,1.79238982445101e-06,10.9952984982929,FALSE,"Not_strict",4.29646302185038,5.74656753027859,"Not strict"
"Figure1E","4W","G10090_32523","66990","Tmem134","Tmem134",-0.621713697798041,5.96647906903013,-8.70670426411288,4.40380112995479e-09,1.79238982445101e-06,10.9457996764641,FALSE,"Not_strict",3.57271974889566,5.74656753027859,"Not strict"
"Figure1E","4W","G10090_6649","68910","Zfp467","Zfp467",-0.673376935011682,4.97502136124141,-8.70059604309454,4.4635032561112e-09,1.79238982445101e-06,10.9293197623266,FALSE,"Not_strict",3.86960603037665,5.74656753027859,"Not strict"
"Figure1E","4W","G10090_22343","17390","Mmp2","Mmp2",2.27612667971476,9.03320327596676,8.69617158194591,4.50726695167899e-09,1.79238982445101e-06,10.6797134257717,TRUE,"Up",13.0799156724497,5.74656753027859,"Up strict"
"Figure1E","4W","G10090_14517","69634","Clybl","Clybl",-0.970148572171331,5.12737194410735,-8.63103370355484,5.20508565528385e-09,2.01327870171073e-06,10.7791353652301,FALSE,"Not_strict",5.5260594991427,5.69609610080092,"Not strict"
