"item","version"
"R","4.5.2"
"edgeR","4.8.2"
"limma","3.66.0"
"readxl","1.4.5"
"clusterProfiler","4.18.4"
"org.Mm.eg.db","3.22.0"
"ggplot2","4.0.2"
"ggrepel","0.9.6"
