"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_scores_long.csv","step19_current78_pig_signature_scores_long.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_TMM_logCPM_matrix.csv","step19_current78_pig_signature_TMM_logCPM_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_zscore_matrix.csv","step19_current78_pig_signature_zscore_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_plot_files.csv","step19_current78_plot_files.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_sample_metadata_used.csv","step19_current78_sample_metadata_used.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_TMM_normalization_factors.csv","step19_current78_TMM_normalization_factors.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_available_gene_id_to_symbol_mapping_audit.csv","step20_current78_available_gene_id_to_symbol_mapping_audit.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_fgsea_full_hallmark_combined.csv","step20_current78_fgsea_full_hallmark_combined.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_fgsea_reproducibility_settings.csv","step20_current78_fgsea_reproducibility_settings.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_hallmark_gene_set_coverage.csv","step20_current78_hallmark_gene_set_coverage.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_input_file_audit.csv","step20_current78_input_file_audit.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_sus_scrofa_hallmark_membership.csv","step20_current78_sus_scrofa_hallmark_membership.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_target_pathway_plot_files.csv","step20_current78_target_pathway_plot_files.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_target_pathway_results_from_full_hallmark.csv","step20_current78_target_pathway_results_from_full_hallmark.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_target_pathway_running_curve_source_data.csv","step20_current78_target_pathway_running_curve_source_data.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_validation_flow_barplot/step21_current78_Figure4C_validation_flow_source_data.csv","step21_current78_Figure4C_validation_flow_source_data.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_gene_table.csv","step21_current78_pig_core_ortholog_gene_table.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_heatmap_zscore_matrix.csv","step21_current78_pig_core_ortholog_heatmap_zscore_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_logCPM_matrix.csv","step21_current78_pig_core_ortholog_logCPM_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_sample_annotation.csv","step21_current78_pig_core_ortholog_sample_annotation.csv",60,FALSE
