"fastq_stub","sample_id","core_group","read_label","fastq_zip","module_name","status"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per sequence quality scores","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Overrepresented sequences","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per base sequence quality","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per tile sequence quality","WARN"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Sequence Length Distribution","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Sequence Duplication Levels","WARN"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per base sequence content","FAIL"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Basic Statistics","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per sequence GC content","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Per base N content","PASS"
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip","Adapter Content","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per sequence GC content","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per base N content","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Adapter Content","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip","Basic Statistics","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Adapter Content","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per base N content","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Overrepresented sequences","WARN"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per sequence GC content","WARN"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Basic Statistics","PASS"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Basic Statistics","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per base N content","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per sequence GC content","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Adapter Content","PASS"
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Adapter Content","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per tile sequence quality","WARN"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Sequence Duplication Levels","WARN"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per base N content","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Basic Statistics","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip","Per sequence GC content","WARN"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Adapter Content","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Overrepresented sequences","WARN"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per base N content","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Basic Statistics","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per sequence GC content","WARN"
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Adapter Content","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per base sequence quality","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per sequence GC content","WARN"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per base N content","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Sequence Duplication Levels","WARN"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Basic Statistics","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per base sequence content","FAIL"
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Adapter Content","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per sequence GC content","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Basic Statistics","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per base N content","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per sequence GC content","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Sequence Duplication Levels","WARN"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Adapter Content","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per base N content","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Basic Statistics","PASS"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per tile sequence quality","WARN"
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per sequence GC content","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per base N content","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Adapter Content","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Basic Statistics","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Sequence Length Distribution","PASS"
