"score_label","branch","comparison","score","n_control","n_case","median_control","median_case","mean_control","mean_case","median_difference_case_minus_control","mean_difference_case_minus_control","wilcox_p_value","BH_FDR_within_step","xend","xmid","group_label","p_label","y_max","y_range","y_label","y_segment"
"Directional score","trimmed","ACLT_t7_vs_Control","directional_score",6,6,-0.589057043058815,0.403757304581092,-0.560075755181233,0.412065313958056,0.992814347639907,0.97214106913929,0.00507486809794025,0.00507486809794025,2,2,"ACLT_t7","p = 0.005",0.573104232815144,1.26840068082013,0.699944300897157,0.636524266856151
"Directional score","trimmed","ACLT_t28_vs_Control","directional_score",6,6,-0.589057043058815,0.129914539932334,-0.560075755181233,0.148010441223177,0.71897158299115,0.70808619640441,0.00507486809794025,0.00507486809794025,3,3,"ACLT_t28","p = 0.005",0.573104232815144,1.26840068082013,0.852152382595573,0.788732348554567
"Down-score reoriented","trimmed","ACLT_t7_vs_Control","down_score_reoriented",6,6,-0.576978204385037,0.0381274297019288,-0.530624239602077,0.0758258944088126,0.615105634086965,0.60645013401089,0.00507486809794025,0.00507486809794025,2,2,"ACLT_t7","p = 0.005",0.899208350176956,1.58738333333651,1.05794668351061,0.978577516843782
"Down-score reoriented","trimmed","ACLT_t28_vs_Control","down_score_reoriented",6,6,-0.576978204385037,0.318978856427583,-0.530624239602077,0.454798345193264,0.89595706081262,0.985422584795341,0.00507486809794025,0.00507486809794025,3,3,"ACLT_t28","p = 0.005",0.899208350176956,1.58738333333651,1.24843268351099,1.16906351684416
"Up-score","trimmed","ACLT_t7_vs_Control","up_score",6,6,-0.599523849862744,0.470843710160733,-0.564606757578026,0.463794455427171,1.07036756002348,1.0284012130052,0.00507486809794025,0.00507486809794025,2,2,"ACLT_t7","p = 0.005",0.656304904619954,1.41049459153744,0.797354363773698,0.726829634196826
"Up-score","trimmed","ACLT_t28_vs_Control","up_score",6,6,-0.599523849862744,0.108476437728581,-0.564606757578026,0.100812302150856,0.708000287591325,0.665419059728882,0.00507486809794025,0.00507486809794025,3,3,"ACLT_t28","p = 0.005",0.656304904619954,1.41049459153744,0.96661371475819,0.896088985181319
