"PC","variance_fraction","variance_percent"
"PC1",0.40599462808936,40.599462808936
"PC2",0.148832938286659,14.8832938286659
"PC3",0.0822781518660911,8.22781518660911
"PC4",0.051908509876538,5.1908509876538
"PC5",0.0435373128802703,4.35373128802703
"PC6",0.0330757017907343,3.30757017907343
"PC7",0.0320691046496248,3.20691046496248
"PC8",0.0306639411815094,3.06639411815094
"PC9",0.027998780649111,2.7998780649111
"PC10",0.0241534423446538,2.41534423446538
"PC11",0.0221205249946014,2.21205249946014
"PC12",0.019328772728378,1.9328772728378
"PC13",0.017844450764645,1.7844450764645
"PC14",0.0164914587784452,1.64914587784452
"PC15",0.0160510481915527,1.60510481915527
"PC16",0.0144019094116571,1.44019094116571
"PC17",0.013249323516169,1.3249323516169
"PC18",8.48262536049525e-31,8.48262536049525e-29
