"sample_id","PC1","PC2","PC3","PC4","group","time_point","sample_number","count_column"
"CON1",-61.8763304382021,31.5349302612433,-54.8030553178578,-7.51879631221213,"Control","t0",1,"CON1"
"CON2",-67.3621266374138,25.6122183000368,-23.1891853979547,23.6625880112692,"Control","t0",2,"CON2"
"CON3",-74.8195136502516,-5.66621663397709,14.8370609997388,-21.3786516101235,"Control","t0",3,"CON3"
"CON4",-64.4122985807911,-16.5976503776671,24.8768819157442,3.82009751784342,"Control","t0",4,"CON4"
"CON5",-54.037543603269,-14.2370910825227,10.162551026023,7.17938234045399,"Control","t0",5,"CON5"
"CON6",-62.3447666835989,-25.5980691299741,26.9932364498421,-9.50142226973609,"Control","t0",6,"CON6"
"INJS1",40.6535215537432,4.66412377892128,2.19652957022886,-15.9619510588307,"ACLT_1W","t7",1,"INJS1"
"INJS2",35.0670435491771,-18.7093113382736,4.28869784956418,26.057744365999,"ACLT_1W","t7",2,"INJS2"
"INJS3",26.3210842670094,-41.2669855379782,-8.5731206826332,-0.404946206749298,"ACLT_1W","t7",3,"INJS3"
"INJS4",29.2690955529131,-29.2075000546638,-25.4128404845782,-17.3601242932723,"ACLT_1W","t7",4,"INJS4"
"INJS5",41.0694666949187,-24.9912555541893,-24.4651956305615,-25.7224496898234,"ACLT_1W","t7",5,"INJS5"
"INJS6",39.6821640838716,-43.0549314180416,-9.05584910787852,24.5522207162409,"ACLT_1W","t7",6,"INJS6"
"INJL1",11.8104044031101,3.07092953003794,5.67556339897898,16.9778673211264,"ACLT_4W","t28",1,"INJL1"
"INJL2",36.5042334591139,32.4599241837988,17.4540759583723,-12.4228468101996,"ACLT_4W","t28",2,"INJL2"
"INJL3",39.3480728637886,27.14643468459,25.5605408819153,-9.88243521971635,"ACLT_4W","t28",3,"INJL3"
"INJL4",29.2560626469116,46.0680626819206,0.339452204508418,19.6359173222225,"ACLT_4W","t28",4,"INJL4"
"INJL5",26.8272069168661,41.936284801795,6.95880293357216,-11.0705418029972,"ACLT_4W","t28",5,"INJL5"
"INJL6",29.0442236021014,6.83610290494328,6.15585343297522,9.33834767850511,"ACLT_4W","t28",6,"INJL6"
