"score_label","time_point","score_type","n_pairs","mean_contra","mean_aclr","mean_delta_aclr_minus_contra","median_delta_aclr_minus_contra","wilcox_p","p_label","y_max","y_label"
"CellAge all","1W","CellAge_all",12,-0.110950568165434,0.127047378520752,0.237997946686186,0.232762024164641,0.000976562500000001,"p < 0.001",0.296306405501716,0.376306405501716
"CellAge all","4W","CellAge_all",12,-0.0655691819446513,0.0458388519788562,0.111408033923507,0.119283397777809,0.02685546875,"p = 0.027",0.226840440375518,0.306840440375517
"CellAge induces","1W","CellAge_induces",12,-0.135417405797928,0.0823491158643762,0.217766521662304,0.205714715164765,0.000976562500000001,"p < 0.001",0.186370124316918,0.266370124316918
"CellAge induces","4W","CellAge_induces",12,-0.0596905108246309,0.107071855314198,0.166762366138829,0.18987224616729,0.00927734375000001,"p = 0.009",0.266376374247401,0.346376374247401
"CellAge inhibits","1W","CellAge_inhibits",12,-0.0904823917008287,0.165589687140739,0.256072078841568,0.251516599608279,0.000976562500000001,"p < 0.001",0.439640299282819,0.519640299282819
"CellAge inhibits","4W","CellAge_inhibits",12,-0.0692200738510162,-0.00588722158889421,0.063332852262122,0.00622734864371955,0.4697265625,"p = 0.470",0.205151423602814,0.285151423602814
