"timepoint","pathway","rank","running_ES","is_hit","gene_symbol","NES","padj","pval"
"1W","HALLMARK_INFLAMMATORY_RESPONSE",39,0.0456004096295507,FALSE,"Lgmn",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",40,0.0455294574513189,FALSE,"Ccn5",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",41,0.045458505273087,FALSE,"Csrp2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",42,0.0453875530948551,FALSE,"B4galt2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",43,0.0453166009166233,FALSE,"Marcksl1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",44,0.0452456487383914,FALSE,"Efemp2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",45,0.0451746965601595,FALSE,"Myo16",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",46,0.0451037443819276,FALSE,"Vash2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",47,0.0450327922036958,FALSE,"Arsi",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",48,0.0449618400254639,FALSE,"Kdelr3",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",49,0.044890887847232,FALSE,"Ckap4",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",50,0.0448199356690002,FALSE,"Sorcs2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",51,0.0447489834907683,FALSE,"Maged2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",52,0.0446780313125364,FALSE,"Postn",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",53,0.0446070791343045,FALSE,"Gpr153",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",54,0.0445361269560727,FALSE,"Bmper",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",55,0.0444651747778408,FALSE,"Col3a1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",56,0.0443942225996089,FALSE,"Mpeg1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",57,0.0443232704213771,FALSE,"Arl4c",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",58,0.0442523182431452,FALSE,"Adam12",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",59,0.0441813660649133,FALSE,"Trem2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",60,0.0441104138866814,FALSE,"Stk36",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",61,0.0440394617084496,FALSE,"Clec4n",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",62,0.0439685095302177,FALSE,"Col5a1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",63,0.0438975573519858,FALSE,"Lrrc15",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",64,0.043826605173754,FALSE,"Pofut2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",65,0.0437556529955221,FALSE,"Slc39a14",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",66,0.0436847008172902,FALSE,"Tspan11",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",67,0.0436137486390583,FALSE,"Fzd6",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",68,0.0435427964608265,FALSE,"Fbn2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",69,0.0434718442825946,FALSE,"Plekhh2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",70,0.0434008921043627,FALSE,"Col8a1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",71,0.0433299399261309,FALSE,"Adamts4",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",72,0.043258987747899,FALSE,"Vstm4",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",73,0.0431880355696671,FALSE,"Cd63",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",74,0.0431170833914352,FALSE,"Fkbp11",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",75,0.0430461312132034,FALSE,"Srgap2",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",76,0.0571096026415386,TRUE,"Pdpn",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",77,0.0570386504633067,FALSE,"Tril",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",78,0.0569676982850749,FALSE,"Ctxn1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",79,0.056896746106843,FALSE,"Kcp",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",80,0.0568257939286111,FALSE,"Sdc1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",81,0.0567548417503792,FALSE,"Cdk4",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",82,0.0566838895721474,FALSE,"Epb41l3",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",83,0.0566129373939155,FALSE,"Arhgef25",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",84,0.0565419852156836,FALSE,"Marcks",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",85,0.0564710330374518,FALSE,"Soat1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",86,0.0564000808592199,FALSE,"Fyb1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",87,0.056329128680988,FALSE,"Gpr88",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",88,0.0562581765027561,FALSE,"Csgalnact1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",89,0.0561872243245243,FALSE,"Racgap1",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",90,0.0561162721462924,FALSE,"Tubb6",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",91,0.0560453199680605,FALSE,"Pcsk5",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
"1W","HALLMARK_INFLAMMATORY_RESPONSE",92,0.0559743677898287,FALSE,"Cdr2l",2.48095929385796,2.9133025631538e-13,3.49596307578455e-14
