"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol_for_gorth"
"G10090_10724",381199,"Tmem151a",1.5421766065483,0.000198645666309403,"Up",2.61369458497657,0.000233334005681687,"Up","Up","persistent_direction_consistent","Tmem151a"
"G10090_10758",233651,"Dchs1",1.34078785898806,1.7963949508877e-07,"Up",1.43416137223212,1.54017955733362e-05,"Up","Up","persistent_direction_consistent","Dchs1"
"G10090_10774",108797,"Mex3b",2.38466158681783,7.32538033488519e-10,"Up",2.21153141078076,3.13436890041195e-06,"Up","Up","persistent_direction_consistent","Mex3b"
"G10090_10777",26432,"Plod2",2.53597701197265,5.33945018856134e-08,"Up",2.08408308555239,1.45718653954868e-05,"Up","Up","persistent_direction_consistent","Plod2"
"G10090_1078",626359,"Wdr93",-1.50357386887249,0.000173568843647014,"Down",-1.36038306095782,0.000372418634015048,"Down","Down","persistent_direction_consistent","Wdr93"
"G10090_10787",68655,"Fndc1",2.1724415228168,2.28979650768841e-07,"Up",1.55409412425604,7.66111505534496e-06,"Up","Up","persistent_direction_consistent","Fndc1"
"G10090_10804",26968,"Islr",1.45960068654273,3.81448829789216e-07,"Up",1.59459650436031,9.12435771370919e-06,"Up","Up","persistent_direction_consistent","Islr"
"G10090_10812",212539,"Gm266",1.47051879219358,4.01686895804901e-07,"Up",1.19613024322286,0.00341396034559764,"Up","Up","persistent_direction_consistent","Gm266"
"G10090_10817",77963,"Hook1",-1.70364375449272,0.000110784903812254,"Down",-1.50277962419591,0.000529870912997535,"Down","Down","persistent_direction_consistent","Hook1"
"G10090_10829",55984,"Camkk1",1.09405663556752,1.38703795759073e-05,"Up",1.20189183673905,0.000329649115095969,"Up","Up","persistent_direction_consistent","Camkk1"
"G10090_10896",50795,"Sh3bgr",-1.70040947495505,4.39477264146485e-05,"Down",-1.10394542541173,0.000359893987528556,"Down","Down","persistent_direction_consistent","Sh3bgr"
"G10090_10933",66968,"Plin5",-2.18704823752654,2.39623183137192e-08,"Down",-1.29820142084998,0.00037003647959937,"Down","Down","persistent_direction_consistent","Plin5"
"G10090_10934",68316,"Apoo",-1.59658103934728,3.61792250935032e-06,"Down",-1.06546702185004,0.000369718162463271,"Down","Down","persistent_direction_consistent","Apoo"
"G10090_10936",17174,"Masp1",1.779948430988,8.12341472414908e-07,"Up",1.7711452131993,8.8595174559856e-06,"Up","Up","persistent_direction_consistent","Masp1"
"G10090_10947",12790,"Cnga3",-1.25723113475101,0.00129220369586813,"Down",-1.02059176065404,0.0107007891039614,"Down","Down","persistent_direction_consistent","Cnga3"
"G10090_10949",71870,"Cfap45",1.8063097268102,6.05524049791513e-06,"Up",1.72037074030952,0.00086256695204694,"Up","Up","persistent_direction_consistent","Cfap45"
"G10090_10951",21677,"Tead2",1.6548007991051,9.61522178472292e-10,"Up",1.07214962437906,2.94634839825645e-05,"Up","Up","persistent_direction_consistent","Tead2"
"G10090_10973",245026,"Col6a6",1.63960513038109,1.68038397454064e-06,"Up",1.2219173750697,0.00155521505109895,"Up","Up","persistent_direction_consistent","Col6a6"
"G10090_10984",217951,"Tmem196",1.26539821358361,0.00229127511132878,"Up",2.60706434090126,3.61559357158388e-05,"Up","Up","persistent_direction_consistent","Tmem196"
"G10090_10985",12442,"Ccnb2",2.91473112225295,1.46381607305411e-08,"Up",1.55633216108944,0.00039555922731634,"Up","Up","persistent_direction_consistent","Ccnb2"
"G10090_10991",77627,"Efcab6",-1.05206095412122,0.00347225296743942,"Down",-1.12353412373722,6.01844469740777e-05,"Down","Down","persistent_direction_consistent","Efcab6"
"G10090_11013",64450,"Gpr85",1.44404007787808,2.03799257554444e-07,"Up",1.37358319493449,0.000871936917674074,"Up","Up","persistent_direction_consistent","Gpr85"
"G10090_11038",17181,"Matn2",2.03312796504438,2.96149274670775e-09,"Up",1.74022121125355,1.21670045222572e-05,"Up","Up","persistent_direction_consistent","Matn2"
"G10090_11040",216848,"Chd3",1.48880829414495,7.88982696447111e-08,"Up",1.08467336288041,0.000111832727745355,"Up","Up","persistent_direction_consistent","Chd3"
"G10090_11044",14658,"Glrb",1.05885883697945,0.00192414903191392,"Up",1.6520646140111,3.36556731678536e-05,"Up","Up","persistent_direction_consistent","Glrb"
"G10090_1107",16905,"Lmna",1.22801783123848,8.05777925790531e-08,"Up",1.09704472386418,1.89203058694459e-05,"Up","Up","persistent_direction_consistent","Lmna"
"G10090_11086",57810,"Cdon",1.04821283490578,1.98619159922854e-06,"Up",1.49330758000023,5.451423187347e-06,"Up","Up","persistent_direction_consistent","Cdon"
"G10090_11094",217826,"Kcnk13",1.09901228187335,1.47869930032642e-05,"Up",1.3553810463377,3.97855697816939e-05,"Up","Up","persistent_direction_consistent","Kcnk13"
"G10090_11137",107221,"Ffar4",-1.76964300443338,0.000263205532696303,"Down",-1.49366759057264,6.9727038835351e-05,"Down","Down","persistent_direction_consistent","Ffar4"
"G10090_11194",14311,"Cidec",-2.16495448967409,2.61876347950293e-05,"Down",-1.43936919354249,9.86362862066659e-05,"Down","Down","persistent_direction_consistent","Cidec"
"G10090_11195",16998,"Ltbp3",1.08186701813276,7.39960687495498e-08,"Up",1.16187236005735,2.32305767630213e-05,"Up","Up","persistent_direction_consistent","Ltbp3"
"G10090_11209",16323,"Inhba",1.12222611499478,0.0013398184465575,"Up",1.32889734315524,0.000133728959646953,"Up","Up","persistent_direction_consistent","Inhba"
"G10090_1121",237353,"Sh3rf3",1.43547605839052,4.34459012770767e-08,"Up",1.04754428541024,1.98865951748808e-05,"Up","Up","persistent_direction_consistent","Sh3rf3"
"G10090_11232",69993,"Chn2",1.3168827873041,6.10399649373505e-08,"Up",1.14093551579818,5.44418578631549e-05,"Up","Up","persistent_direction_consistent","Chn2"
"G10090_11268",52150,"Kcnk6",1.36117004176439,1.38405796463474e-07,"Up",1.13774376325939,0.000115735038588379,"Up","Up","persistent_direction_consistent","Kcnk6"
"G10090_11287",21804,"Tgfb1i1",1.35673262268377,1.97394018364094e-09,"Up",1.23786314026783,7.66111505534496e-06,"Up","Up","persistent_direction_consistent","Tgfb1i1"
"G10090_11354",110595,"Timp4",-2.41093286747625,9.9715920651632e-10,"Down",-1.32303077006913,1.94777734694742e-05,"Down","Down","persistent_direction_consistent","Timp4"
"G10090_1136",107587,"Osr2",1.32382729185181,1.69288012706009e-06,"Up",1.4109018653925,3.84714157601646e-05,"Up","Up","persistent_direction_consistent","Osr2"
"G10090_11366",53867,"Col5a3",1.4077099724491,4.19019510985919e-08,"Up",1.261501137455,8.76683255998049e-05,"Up","Up","persistent_direction_consistent","Col5a3"
"G10090_11368",232413,"Clec12a",2.28321487182827,4.70357813675509e-09,"Up",1.08059212431553,0.000191738597715959,"Up","Up","persistent_direction_consistent","Clec12a"
