"human_symbol","CellAge_effect"
"FERMT1","Inhibits"
"FERMT2","Inhibits"
"FGF21","Inhibits"
"FGFR1","Induces"
"FGFR2","Unclear"
"FGFR3","Induces"
"FIS1","Inhibits"
"FLT1","Inhibits"
"FNTB","Inhibits"
"FOS","Inhibits"
"FOXA1","Induces"
"FOXD1","Unclear"
"FOXM1","Inhibits"
"FOXO1","Induces"
"FOXO3","Inhibits"
"FOXO4","Induces"
"FOXP1","Inhibits"
"FOXP3","Induces"
"FOXQ1","Inhibits"
"FSCN1","Inhibits"
"FXN","Inhibits"
"FXR1","Inhibits"
"G6PD","Inhibits"
"GADD45G","Induces"
"GAPDH","Inhibits"
"GATA4","Induces"
"GDF15","Induces"
"GEMIN2","Induces"
"GGCT","Inhibits"
"GJA1","Induces"
"GKN1","Induces"
"GLI1","Inhibits"
"GMNN","Inhibits"
"GMPS","Inhibits"
"GNG11","Induces"
"GNMT","Induces"
"GPC3","Inhibits"
"GRIK2","Induces"
"GRK4","Induces"
"GRK6","Induces"
"GRN","Inhibits"
"GRPR","Inhibits"
"GRSF1","Inhibits"
"GSK3A","Inhibits"
"GSK3B","Inhibits"
"GTSE1","Inhibits"
"HAS1","Inhibits"
"HAUS4","Inhibits"
"HBP1","Induces"
"HDAC1","Induces"
"HDAC2","Inhibits"
"HDAC3","Inhibits"
"HDAC4","Inhibits"
"HDAC7","Inhibits"
"HELLS","Inhibits"
"HEPACAM","Induces"
"HIF1A","Inhibits"
"HIPK2","Induces"
"HIRA","Induces"
"HIVEP1","Inhibits"
"HJURP","Inhibits"
"HK3","Induces"
"HMGA1","Induces"
"HMGA2","Induces"
"HMGB1","Inhibits"
"HMGB2","Inhibits"
"HMGB3","Inhibits"
"HMGCR","Inhibits"
"HNRNPA1","Inhibits"
"HNRNPA3","Inhibits"
"HNRNPAB","Inhibits"
"HNRNPC","Induces"
"HNRNPD","Inhibits"
"HOPX","Induces"
"HOXA9","Inhibits"
"HRAS","Induces"
"HS2ST1","Inhibits"
"HSF1","Inhibits"
"HSP90AA1","Inhibits"
"HSP90AB1","Inhibits"
"HSPA1A","Inhibits"
"HSPA2","Inhibits"
"HSPA5","Inhibits"
"HSPA9","Induces"
"HSPB1","Inhibits"
"HTRA1","Induces"
"HYOU1","Inhibits"
"ID1","Inhibits"
"IFI16","Induces"
"IFNG","Induces"
"IGFBP1","Induces"
"IGFBP3","Induces"
"IGFBP5","Induces"
"IGFBP7","Induces"
"IKBKG","Induces"
"IL1A","Induces"
"IL1R1","Induces"
"IL1RN","Unclear"
"IL24","Inhibits"
"IL6","Induces"
"ILF3","Inhibits"
"ILK","Inhibits"
"IMMT","Inhibits"
"INCENP","Inhibits"
"ING1","Induces"
"ING2","Induces"
"ING5","Induces"
"INPP4B","Inhibits"
"IRAK4","Inhibits"
"IRF1","Induces"
"IRF3","Induces"
"IRF5","Induces"
"IRF7","Induces"
"ITGB3","Induces"
"ITGB4","Induces"
"ITPK1","Induces"
"ITPKB","Induces"
"ITPR1","Induces"
"ITPR2","Induces"
"ITPR3","Induces"
"ITSN2","Induces"
"JAK2","Induces"
"JPT1","Inhibits"
"JUN","Inhibits"
"JUNB","Induces"
"KAT5","Induces"
"KCNA1","Induces"
"KCNJ12","Inhibits"
"KDM1A","Inhibits"
"KDM2B","Inhibits"
"KDM4A","Unclear"
"KDM4C","Inhibits"
"KDM5B","Inhibits"
"KDM6B","Induces"
"KDR","Inhibits"
"KEAP1","Induces"
"KIF11","Inhibits"
"KIF20A","Inhibits"
"KIF2C","Inhibits"
"KIFC1","Inhibits"
"KL","Inhibits"
