"pathway","gene_symbol"
"HALLMARK_ADIPOGENESIS","Abca1"
"HALLMARK_ADIPOGENESIS","Abcb8"
"HALLMARK_ADIPOGENESIS","Acaa2"
"HALLMARK_ADIPOGENESIS","Acadl"
"HALLMARK_ADIPOGENESIS","Acadm"
"HALLMARK_ADIPOGENESIS","Acads"
"HALLMARK_ADIPOGENESIS","Acly"
"HALLMARK_ADIPOGENESIS","Aco2"
"HALLMARK_ADIPOGENESIS","Acox1"
"HALLMARK_ADIPOGENESIS","Adcy6"
"HALLMARK_ADIPOGENESIS","Adig"
"HALLMARK_ADIPOGENESIS","Adipoq"
"HALLMARK_ADIPOGENESIS","Adipor2"
"HALLMARK_ADIPOGENESIS","Agpat3"
"HALLMARK_ADIPOGENESIS","Aifm1"
"HALLMARK_ADIPOGENESIS","Ak2"
"HALLMARK_ADIPOGENESIS","Aldh2"
"HALLMARK_ADIPOGENESIS","Aldoa"
"HALLMARK_ADIPOGENESIS","Angpt1"
"HALLMARK_ADIPOGENESIS","Angptl4"
"HALLMARK_ADIPOGENESIS","Aplp2"
"HALLMARK_ADIPOGENESIS","Apoe"
"HALLMARK_ADIPOGENESIS","Araf"
"HALLMARK_ADIPOGENESIS","Arl4a"
"HALLMARK_ADIPOGENESIS","Atl2"
"HALLMARK_ADIPOGENESIS","Atp1b3"
"HALLMARK_ADIPOGENESIS","Atp5o"
"HALLMARK_ADIPOGENESIS","Baz2a"
"HALLMARK_ADIPOGENESIS","Bckdha"
"HALLMARK_ADIPOGENESIS","Bcl2l13"
"HALLMARK_ADIPOGENESIS","Bcl6"
"HALLMARK_ADIPOGENESIS","C3"
"HALLMARK_ADIPOGENESIS","Cat"
"HALLMARK_ADIPOGENESIS","Cavin1"
"HALLMARK_ADIPOGENESIS","Cavin2"
"HALLMARK_ADIPOGENESIS","Ccng2"
"HALLMARK_ADIPOGENESIS","Cd151"
"HALLMARK_ADIPOGENESIS","Cd302"
"HALLMARK_ADIPOGENESIS","Cd36"
"HALLMARK_ADIPOGENESIS","Cdkn2c"
"HALLMARK_ADIPOGENESIS","Chchd10"
"HALLMARK_ADIPOGENESIS","Chuk"
"HALLMARK_ADIPOGENESIS","Cidea"
"HALLMARK_ADIPOGENESIS","Cmbl"
"HALLMARK_ADIPOGENESIS","Cmpk1"
"HALLMARK_ADIPOGENESIS","Col15a1"
"HALLMARK_ADIPOGENESIS","Col4a1"
"HALLMARK_ADIPOGENESIS","Coq3"
"HALLMARK_ADIPOGENESIS","Coq5"
"HALLMARK_ADIPOGENESIS","Coq9"
"HALLMARK_ADIPOGENESIS","Cox6a1"
"HALLMARK_ADIPOGENESIS","Cox7b"
"HALLMARK_ADIPOGENESIS","Cox8a"
"HALLMARK_ADIPOGENESIS","Cpt2"
"HALLMARK_ADIPOGENESIS","Crat"
"HALLMARK_ADIPOGENESIS","Cs"
"HALLMARK_ADIPOGENESIS","Cyc1"
"HALLMARK_ADIPOGENESIS","Cyp4b1"
"HALLMARK_ADIPOGENESIS","Dbt"
"HALLMARK_ADIPOGENESIS","Ddt"
"HALLMARK_ADIPOGENESIS","Decr1"
"HALLMARK_ADIPOGENESIS","Dgat1"
"HALLMARK_ADIPOGENESIS","Dhcr7"
"HALLMARK_ADIPOGENESIS","Dhrs7"
"HALLMARK_ADIPOGENESIS","Dhrs7b"
"HALLMARK_ADIPOGENESIS","Dlat"
"HALLMARK_ADIPOGENESIS","Dld"
"HALLMARK_ADIPOGENESIS","Dnajb9"
"HALLMARK_ADIPOGENESIS","Dnajc15"
"HALLMARK_ADIPOGENESIS","Dram2"
"HALLMARK_ADIPOGENESIS","Ech1"
"HALLMARK_ADIPOGENESIS","Echs1"
"HALLMARK_ADIPOGENESIS","Elmod3"
"HALLMARK_ADIPOGENESIS","Elovl6"
"HALLMARK_ADIPOGENESIS","Enpp2"
"HALLMARK_ADIPOGENESIS","Ephx2"
"HALLMARK_ADIPOGENESIS","Esrra"
"HALLMARK_ADIPOGENESIS","Esyt1"
