"pathway","gene_symbol"
"HALLMARK_ADIPOGENESIS","Etfb"
"HALLMARK_ADIPOGENESIS","Fabp4"
"HALLMARK_ADIPOGENESIS","Fah"
"HALLMARK_ADIPOGENESIS","Fzd4"
"HALLMARK_ADIPOGENESIS","G3bp2"
"HALLMARK_ADIPOGENESIS","Gadd45a"
"HALLMARK_ADIPOGENESIS","Gbe1"
"HALLMARK_ADIPOGENESIS","Ghitm"
"HALLMARK_ADIPOGENESIS","Gpam"
"HALLMARK_ADIPOGENESIS","Gpat4"
"HALLMARK_ADIPOGENESIS","Gpd2"
"HALLMARK_ADIPOGENESIS","Gphn"
"HALLMARK_ADIPOGENESIS","Gpx3"
"HALLMARK_ADIPOGENESIS","Gpx4"
"HALLMARK_ADIPOGENESIS","Grpel1"
"HALLMARK_ADIPOGENESIS","Hadh"
"HALLMARK_ADIPOGENESIS","Hibch"
"HALLMARK_ADIPOGENESIS","Hspb8"
"HALLMARK_ADIPOGENESIS","Idh1"
"HALLMARK_ADIPOGENESIS","Idh3a"
"HALLMARK_ADIPOGENESIS","Idh3g"
"HALLMARK_ADIPOGENESIS","Ifngr1"
"HALLMARK_ADIPOGENESIS","Immt"
"HALLMARK_ADIPOGENESIS","Itga7"
"HALLMARK_ADIPOGENESIS","Itih5"
"HALLMARK_ADIPOGENESIS","Itsn1"
"HALLMARK_ADIPOGENESIS","Jagn1"
"HALLMARK_ADIPOGENESIS","Lama4"
"HALLMARK_ADIPOGENESIS","Lep"
"HALLMARK_ADIPOGENESIS","Lifr"
"HALLMARK_ADIPOGENESIS","Lipe"
"HALLMARK_ADIPOGENESIS","Lpcat3"
"HALLMARK_ADIPOGENESIS","Lpl"
"HALLMARK_ADIPOGENESIS","Ltc4s"
"HALLMARK_ADIPOGENESIS","Map4k3"
"HALLMARK_ADIPOGENESIS","Mccc1"
"HALLMARK_ADIPOGENESIS","Mdh2"
"HALLMARK_ADIPOGENESIS","Me1"
"HALLMARK_ADIPOGENESIS","Mgll"
"HALLMARK_ADIPOGENESIS","Mgst3"
"HALLMARK_ADIPOGENESIS","Miga2"
"HALLMARK_ADIPOGENESIS","Mrap"
"HALLMARK_ADIPOGENESIS","Mrpl15"
"HALLMARK_ADIPOGENESIS","Mtarc2"
"HALLMARK_ADIPOGENESIS","Mtch2"
"HALLMARK_ADIPOGENESIS","Mylk"
"HALLMARK_ADIPOGENESIS","Nabp1"
"HALLMARK_ADIPOGENESIS","Ndufa5"
"HALLMARK_ADIPOGENESIS","Ndufab1"
"HALLMARK_ADIPOGENESIS","Ndufb7"
"HALLMARK_ADIPOGENESIS","Ndufs3"
"HALLMARK_ADIPOGENESIS","Nkiras1"
"HALLMARK_ADIPOGENESIS","Nmt1"
"HALLMARK_ADIPOGENESIS","Omd"
"HALLMARK_ADIPOGENESIS","Orm1"
"HALLMARK_ADIPOGENESIS","Pdcd4"
"HALLMARK_ADIPOGENESIS","Pemt"
"HALLMARK_ADIPOGENESIS","Pex14"
"HALLMARK_ADIPOGENESIS","Pfkfb3"
"HALLMARK_ADIPOGENESIS","Pfkl"
"HALLMARK_ADIPOGENESIS","Pgm1"
"HALLMARK_ADIPOGENESIS","Phldb1"
"HALLMARK_ADIPOGENESIS","Phyh"
"HALLMARK_ADIPOGENESIS","Pim3"
"HALLMARK_ADIPOGENESIS","Plin2"
"HALLMARK_ADIPOGENESIS","Por"
"HALLMARK_ADIPOGENESIS","Pparg"
"HALLMARK_ADIPOGENESIS","Ppm1b"
"HALLMARK_ADIPOGENESIS","Ppp1r15b"
"HALLMARK_ADIPOGENESIS","Prdx3"
"HALLMARK_ADIPOGENESIS","Preb"
"HALLMARK_ADIPOGENESIS","Ptcd3"
"HALLMARK_ADIPOGENESIS","Ptger3"
"HALLMARK_ADIPOGENESIS","Qdpr"
"HALLMARK_ADIPOGENESIS","Rab34"
"HALLMARK_ADIPOGENESIS","Reep5"
"HALLMARK_ADIPOGENESIS","Reep6"
"HALLMARK_ADIPOGENESIS","Retn"
"HALLMARK_ADIPOGENESIS","Retsat"
"HALLMARK_ADIPOGENESIS","Riok3"
"HALLMARK_ADIPOGENESIS","Rmdn3"
"HALLMARK_ADIPOGENESIS","Rnf11"
"HALLMARK_ADIPOGENESIS","Rreb1"
"HALLMARK_ADIPOGENESIS","Rtn3"
"HALLMARK_ADIPOGENESIS","Samm50"
"HALLMARK_ADIPOGENESIS","Scarb1"
"HALLMARK_ADIPOGENESIS","Scp2"
"HALLMARK_ADIPOGENESIS","Sdhb"
"HALLMARK_ADIPOGENESIS","Sdhc"
"HALLMARK_ADIPOGENESIS","Slc19a1"
"HALLMARK_ADIPOGENESIS","Slc1a5"
"HALLMARK_ADIPOGENESIS","Slc25a1"
"HALLMARK_ADIPOGENESIS","Slc25a10"
"HALLMARK_ADIPOGENESIS","Slc27a1"
"HALLMARK_ADIPOGENESIS","Slc5a6"
"HALLMARK_ADIPOGENESIS","Pqlc3"
"HALLMARK_ADIPOGENESIS","Sncg"
"HALLMARK_ADIPOGENESIS","Sod1"
"HALLMARK_ADIPOGENESIS","Sorbs1"
"HALLMARK_ADIPOGENESIS","Sowahc"
"HALLMARK_ADIPOGENESIS","Sparcl1"
"HALLMARK_ADIPOGENESIS","Sqor"
"HALLMARK_ADIPOGENESIS","Sspn"
"HALLMARK_ADIPOGENESIS","Stat5a"
"HALLMARK_ADIPOGENESIS","Stom"
"HALLMARK_ADIPOGENESIS","Suclg1"
"HALLMARK_ADIPOGENESIS","Sult1a1"
"HALLMARK_ADIPOGENESIS","Taldo1"
"HALLMARK_ADIPOGENESIS","Tank"
"HALLMARK_ADIPOGENESIS","Tkt"
"HALLMARK_ADIPOGENESIS","Tob1"
"HALLMARK_ADIPOGENESIS","Tst"
"HALLMARK_ADIPOGENESIS","Ubc"
"HALLMARK_ADIPOGENESIS","Ubqln1"
"HALLMARK_ADIPOGENESIS","Uck1"
"HALLMARK_ADIPOGENESIS","Ucp2"
"HALLMARK_ADIPOGENESIS","Uqcr10"
"HALLMARK_ADIPOGENESIS","Uqcr11"
"HALLMARK_ADIPOGENESIS","Uqcrc1"
"HALLMARK_ADIPOGENESIS","Uqcrq"
"HALLMARK_ADIPOGENESIS","Vegfb"
"HALLMARK_ADIPOGENESIS","Ywhag"
"HALLMARK_ALLOGRAFT_REJECTION","Aars"
"HALLMARK_ALLOGRAFT_REJECTION","Abce1"
"HALLMARK_ALLOGRAFT_REJECTION","Abi1"
"HALLMARK_ALLOGRAFT_REJECTION","Ache"
"HALLMARK_ALLOGRAFT_REJECTION","Acvr2a"
"HALLMARK_ALLOGRAFT_REJECTION","Akt1"
"HALLMARK_ALLOGRAFT_REJECTION","Apbb1"
"HALLMARK_ALLOGRAFT_REJECTION","B2m"
"HALLMARK_ALLOGRAFT_REJECTION","Bcat1"
"HALLMARK_ALLOGRAFT_REJECTION","Bcl10"
"HALLMARK_ALLOGRAFT_REJECTION","Bcl3"
"HALLMARK_ALLOGRAFT_REJECTION","Brca1"
"HALLMARK_ALLOGRAFT_REJECTION","C2"
"HALLMARK_ALLOGRAFT_REJECTION","Capg"
"HALLMARK_ALLOGRAFT_REJECTION","Cartpt"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl11"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl19"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl2"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl22"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl4"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl5"
"HALLMARK_ALLOGRAFT_REJECTION","Ccl7"
"HALLMARK_ALLOGRAFT_REJECTION","Ccnd2"
"HALLMARK_ALLOGRAFT_REJECTION","Ccnd3"
"HALLMARK_ALLOGRAFT_REJECTION","Ccr1"
"HALLMARK_ALLOGRAFT_REJECTION","Ccr2"
"HALLMARK_ALLOGRAFT_REJECTION","Ccr5"
"HALLMARK_ALLOGRAFT_REJECTION","Cd1d1"
"HALLMARK_ALLOGRAFT_REJECTION","Cd2"
"HALLMARK_ALLOGRAFT_REJECTION","Cd247"
"HALLMARK_ALLOGRAFT_REJECTION","Cd28"
"HALLMARK_ALLOGRAFT_REJECTION","Cd3d"
"HALLMARK_ALLOGRAFT_REJECTION","Cd3e"
"HALLMARK_ALLOGRAFT_REJECTION","Cd3g"
"HALLMARK_ALLOGRAFT_REJECTION","Cd4"
"HALLMARK_ALLOGRAFT_REJECTION","Cd40"
"HALLMARK_ALLOGRAFT_REJECTION","Cd40lg"
"HALLMARK_ALLOGRAFT_REJECTION","Cd47"
"HALLMARK_ALLOGRAFT_REJECTION","Cd7"
"HALLMARK_ALLOGRAFT_REJECTION","Cd74"
"HALLMARK_ALLOGRAFT_REJECTION","Cd79a"
"HALLMARK_ALLOGRAFT_REJECTION","Cd80"
"HALLMARK_ALLOGRAFT_REJECTION","Cd86"
"HALLMARK_ALLOGRAFT_REJECTION","Cd8a"
"HALLMARK_ALLOGRAFT_REJECTION","Cd8b1"
"HALLMARK_ALLOGRAFT_REJECTION","Cd96"
"HALLMARK_ALLOGRAFT_REJECTION","Cdkn2a"
"HALLMARK_ALLOGRAFT_REJECTION","Cfp"
"HALLMARK_ALLOGRAFT_REJECTION","Crtam"
"HALLMARK_ALLOGRAFT_REJECTION","Csf1"
"HALLMARK_ALLOGRAFT_REJECTION","Csk"
"HALLMARK_ALLOGRAFT_REJECTION","Ctss"
"HALLMARK_ALLOGRAFT_REJECTION","Cxcl13"
"HALLMARK_ALLOGRAFT_REJECTION","Cxcl9"
"HALLMARK_ALLOGRAFT_REJECTION","Cxcr3"
"HALLMARK_ALLOGRAFT_REJECTION","Dars"
"HALLMARK_ALLOGRAFT_REJECTION","Degs1"
"HALLMARK_ALLOGRAFT_REJECTION","Dyrk3"
"HALLMARK_ALLOGRAFT_REJECTION","Egfr"
"HALLMARK_ALLOGRAFT_REJECTION","Eif3a"
"HALLMARK_ALLOGRAFT_REJECTION","Eif3d"
"HALLMARK_ALLOGRAFT_REJECTION","Eif3j1"
"HALLMARK_ALLOGRAFT_REJECTION","Eif3j2"
"HALLMARK_ALLOGRAFT_REJECTION","Eif4g3"
"HALLMARK_ALLOGRAFT_REJECTION","Eif5a"
"HALLMARK_ALLOGRAFT_REJECTION","Elane"
"HALLMARK_ALLOGRAFT_REJECTION","Elf4"
"HALLMARK_ALLOGRAFT_REJECTION","Ereg"
"HALLMARK_ALLOGRAFT_REJECTION","Ets1"
"HALLMARK_ALLOGRAFT_REJECTION","F2"
"HALLMARK_ALLOGRAFT_REJECTION","F2r"
"HALLMARK_ALLOGRAFT_REJECTION","Fas"
"HALLMARK_ALLOGRAFT_REJECTION","Fasl"
"HALLMARK_ALLOGRAFT_REJECTION","Fcgr2b"
"HALLMARK_ALLOGRAFT_REJECTION","Fgr"
"HALLMARK_ALLOGRAFT_REJECTION","Flna"
"HALLMARK_ALLOGRAFT_REJECTION","Fyb"
"HALLMARK_ALLOGRAFT_REJECTION","Galnt1"
"HALLMARK_ALLOGRAFT_REJECTION","Gbp2"
"HALLMARK_ALLOGRAFT_REJECTION","Gcnt1"
"HALLMARK_ALLOGRAFT_REJECTION","Glmn"
"HALLMARK_ALLOGRAFT_REJECTION","Gpr65"
"HALLMARK_ALLOGRAFT_REJECTION","Gzma"
"HALLMARK_ALLOGRAFT_REJECTION","Gzmb"
"HALLMARK_ALLOGRAFT_REJECTION","Hcls1"
"HALLMARK_ALLOGRAFT_REJECTION","Hdac9"
"HALLMARK_ALLOGRAFT_REJECTION","Hif1a"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Q10"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Q7"
"HALLMARK_ALLOGRAFT_REJECTION","H2-DMa"
"HALLMARK_ALLOGRAFT_REJECTION","H2-DMb1"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Oa"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Ob"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Aa"
"HALLMARK_ALLOGRAFT_REJECTION","H2-Ea"
"HALLMARK_ALLOGRAFT_REJECTION","H2-T23"
"HALLMARK_ALLOGRAFT_REJECTION","H2-M3"
"HALLMARK_ALLOGRAFT_REJECTION","Icam1"
"HALLMARK_ALLOGRAFT_REJECTION","Icosl"
"HALLMARK_ALLOGRAFT_REJECTION","Ifnar2"
"HALLMARK_ALLOGRAFT_REJECTION","Ifng"
"HALLMARK_ALLOGRAFT_REJECTION","Ifngr1"
"HALLMARK_ALLOGRAFT_REJECTION","Ifngr2"
"HALLMARK_ALLOGRAFT_REJECTION","Igsf6"
"HALLMARK_ALLOGRAFT_REJECTION","Ikbkb"
"HALLMARK_ALLOGRAFT_REJECTION","Il10"
"HALLMARK_ALLOGRAFT_REJECTION","Il11"
"HALLMARK_ALLOGRAFT_REJECTION","Il12a"
"HALLMARK_ALLOGRAFT_REJECTION","Il12b"
"HALLMARK_ALLOGRAFT_REJECTION","Il12rb1"
"HALLMARK_ALLOGRAFT_REJECTION","Il13"
"HALLMARK_ALLOGRAFT_REJECTION","Il15"
"HALLMARK_ALLOGRAFT_REJECTION","Il16"
"HALLMARK_ALLOGRAFT_REJECTION","Il18"
"HALLMARK_ALLOGRAFT_REJECTION","Il18rap"
"HALLMARK_ALLOGRAFT_REJECTION","Il1b"
"HALLMARK_ALLOGRAFT_REJECTION","Il2"
"HALLMARK_ALLOGRAFT_REJECTION","Il27ra"
"HALLMARK_ALLOGRAFT_REJECTION","Il2ra"
"HALLMARK_ALLOGRAFT_REJECTION","Il2rb"
"HALLMARK_ALLOGRAFT_REJECTION","Il2rg"
"HALLMARK_ALLOGRAFT_REJECTION","Il4"
"HALLMARK_ALLOGRAFT_REJECTION","Il4ra"
"HALLMARK_ALLOGRAFT_REJECTION","Il6"
"HALLMARK_ALLOGRAFT_REJECTION","Il7"
"HALLMARK_ALLOGRAFT_REJECTION","Il9"
"HALLMARK_ALLOGRAFT_REJECTION","Inhba"
"HALLMARK_ALLOGRAFT_REJECTION","Inhbb"
"HALLMARK_ALLOGRAFT_REJECTION","Irf4"
"HALLMARK_ALLOGRAFT_REJECTION","Irf7"
"HALLMARK_ALLOGRAFT_REJECTION","Irf8"
"HALLMARK_ALLOGRAFT_REJECTION","Itgal"
"HALLMARK_ALLOGRAFT_REJECTION","Itgb2"
"HALLMARK_ALLOGRAFT_REJECTION","Itk"
"HALLMARK_ALLOGRAFT_REJECTION","Jak2"
"HALLMARK_ALLOGRAFT_REJECTION","Klrd1"
"HALLMARK_ALLOGRAFT_REJECTION","Krt1"
"HALLMARK_ALLOGRAFT_REJECTION","Lck"
"HALLMARK_ALLOGRAFT_REJECTION","Lcp2"
"HALLMARK_ALLOGRAFT_REJECTION","Lif"
"HALLMARK_ALLOGRAFT_REJECTION","Ltb"
"HALLMARK_ALLOGRAFT_REJECTION","Ly75"
"HALLMARK_ALLOGRAFT_REJECTION","Ly86"
"HALLMARK_ALLOGRAFT_REJECTION","Lyn"
"HALLMARK_ALLOGRAFT_REJECTION","Map3k7"
"HALLMARK_ALLOGRAFT_REJECTION","Map4k1"
"HALLMARK_ALLOGRAFT_REJECTION","Mbl2"
"HALLMARK_ALLOGRAFT_REJECTION","Mmp9"
"HALLMARK_ALLOGRAFT_REJECTION","Mrpl3"
"HALLMARK_ALLOGRAFT_REJECTION","Mtif2"
"HALLMARK_ALLOGRAFT_REJECTION","Ncf4"
"HALLMARK_ALLOGRAFT_REJECTION","Nck1"
"HALLMARK_ALLOGRAFT_REJECTION","Ncr1"
"HALLMARK_ALLOGRAFT_REJECTION","Nlrp3"
"HALLMARK_ALLOGRAFT_REJECTION","Nme1"
"HALLMARK_ALLOGRAFT_REJECTION","Nos2"
"HALLMARK_ALLOGRAFT_REJECTION","Npm1"
"HALLMARK_ALLOGRAFT_REJECTION","Pf4"
"HALLMARK_ALLOGRAFT_REJECTION","Prf1"
"HALLMARK_ALLOGRAFT_REJECTION","Prkcb"
"HALLMARK_ALLOGRAFT_REJECTION","Prkcg"
"HALLMARK_ALLOGRAFT_REJECTION","Psmb10"
"HALLMARK_ALLOGRAFT_REJECTION","Ptpn6"
"HALLMARK_ALLOGRAFT_REJECTION","Ptprc"
"HALLMARK_ALLOGRAFT_REJECTION","Rars"
"HALLMARK_ALLOGRAFT_REJECTION","Ripk2"
"HALLMARK_ALLOGRAFT_REJECTION","Rpl39"
"HALLMARK_ALLOGRAFT_REJECTION","Rpl3l"
"HALLMARK_ALLOGRAFT_REJECTION","Rpl9"
"HALLMARK_ALLOGRAFT_REJECTION","Rps19"
"HALLMARK_ALLOGRAFT_REJECTION","Rps3a1"
"HALLMARK_ALLOGRAFT_REJECTION","Rps9"
"HALLMARK_ALLOGRAFT_REJECTION","Sit1"
"HALLMARK_ALLOGRAFT_REJECTION","Socs1"
"HALLMARK_ALLOGRAFT_REJECTION","Socs5"
"HALLMARK_ALLOGRAFT_REJECTION","Spi1"
"HALLMARK_ALLOGRAFT_REJECTION","Srgn"
"HALLMARK_ALLOGRAFT_REJECTION","St8sia4"
"HALLMARK_ALLOGRAFT_REJECTION","Stab1"
"HALLMARK_ALLOGRAFT_REJECTION","Stat1"
"HALLMARK_ALLOGRAFT_REJECTION","Stat4"
"HALLMARK_ALLOGRAFT_REJECTION","Tap1"
"HALLMARK_ALLOGRAFT_REJECTION","Tap2"
"HALLMARK_ALLOGRAFT_REJECTION","Tapbp"
"HALLMARK_ALLOGRAFT_REJECTION","Tgfb1"
"HALLMARK_ALLOGRAFT_REJECTION","Tgfb2"
"HALLMARK_ALLOGRAFT_REJECTION","Thy1"
"HALLMARK_ALLOGRAFT_REJECTION","Timp1"
"HALLMARK_ALLOGRAFT_REJECTION","Tlr1"
"HALLMARK_ALLOGRAFT_REJECTION","Tlr2"
"HALLMARK_ALLOGRAFT_REJECTION","Tlr3"
"HALLMARK_ALLOGRAFT_REJECTION","Tlr6"
"HALLMARK_ALLOGRAFT_REJECTION","Tnf"
"HALLMARK_ALLOGRAFT_REJECTION","Tpd52"
"HALLMARK_ALLOGRAFT_REJECTION","Traf2"
"HALLMARK_ALLOGRAFT_REJECTION","Trat1"
"HALLMARK_ALLOGRAFT_REJECTION","Ube2d1"
"HALLMARK_ALLOGRAFT_REJECTION","Ube2n"
"HALLMARK_ALLOGRAFT_REJECTION","Wars1"
"HALLMARK_ALLOGRAFT_REJECTION","Was"
"HALLMARK_ALLOGRAFT_REJECTION","Zap70"
"HALLMARK_ANDROGEN_RESPONSE","Abcc4"
"HALLMARK_ANDROGEN_RESPONSE","Abhd2"
"HALLMARK_ANDROGEN_RESPONSE","Acsl3"
"HALLMARK_ANDROGEN_RESPONSE","Actn1"
"HALLMARK_ANDROGEN_RESPONSE","Adamts1"
"HALLMARK_ANDROGEN_RESPONSE","Adrm1"
"HALLMARK_ANDROGEN_RESPONSE","Akap12"
"HALLMARK_ANDROGEN_RESPONSE","Akt1"
"HALLMARK_ANDROGEN_RESPONSE","Aldh1a3"
"HALLMARK_ANDROGEN_RESPONSE","Ank"
"HALLMARK_ANDROGEN_RESPONSE","Appbp2"
"HALLMARK_ANDROGEN_RESPONSE","Arid5b"
"HALLMARK_ANDROGEN_RESPONSE","Azgp1"
"HALLMARK_ANDROGEN_RESPONSE","B2m"
"HALLMARK_ANDROGEN_RESPONSE","B4galt1"
"HALLMARK_ANDROGEN_RESPONSE","Bmpr1b"
"HALLMARK_ANDROGEN_RESPONSE","Camkk2"
"HALLMARK_ANDROGEN_RESPONSE","Ccnd1"
"HALLMARK_ANDROGEN_RESPONSE","Ccnd3"
"HALLMARK_ANDROGEN_RESPONSE","Cdc14b"
"HALLMARK_ANDROGEN_RESPONSE","Cdk6"
"HALLMARK_ANDROGEN_RESPONSE","Cenpn"
"HALLMARK_ANDROGEN_RESPONSE","Dbi"
"HALLMARK_ANDROGEN_RESPONSE","Dhcr24"
"HALLMARK_ANDROGEN_RESPONSE","Dnajb9"
"HALLMARK_ANDROGEN_RESPONSE","Elk4"
"HALLMARK_ANDROGEN_RESPONSE","Ell2"
"HALLMARK_ANDROGEN_RESPONSE","Elovl5"
"HALLMARK_ANDROGEN_RESPONSE","Fads1"
"HALLMARK_ANDROGEN_RESPONSE","Fkbp5"
"HALLMARK_ANDROGEN_RESPONSE","Gnai3"
"HALLMARK_ANDROGEN_RESPONSE","Gpd1l"
"HALLMARK_ANDROGEN_RESPONSE","Gsr"
"HALLMARK_ANDROGEN_RESPONSE","Gucy1a1"
"HALLMARK_ANDROGEN_RESPONSE","H1f0"
"HALLMARK_ANDROGEN_RESPONSE","Herc3"
"HALLMARK_ANDROGEN_RESPONSE","Hmgcr"
"HALLMARK_ANDROGEN_RESPONSE","Hmgcs1"
"HALLMARK_ANDROGEN_RESPONSE","Homer2"
"HALLMARK_ANDROGEN_RESPONSE","Hpgd"
"HALLMARK_ANDROGEN_RESPONSE","Hsd17b14"
"HALLMARK_ANDROGEN_RESPONSE","Idi1"
"HALLMARK_ANDROGEN_RESPONSE","Inpp4b"
"HALLMARK_ANDROGEN_RESPONSE","Insig1"
"HALLMARK_ANDROGEN_RESPONSE","Iqgap2"
"HALLMARK_ANDROGEN_RESPONSE","Itgav"
"HALLMARK_ANDROGEN_RESPONSE","Klk1"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b1"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b11"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b16"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b21"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b22"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b24"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b27"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b3"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b4"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b5"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b8"
"HALLMARK_ANDROGEN_RESPONSE","Klk1b9"
"HALLMARK_ANDROGEN_RESPONSE","Krt19"
"HALLMARK_ANDROGEN_RESPONSE","Krt8"
"HALLMARK_ANDROGEN_RESPONSE","Lifr"
"HALLMARK_ANDROGEN_RESPONSE","Lman1"
"HALLMARK_ANDROGEN_RESPONSE","Maf"
"HALLMARK_ANDROGEN_RESPONSE","Mak"
"HALLMARK_ANDROGEN_RESPONSE","Map7"
"HALLMARK_ANDROGEN_RESPONSE","Mertk"
"HALLMARK_ANDROGEN_RESPONSE","Myl12a"
"HALLMARK_ANDROGEN_RESPONSE","Ncoa4"
"HALLMARK_ANDROGEN_RESPONSE","Ndrg1"
"HALLMARK_ANDROGEN_RESPONSE","Ngly1"
"HALLMARK_ANDROGEN_RESPONSE","Nkx3-1"
"HALLMARK_ANDROGEN_RESPONSE","Pa2g4"
"HALLMARK_ANDROGEN_RESPONSE","Pdlim5"
"HALLMARK_ANDROGEN_RESPONSE","Pgm3"
"HALLMARK_ANDROGEN_RESPONSE","Pias1"
"HALLMARK_ANDROGEN_RESPONSE","Plpp1"
"HALLMARK_ANDROGEN_RESPONSE","Pmepa1"
"HALLMARK_ANDROGEN_RESPONSE","Ptk2b"
"HALLMARK_ANDROGEN_RESPONSE","Ptpn21"
"HALLMARK_ANDROGEN_RESPONSE","Rab4a"
"HALLMARK_ANDROGEN_RESPONSE","Rps6ka3"
"HALLMARK_ANDROGEN_RESPONSE","Rrp12"
"HALLMARK_ANDROGEN_RESPONSE","Sat1"
"HALLMARK_ANDROGEN_RESPONSE","Scd1"
"HALLMARK_ANDROGEN_RESPONSE","Scd2"
"HALLMARK_ANDROGEN_RESPONSE","Sec24d"
"HALLMARK_ANDROGEN_RESPONSE","Selenop"
"HALLMARK_ANDROGEN_RESPONSE","Sgk1"
