"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_human_symbol","CellAge_effect"
3065,"HDAC1","histone deacetylase 1","Yes","Unclear","Induces",21420382,"HDAC1","Induces"
3066,"HDAC2","histone deacetylase 2","Yes","Unclear","Inhibits",17409421,"HDAC2","Inhibits"
8841,"HDAC3","histone deacetylase 3","Yes","Unclear","Inhibits",18558095,"HDAC3","Inhibits"
9759,"HDAC4","histone deacetylase 4","No","Replicative","Inhibits",26414199,"HDAC4","Inhibits"
51564,"HDAC7","histone deacetylase 7","Yes","Oncogene-induced","Inhibits",21120446,"HDAC7","Inhibits"
51564,"HDAC7","histone deacetylase 7","Yes","Stress-induced","Inhibits",21120446,"HDAC7","Inhibits"
3070,"HELLS","helicase, lymphoid specific","No","Replicative","Inhibits",19561196,"HELLS","Inhibits"
220296,"HEPACAM","hepatic and glial cell adhesion molecule","Yes","Unclear","Induces",18845560,"HEPACAM","Induces"
3091,"HIF1A","hypoxia inducible factor 1 subunit alpha","Yes","Stress-induced","Inhibits",26057707,"HIF1A","Inhibits"
28996,"HIPK2","homeodomain interacting protein kinase 2","Yes","Oncogene-induced","Induces",25778922,"HIPK2","Induces"
7290,"HIRA","histone cell cycle regulator","No","Oncogene-induced","Induces",15621527,"HIRA","Induces"
3096,"HIVEP1","HIVEP zinc finger 1","No","Unclear","Inhibits",18852884,"HIVEP1","Inhibits"
55355,"HJURP","Holliday junction recognition protein","No","Unclear","Inhibits",23292286,"HJURP","Inhibits"
3101,"HK3","hexokinase 3","No","Unclear","Induces",26583757,"HK3","Induces"
3159,"HMGA1","high mobility group AT-hook 1","No","Oncogene-induced","Induces",16901784,"HMGA1","Induces"
8091,"HMGA2","high mobility group AT-hook 2","No","Oncogene-induced","Induces",16901784,"HMGA2","Induces"
3146,"HMGB1","high mobility group box 1","Yes","Unclear","Inhibits",25051367,"HMGB1","Inhibits"
3148,"HMGB2","high mobility group box 2","No","Oncogene-induced","Inhibits",27799366,"HMGB2","Inhibits"
3149,"HMGB3","high mobility group box 3","Yes","Unclear","Inhibits",27774979,"HMGB3","Inhibits"
3156,"HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","Yes","Stress-induced","Inhibits",29030460,"HMGCR","Inhibits"
3178,"HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","Yes","Unclear","Inhibits",31257225,"HNRNPA1","Inhibits"
220988,"HNRNPA3","heterogeneous nuclear ribonucleoprotein A3","No","Replicative","Inhibits",24823364,"HNRNPA3","Inhibits"
3182,"HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","No","Unclear","Inhibits",32264951,"HNRNPAB","Inhibits"
3183,"HNRNPC","heterogeneous nuclear ribonucleoprotein C","Yes","Stress-induced","Induces",24379680,"HNRNPC","Induces"
3184,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","Yes","Replicative","Inhibits",27596953,"HNRNPD","Inhibits"
3184,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","Yes","Stress-induced","Inhibits",27596953,"HNRNPD","Inhibits"
84525,"HOPX","HOP homeobox","No","Oncogene-induced","Induces",25345926,"HOPX","Induces"
3205,"HOXA9","homeobox A9","No","Oncogene-induced","Inhibits",23455154,"HOXA9","Inhibits"
