"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
79017,"GGCT","gamma-glutamylcyclotransferase","Yes","Oncogene-induced","Inhibits",27658708,"GGCT"
2697,"GJA1","gap junction protein alpha 1","No","Unclear","Induces",30518918,"GJA1"
56287,"GKN1","gastrokine 1","Yes","Replicative","Induces",25344918,"GKN1"
2735,"GLI1","GLI family zinc finger 1","Yes","Unclear","Inhibits",29930746,"GLI1"
51053,"GMNN","geminin DNA replication inhibitor","No","Replicative","Inhibits",23142824,"GMNN"
8833,"GMPS","guanine monophosphate synthase","Yes","Unclear","Inhibits",27939741,"GMPS"
2791,"GNG11","G protein subunit gamma 11","No","Stress-induced","Induces",17092487,"GNG11"
27232,"GNMT","glycine N-methyltransferase","Yes","Unclear","Induces",22160218,"GNMT"
2719,"GPC3","glypican 3","Yes","Replicative","Inhibits",21847365,"GPC3"
2898,"GRIK2","glutamate ionotropic receptor kainate type subunit 2","Yes","Replicative","Induces",30587499,"GRIK2"
2868,"GRK4","G protein-coupled receptor kinase 4","No","Unclear","Induces",28912086,"GRK4"
2870,"GRK6","G protein-coupled receptor kinase 6","No","Unclear","Induces",26583757,"GRK6"
2896,"GRN","granulin precursor","Yes","Unclear","Inhibits",26600492,"GRN"
2925,"GRPR","gastrin releasing peptide receptor","Yes","Unclear","Inhibits",26780458,"GRPR"
2926,"GRSF1","G-rich RNA sequence binding factor 1","No","Replicative","Inhibits",30944385,"GRSF1"
2931,"GSK3A","glycogen synthase kinase 3 alpha","Yes","Unclear","Inhibits",24396695,"GSK3A"
2932,"GSK3B","glycogen synthase kinase 3 beta","Yes","Unclear","Inhibits",18782348,"GSK3B"
51512,"GTSE1","G2 and S-phase expressed 1","Yes","Stress-induced","Inhibits",30961661,"GTSE1"
3036,"HAS1","hyaluronan synthase 1","No","Stress-induced","Inhibits",31219803,"HAS1"
54930,"HAUS4","HAUS augmin like complex subunit 4","No","Unclear","Inhibits",32264951,"HAUS4"
26959,"HBP1","HMG-box transcription factor 1","No","Oncogene-induced","Induces",16966377,"HBP1"
3065,"HDAC1","histone deacetylase 1","Yes","Unclear","Induces",21420382,"HDAC1"
3066,"HDAC2","histone deacetylase 2","Yes","Unclear","Inhibits",17409421,"HDAC2"
8841,"HDAC3","histone deacetylase 3","Yes","Unclear","Inhibits",18558095,"HDAC3"
9759,"HDAC4","histone deacetylase 4","No","Replicative","Inhibits",26414199,"HDAC4"
51564,"HDAC7","histone deacetylase 7","Yes","Oncogene-induced","Inhibits",21120446,"HDAC7"
3070,"HELLS","helicase, lymphoid specific","No","Replicative","Inhibits",19561196,"HELLS"
220296,"HEPACAM","hepatic and glial cell adhesion molecule","Yes","Unclear","Induces",18845560,"HEPACAM"
3091,"HIF1A","hypoxia inducible factor 1 subunit alpha","Yes","Stress-induced","Inhibits",26057707,"HIF1A"
28996,"HIPK2","homeodomain interacting protein kinase 2","Yes","Oncogene-induced","Induces",25778922,"HIPK2"
7290,"HIRA","histone cell cycle regulator","No","Oncogene-induced","Induces",15621527,"HIRA"
3096,"HIVEP1","HIVEP zinc finger 1","No","Unclear","Inhibits",18852884,"HIVEP1"
55355,"HJURP","Holliday junction recognition protein","No","Unclear","Inhibits",23292286,"HJURP"
3101,"HK3","hexokinase 3","No","Unclear","Induces",26583757,"HK3"
3159,"HMGA1","high mobility group AT-hook 1","No","Oncogene-induced","Induces",16901784,"HMGA1"
8091,"HMGA2","high mobility group AT-hook 2","No","Oncogene-induced","Induces",16901784,"HMGA2"
3146,"HMGB1","high mobility group box 1","Yes","Unclear","Inhibits",25051367,"HMGB1"
3148,"HMGB2","high mobility group box 2","No","Oncogene-induced","Inhibits",27799366,"HMGB2"
3149,"HMGB3","high mobility group box 3","Yes","Unclear","Inhibits",27774979,"HMGB3"
3156,"HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","Yes","Stress-induced","Inhibits",29030460,"HMGCR"
3178,"HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","Yes","Unclear","Inhibits",31257225,"HNRNPA1"
220988,"HNRNPA3","heterogeneous nuclear ribonucleoprotein A3","No","Replicative","Inhibits",24823364,"HNRNPA3"
3182,"HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","No","Unclear","Inhibits",32264951,"HNRNPAB"
3183,"HNRNPC","heterogeneous nuclear ribonucleoprotein C","Yes","Stress-induced","Induces",24379680,"HNRNPC"
3184,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","Yes","Replicative","Inhibits",27596953,"HNRNPD"
84525,"HOPX","HOP homeobox","No","Oncogene-induced","Induces",25345926,"HOPX"
3205,"HOXA9","homeobox A9","No","Oncogene-induced","Inhibits",23455154,"HOXA9"
3265,"HRAS","HRas proto-oncogene, GTPase","No","Oncogene-induced","Induces",9054499,"HRAS"
9653,"HS2ST1","heparan sulfate 2-O-sulfotransferase 1","Yes","Stress-induced","Inhibits",26250908,"HS2ST1"
3297,"HSF1","heat shock transcription factor 1","No","Stress-induced","Inhibits",22510478,"HSF1"
3320,"HSP90AA1","heat shock protein 90 alpha family class A member 1","No","Oncogene-induced","Inhibits",27793846,"HSP90AA1"
3326,"HSP90AB1","heat shock protein 90 alpha family class B member 1","No","Oncogene-induced","Inhibits",27793846,"HSP90AB1"
3303,"HSPA1A","heat shock protein family A (Hsp70) member 1A","Yes","Unclear","Inhibits",17332370,"HSPA1A"
3306,"HSPA2","heat shock protein family A (Hsp70) member 2","Yes","Unclear","Inhibits",15741319,"HSPA2"
3309,"HSPA5","heat shock protein family A (Hsp70) member 5","Yes","Stress-induced","Inhibits",24756776,"HSPA5"
3313,"HSPA9","heat shock protein family A (Hsp70) member 9","Yes","Stress-induced","Induces",17306926,"HSPA9"
3315,"HSPB1","heat shock protein family B (small) member 1","No","Stress-induced","Inhibits",18089808,"HSPB1"
5654,"HTRA1","HtrA serine peptidase 1","Yes","Replicative","Induces",23623979,"HTRA1"
10525,"HYOU1","hypoxia up-regulated 1","No","Stress-induced","Inhibits",23757447,"HYOU1"
3397,"ID1","inhibitor of DNA binding 1, HLH protein","No","Replicative","Inhibits",12177246,"ID1"
3428,"IFI16","interferon gamma inducible protein 16","Yes","Replicative","Induces",12894224,"IFI16"
3458,"IFNG","interferon gamma","No","Unclear","Induces",19071156,"IFNG"
3484,"IGFBP1","insulin like growth factor binding protein 1","Yes","Unclear","Induces",22392074,"IGFBP1"
3486,"IGFBP3","insulin like growth factor binding protein 3","No","Stress-induced","Induces",18329388,"IGFBP3"
3488,"IGFBP5","insulin like growth factor binding protein 5","No","Replicative","Induces",17804819,"IGFBP5"
3490,"IGFBP7","insulin like growth factor binding protein 7","No","Oncogene-induced","Induces",18267069,"IGFBP7"
8517,"IKBKG","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma","Yes","Stress-induced","Induces",22740410,"IKBKG"
3552,"IL1A","interleukin 1 alpha","No","Unclear","Induces",2218499,"IL1A"
3554,"IL1R1","interleukin 1 receptor type 1","No","Oncogene-induced","Induces",18267069,"IL1R1"
3557,"IL1RN","interleukin 1 receptor antagonist","No","Replicative","Unclear",12764021,"IL1RN"
11009,"IL24","interleukin 24","Yes","Stress-induced","Inhibits",29749438,"IL24"
3569,"IL6","interleukin 6","No","Oncogene-induced","Induces",18555778,"IL6"
3609,"ILF3","interleukin enhancer binding factor 3","No","Unclear","Inhibits",23117626,"ILF3"
3611,"ILK","integrin linked kinase","Yes","Unclear","Inhibits",26176204,"ILK"
10989,"IMMT","inner membrane mitochondrial protein","No","Unclear","Inhibits",32264951,"IMMT"
3619,"INCENP","inner centromere protein","Yes","Oncogene-induced","Inhibits",28806777,"INCENP"
3621,"ING1","inhibitor of growth family member 1","No","Unclear","Induces",18691180,"ING1"
3622,"ING2","inhibitor of growth family member 2","No","Replicative","Induces",16024799,"ING2"
84289,"ING5","inhibitor of growth family member 5","Yes","Unclear","Induces",28915612,"ING5"
8821,"INPP4B","inositol polyphosphate-4-phosphatase type II B","No","Unclear","Inhibits",19647222,"INPP4B"
51135,"IRAK4","interleukin 1 receptor associated kinase 4","Yes","Stress-induced","Inhibits",25231413,"IRAK4"
3659,"IRF1","interferon regulatory factor 1","No","Oncogene-induced","Induces",18267069,"IRF1"
3661,"IRF3","interferon regulatory factor 3","No","Unclear","Induces",16513254,"IRF3"
3663,"IRF5","interferon regulatory factor 5","Yes","Unclear","Induces",18505922,"IRF5"
3665,"IRF7","interferon regulatory factor 7","Yes","Unclear","Induces",18505922,"IRF7"
3690,"ITGB3","integrin subunit beta 3","Yes","Oncogene-induced","Induces",28273461,"ITGB3"
3691,"ITGB4","integrin subunit beta 4","No","Unclear","Induces",17964297,"ITGB4"
3705,"ITPK1","inositol-tetrakisphosphate 1-kinase","No","Unclear","Induces",26583757,"ITPK1"
3707,"ITPKB","inositol-trisphosphate 3-kinase B","No","Unclear","Induces",26583757,"ITPKB"
3708,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","No","Oncogene-induced","Induces",24797322,"ITPR1"
3709,"ITPR2","inositol 1,4,5-trisphosphate receptor type 2","No","Oncogene-induced","Induces",24797322,"ITPR2"
3710,"ITPR3","inositol 1,4,5-trisphosphate receptor type 3","No","Oncogene-induced","Induces",24797322,"ITPR3"
50618,"ITSN2","intersectin 2","No","Stress-induced","Induces",23472054,"ITSN2"
3717,"JAK2","Janus kinase 2","No","Unclear","Induces",24681574,"JAK2"
51155,"JPT1","Jupiter microtubule associated homolog 1","Yes","Unclear","Inhibits",31257225,"JPT1"
3725,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit","Yes","Stress-induced","Inhibits",17126817,"JUN"
3726,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","Yes","Unclear","Induces",18628455,"JUNB"
10524,"KAT5","lysine acetyltransferase 5","No","Oncogene-induced","Induces",23685072,"KAT5"
3736,"KCNA1","potassium voltage-gated channel subfamily A member 1","No","Oncogene-induced","Induces",23774215,"KCNA1"
3768,"KCNJ12","potassium inwardly rectifying channel subfamily J member 12","Yes","Stress-induced","Inhibits",20841375,"KCNJ12"
23028,"KDM1A","lysine demethylase 1A","No","Oncogene-induced","Inhibits",29438700,"KDM1A"
84678,"KDM2B","lysine demethylase 2B","No","Replicative","Inhibits",21757686,"KDM2B"
9682,"KDM4A","lysine demethylase 4A","Yes","Oncogene-induced","Unclear",23168260,"KDM4A"
23081,"KDM4C","lysine demethylase 4C","No","Oncogene-induced","Inhibits",29438700,"KDM4C"
10765,"KDM5B","lysine demethylase 5B","Yes","Unclear","Inhibits",23354547,"KDM5B"
23135,"KDM6B","lysine demethylase 6B","Yes","Unclear","Induces",25652587,"KDM6B"
3791,"KDR","kinase insert domain receptor","Yes","Unclear","Inhibits",26420897,"KDR"
9817,"KEAP1","kelch like ECH associated protein 1","No","Stress-induced","Induces",31491600,"KEAP1"
3832,"KIF11","kinesin family member 11","Yes","Oncogene-induced","Inhibits",28806777,"KIF11"
10112,"KIF20A","kinesin family member 20A","Yes","Stress-induced","Inhibits",25961928,"KIF20A"
11004,"KIF2C","kinesin family member 2C","Yes","Unclear","Inhibits",23098759,"KIF2C"
3833,"KIFC1","kinesin family member C1","No","Unclear","Inhibits",23318213,"KIFC1"
9365,"KL","klotho","No","Replicative","Inhibits",17014852,"KL"
9314,"KLF4","Kruppel like factor 4","Yes","Oncogene-induced","Induces",27531889,"KLF4"
85442,"KNDC1","kinase non-catalytic C-lobe domain containing 1","No","Unclear","Induces",29568929,"KNDC1"
3880,"KRT19","keratin 19","Yes","Unclear","Inhibits",27863477,"KRT19"
283455,"KSR2","kinase suppressor of ras 2","Yes","Unclear","Unclear",23324396,"KSR2"
3920,"LAMP2","lysosomal associated membrane protein 2","No","Unclear","Inhibits",21858089,"LAMP2"
9113,"LATS1","large tumor suppressor kinase 1","Yes","Unclear","Inhibits",23324396,"LATS1"
26524,"LATS2","large tumor suppressor kinase 2","No","Replicative","Induces",30755404,"LATS2"
143903,"LAYN","layilin","No","Unclear","Induces",21740549,"LAYN"
3930,"LBR","lamin B receptor","Yes","Stress-induced","Inhibits",30615890,"LBR"
3934,"LCN2","lipocalin 2","No","Stress-induced","Inhibits",24452457,"LCN2"
123169,"LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component","No","Replicative","Unclear",15791002,"LEO1"
3958,"LGALS3","galectin 3","Yes","Unclear","Inhibits",24971481,"LGALS3"
51474,"LIMA1","LIM domain and actin binding 1","No","Replicative","Inhibits",26206181,"LIMA1"
3984,"LIMK1","LIM domain kinase 1","No","Unclear","Induces",26583757,"LIMK1"
91750,"LIN52","lin-52 DREAM MuvB core complex component","Yes","Oncogene-induced","Unclear",21498570,"LIN52"
132660,"LIN54","lin-54 DREAM MuvB core complex component","No","Oncogene-induced","Inhibits",21860417,"LIN54"
286826,"LIN9","lin-9 DREAM MuvB core complex component","No","Oncogene-induced","Inhibits",21860417,"LIN9"
4000,"LMNA","lamin A/C","No","Unclear","Unclear",28483909,"LMNA"
4001,"LMNB1","lamin B1","No","Oncogene-induced","Inhibits",22155925,"LMNB1"
102724571,"LNCTAM34A","long non coding transcriptional activator of miR34a","Yes","Replicative","Inhibits",29593331,"LNCTAM34A"
4015,"LOX","lysyl oxidase","No","Oncogene-induced","Inhibits",24113189,"LOX"
4017,"LOXL2","lysyl oxidase like 2","No","Oncogene-induced","Inhibits",24113189,"LOXL2"
1902,"LPAR1","lysophosphatidic acid receptor 1","Yes","Unclear","Induces",27641212,"LPAR1"
23566,"LPAR3","lysophosphatidic acid receptor 3","No","Unclear","Inhibits",27641212,"LPAR3"
120892,"LRRK2","leucine rich repeat kinase 2","Yes","Unclear","Unclear",30712480,"LRRK2"
8581,"LY6D","lymphocyte antigen 6 family member D","Yes","Unclear","Induces",27545311,"LY6D"
8379,"MAD1L1","mitotic arrest deficient 1 like 1","Yes","Stress-induced","Induces",19766114,"MAD1L1"
4085,"MAD2L1","mitotic arrest deficient 2 like 1","No","Unclear","Inhibits",22170163,"MAD2L1"
84944,"MAEL","maelstrom spermatogenic transposon silencer","No","Oncogene-induced","Inhibits",27926513,"MAEL"
4094,"MAF","MAF bZIP transcription factor","No","Stress-induced","Inhibits",26496036,"MAF"
4101,"MAGEA2","MAGE family member A2","No","Oncogene-induced","Inhibits",22117195,"MAGEA2"
55110,"MAGOHB","mago homolog B, exon junction complex subunit","No","Replicative","Inhibits",26206181,"MAGOHB"
5604,"MAP2K1","mitogen-activated protein kinase kinase 1","No","Unclear","Induces",14701721,"MAP2K1"
5605,"MAP2K2","mitogen-activated protein kinase kinase 2","No","Oncogene-induced","Induces",9765203,"MAP2K2"
5606,"MAP2K3","mitogen-activated protein kinase kinase 3","Yes","Unclear","Inhibits",23324396,"MAP2K3"
5608,"MAP2K6","mitogen-activated protein kinase kinase 6","Yes","Unclear","Induces",12208764,"MAP2K6"
5609,"MAP2K7","mitogen-activated protein kinase kinase 7","No","Unclear","Induces",26583757,"MAP2K7"
9020,"MAP3K14","mitogen-activated protein kinase kinase kinase 14","Yes","Stress-induced","Induces",22740410,"MAP3K14"
4217,"MAP3K5","mitogen-activated protein kinase kinase kinase 5","No","Stress-induced","Induces",16731828,"MAP3K5"
9064,"MAP3K6","mitogen-activated protein kinase kinase kinase 6","No","Unclear","Induces",26583757,"MAP3K6"
6885,"MAP3K7","mitogen-activated protein kinase kinase kinase 7","No","Unclear","Induces",26583757,"MAP3K7"
11184,"MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","Yes","Unclear","Inhibits",23324396,"MAP4K1"
5594,"MAPK1","mitogen-activated protein kinase 1","No","Oncogene-induced","Induces",23599344,"MAPK1"
6300,"MAPK12","mitogen-activated protein kinase 12","No","Unclear","Induces",26583757,"MAPK12"
1432,"MAPK14","mitogen-activated protein kinase 14","No","Replicative","Induces",12581156,"MAPK14"
5601,"MAPK9","mitogen-activated protein kinase 9","Yes","Oncogene-induced","Inhibits",20354187,"MAPK9"
8550,"MAPKAPK5","MAPK activated protein kinase 5","No","Oncogene-induced","Induces",17254968,"MAPKAPK5"
54708,"MARCHF5","membrane associated ring-CH-type finger 5","Yes","Stress-induced","Inhibits",20103533,"MARCHF5"
4082,"MARCKS","myristoylated alanine rich protein kinase C substrate","Yes","Unclear","Induces",22619307,"MARCKS"
22983,"MAST1","microtubule associated serine/threonine kinase 1","No","Unclear","Induces",26583757,"MAST1"
4145,"MATK","megakaryocyte-associated tyrosine kinase","No","Unclear","Induces",26583757,"MATK"
57506,"MAVS","mitochondrial antiviral signaling protein","No","Unclear","Induces",28471483,"MAVS"
4162,"MCAM","melanoma cell adhesion molecule","No","Replicative","Inhibits",26941359,"MCAM"
4170,"MCL1","MCL1 apoptosis regulator, BCL2 family member","Yes","Stress-induced","Inhibits",22451485,"MCL1"
8888,"MCM3AP","minichromosome maintenance complex component 3 associated protein","No","Unclear","Inhibits",19686285,"MCM3AP"
4176,"MCM7","minichromosome maintenance complex component 7","No","Unclear","Inhibits",32264951,"MCM7"
10445,"MCRS1","microspherule protein 1","No","Unclear","Induces",22563078,"MCRS1"
90550,"MCU","mitochondrial calcium uniporter","No","Oncogene-induced","Induces",24797322,"MCU"
9656,"MDC1","mediator of DNA damage checkpoint 1","Yes","Replicative","Inhibits",17158742,"MDC1"
4190,"MDH1","malate dehydrogenase 1","No","Unclear","Inhibits",22971926,"MDH1"
4192,"MDK","midkine","No","Stress-induced","Inhibits",31219803,"MDK"
4193,"MDM2","MDM2 proto-oncogene","Yes","Unclear","Inhibits",25803170,"MDM2"
145553,"MDP1","magnesium dependent phosphatase 1","Yes","Unclear","Induces",31218958,"MDP1"
4199,"ME1","malic enzyme 1","Yes","Stress-induced","Inhibits",25994759,"ME1"
4200,"ME2","malic enzyme 2","Yes","Stress-induced","Inhibits",25994759,"ME2"
4204,"MECP2","methyl-CpG binding protein 2","No","Replicative","Inhibits",20065105,"MECP2"
9968,"MED12","mediator complex subunit 12","Yes","Unclear","Inhibits",31072327,"MED12"
4205,"MEF2A","myocyte enhancer factor 2A","No","Replicative","Inhibits",31182679,"MEF2A"
4212,"MEIS2","Meis homeobox 2","Yes","Unclear","Inhibits",30975979,"MEIS2"
4221,"MEN1","menin 1","No","Oncogene-induced","Induces",18267069,"MEN1"
4222,"MEOX1","mesenchyme homeobox 1","No","Unclear","Induces",22206000,"MEOX1"
4233,"MET","MET proto-oncogene, receptor tyrosine kinase","Yes","Unclear","Inhibits",25726528,"MET"
57721,"METTL14","methyltransferase 14, N6-adenosine-methyltransferase subunit","Yes","Stress-induced","Induces",28247949,"METTL14"
4282,"MIF","macrophage migration inhibitory factor","No","Stress-induced","Inhibits",24274936,"MIF"
50488,"MINK1","misshapen like kinase 1","Yes","Oncogene-induced","Induces",16337592,"MINK1"
4286,"MITF","melanocyte inducing transcription factor","Yes","Oncogene-induced","Unclear",28376192,"MITF"
23608,"MKRN1","makorin ring finger protein 1","Yes","Unclear","Inhibits",19536131,"MKRN1"
4311,"MME","membrane metalloendopeptidase","No","Oncogene-induced","Induces",30671946,"MME"
4316,"MMP7","matrix metallopeptidase 7","No","Unclear","Inhibits",18207346,"MMP7"
4318,"MMP9","matrix metallopeptidase 9","Yes","Unclear","Inhibits",17510426,"MMP9"
3110,"MNX1","motor neuron and pancreas homeobox 1","Yes","Oncogene-induced","Induces",30093397,"MNX1"
126308,"MOB3A","MOB kinase activator 3A","No","Unclear","Induces",26583757,"MOB3A"
23515,"MORC3","MORC family CW-type zinc finger 3","No","Unclear","Induces",17332504,"MORC3"
10933,"MORF4L1","mortality factor 4 like 1","No","Stress-induced","Inhibits",31219803,"MORF4L1"
4342,"MOS","MOS proto-oncogene, serine/threonine kinase","No","Oncogene-induced","Induces",17136093,"MOS"
57591,"MRTFA","myocardin related transcription factor A","Yes","Oncogene-induced","Inhibits",23853104,"MRTFA"
57496,"MRTFB","myocardin related transcription factor B","Yes","Oncogene-induced","Inhibits",23853104,"MRTFB"
4478,"MSN","moesin","No","Unclear","Inhibits",20376899,"MSN"
4485,"MST1","macrophage stimulating 1","Yes","Oncogene-induced","Induces",24334454,"MST1"
4495,"MT1G","metallothionein 1G","Yes","Stress-induced","Induces",20705054,"MT1G"
92140,"MTDH","metadherin","Yes","Unclear","Inhibits",28923415,"MTDH"
10797,"MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","No","Unclear","Inhibits",32264951,"MTHFD2"
2475,"MTOR","mechanistic target of rapamycin kinase","No","Stress-induced","Inhibits",31219803,"MTOR"
4585,"MUC4","mucin 4, cell surface associated","Yes","Oncogene-induced","Inhibits",24747969,"MUC4"
80198,"MUS81","MUS81 structure-specific endonuclease subunit","Yes","Replicative","Inhibits",26415217,"MUS81"
4598,"MVK","mevalonate kinase","No","Unclear","Induces",26583757,"MVK"
9961,"MVP","major vault protein","Yes","Stress-induced","Induces",24997994,"MVP"
10608,"MXD4","MAX dimerization protein 4","No","Replicative","Induces",12761891,"MXD4"
10514,"MYBBP1A","MYB binding protein 1a","Yes","Stress-induced","Inhibits",25543088,"MYBBP1A"
4605,"MYBL2","MYB proto-oncogene like 2","Yes","Oncogene-induced","Inhibits",17182682,"MYBL2"
4609,"MYC","MYC proto-oncogene, bHLH transcription factor","No","Oncogene-induced","Inhibits",16537449,"MYC"
4613,"MYCN","MYCN proto-oncogene, bHLH transcription factor","Yes","Replicative","Inhibits",29022893,"MYCN"
4615,"MYD88","MYD88 innate immune signal transduction adaptor","Yes","Stress-induced","Inhibits",25231413,"MYD88"
4638,"MYLK","myosin light chain kinase","Yes","Unclear","Inhibits",23324396,"MYLK"
112939,"NACC1","nucleus accumbens associated 1","Yes","Stress-induced","Inhibits",28599472,"NACC1"
65220,"NADK","NAD kinase","No","Unclear","Induces",26583757,"NADK"
10135,"NAMPT","nicotinamide phosphoribosyltransferase","No","Replicative","Inhibits",17307730,"NAMPT"
79923,"NANOG","Nanog homeobox","Yes","Replicative","Inhibits",26795560,"NANOG"
4683,"NBN","nibrin","Yes","Stress-induced","Inhibits",24141789,"NBN"
4077,"NBR1","NBR1 autophagy cargo receptor","Yes","Oncogene-induced","Inhibits",30260700,"NBR1"
54892,"NCAPG2","non-SMC condensin II complex subunit G2","No","Unclear","Inhibits",25474630,"NCAPG2"
29781,"NCAPH2","non-SMC condensin II complex subunit H2","No","Oncogene-induced","Induces",26017022,"NCAPH2"
10397,"NDRG1","N-myc downstream regulated 1","Yes","Unclear","Induces",24302615,"NDRG1"
8509,"NDST2","N-deacetylase and N-sulfotransferase 2","No","Oncogene-induced","Induces",27737960,"NDST2"
4734,"NEDD4","NEDD4 E3 ubiquitin protein ligase","No","Oncogene-induced","Inhibits",23549616,"NEDD4"
4750,"NEK1","NIMA related kinase 1","Yes","Unclear","Inhibits",23324396,"NEK1"
4751,"NEK2","NIMA related kinase 2","No","Unclear","Inhibits",32264951,"NEK2"
6787,"NEK4","NIMA related kinase 4","No","Replicative","Induces",22851694,"NEK4"
10783,"NEK6","NIMA related kinase 6","Yes","Unclear","Inhibits",21099361,"NEK6"
91754,"NEK9","NIMA related kinase 9","Yes","Oncogene-induced","Inhibits",29112787,"NEK9"
4763,"NF1","neurofibromin 1","No","Oncogene-induced","Inhibits",25824590,"NF1"
4771,"NF2","neurofibromin 2","No","Oncogene-induced","Induces",18267069,"NF2"
4780,"NFE2L2","nuclear factor, erythroid 2 like 2","No","Unclear","Inhibits",20068043,"NFE2L2"
4791,"NFKB2","nuclear factor kappa B subunit 2","No","Unclear","Inhibits",25255445,"NFKB2"
4792,"NFKBIA","NFKB inhibitor alpha","Yes","Replicative","Induces",21552325,"NFKBIA"
79840,"NHEJ1","non-homologous end joining factor 1","No","Replicative","Inhibits",28369633,"NHEJ1"
4814,"NINJ1","ninjurin 1","Yes","Unclear","Induces",15464245,"NINJ1"
81614,"NIPA2","NIPA magnesium transporter 2","No","Unclear","Inhibits",32264951,"NIPA2"
51701,"NLK","nemo like kinase","Yes","Unclear","Inhibits",23144700,"NLK"
79671,"NLRX1","NLR family member X1","Yes","Unclear","Induces",29482578,"NLRX1"
9221,"NOLC1","nucleolar and coiled-body phosphoprotein 1","No","Unclear","Induces",28493459,"NOLC1"
4851,"NOTCH1","notch receptor 1","No","Oncogene-induced","Induces",24931169,"NOTCH1"
4854,"NOTCH3","notch receptor 3","Yes","Stress-induced","Induces",23610446,"NOTCH3"
27035,"NOX1","NADPH oxidase 1","No","Unclear","Induces",29042481,"NOX1"
50507,"NOX4","NADPH oxidase 4","No","Oncogene-induced","Induces",20523116,"NOX4"
4869,"NPM1","nucleophosmin 1","Yes","Oncogene-induced","Inhibits",23536448,"NPM1"
1728,"NQO1","NAD(P)H quinone dehydrogenase 1","No","Oncogene-induced","Induces",26078718,"NQO1"
7376,"NR1H2","nuclear receptor subfamily 1 group H member 2","No","Stress-induced","Inhibits",24398515,"NR1H2"
7101,"NR2E1","nuclear receptor subfamily 2 group E member 1","No","Oncogene-induced","Unclear",25328137,"NR2E1"
4893,"NRAS","NRAS proto-oncogene, GTPase","No","Oncogene-induced","Induces",16964246,"NRAS"
4899,"NRF1","nuclear respiratory factor 1","No","Unclear","Inhibits",30486409,"NRF1"
80023,"NRSN2","neurensin 2","Yes","Unclear","Induces",26055238,"NRSN2"
54888,"NSUN2","NOP2/Sun RNA methyltransferase 2","No","Replicative","Inhibits",26687548,"NSUN2"
59277,"NTN4","netrin 4","Yes","Stress-induced","Inhibits",24265816,"NTN4"
9891,"NUAK1","NUAK family kinase 1","No","Unclear","Induces",19927127,"NUAK1"
81788,"NUAK2","NUAK family kinase 2","Yes","Oncogene-induced","Inhibits",21460252,"NUAK2"
11164,"NUDT5","nudix hydrolase 5","No","Oncogene-induced","Inhibits",23581889,"NUDT5"
10204,"NUTF2","nuclear transport factor 2","No","Unclear","Inhibits",29970603,"NUTF2"
4968,"OGG1","8-oxoguanine DNA glycosylase","No","Oncogene-induced","Inhibits",24618719,"OGG1"
8473,"OGT","O-linked N-acetylglucosamine (GlcNAc) transferase","No","Oncogene-induced","Induces",27217568,"OGT"
4976,"OPA1","OPA1 mitochondrial dynamin like GTPase","Yes","Unclear","Inhibits",17545159,"OPA1"
84876,"ORAI1","ORAI calcium release-activated calcium modulator 1","Yes","Unclear","Induces",26257076,"ORAI1"
4998,"ORC1","origin recognition complex subunit 1","Yes","Replicative","Inhibits",28216383,"ORC1"
5015,"OTX2","orthodenticle homeobox 2","Yes","Oncogene-induced","Induces",21047732,"OTX2"
5021,"OXTR","oxytocin receptor","No","Stress-induced","Inhibits",31219803,"OXTR"
9934,"P2RY14","purinergic receptor P2Y14","No","Unclear","Inhibits",28980705,"P2RY14"
64175,"P3H1","prolyl 3-hydroxylase 1","No","Replicative","Inhibits",26206181,"P3H1"
5062,"PAK2","p21 (RAC1) activated kinase 2","No","Oncogene-induced","Induces",31209047,"PAK2"
10298,"PAK4","p21 (RAC1) activated kinase 4","No","Unclear","Induces",26583757,"PAK4"
9060,"PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2","Yes","Unclear","Inhibits",26250908,"PAPSS2"
11315,"PARK7","Parkinsonism associated deglycase","No","Unclear","Inhibits",28600848,"PARK7"
142,"PARP1","poly(ADP-ribose) polymerase 1","Yes","Unclear","Inhibits",29590171,"PARP1"
23598,"PATZ1","POZ/BTB and AT hook containing zinc finger 1","No","Unclear","Inhibits",22052190,"PATZ1"
7849,"PAX8","paired box 8","Yes","Replicative","Inhibits",21602887,"PAX8"
55193,"PBRM1","polybromo 1","No","Replicative","Induces",26992241,"PBRM1"
7703,"PCGF2","polycomb group ring finger 2","No","Unclear","Induces",17151361,"PCGF2"
11235,"PDCD10","programmed cell death 10","No","Replicative","Induces",25655101,"PDCD10"
