"item","value"
"CellAge_raw_file_path","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/cellAge/cellage3.tsv"
"CellAge_raw_file_basename","cellage3.tsv"
"CellAge_raw_file_inferred_version_from_filename","cellage3"
"CellAge_raw_file_size_bytes","73627"
"CellAge_raw_file_modified_time","2023-04-22 21:51:22 CEST"
"CellAge_raw_file_md5","76c1805060c0e7ddac8398b33b5b4866"
