"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint"
"HALLMARK_COMPLEMENT",4.47159763302526e-06,1.4677713925264e-05,0.610526878385931,0.399617950758774,1.8376091791607,163,"Timp1;Mmp14;Dgkh;Fn1;Tfpi2;Lgmn;Gnb4;Fyn;Lyn;Serpine1;Src;Gng2;Prcp;Lamp2;Timp2;Lipa;Lrp1;Dusp6;Pik3cg;Pik3r5;Plek;Gnai2;Plat;Cda;Rhog;Lgals3;Lcp2;Casp3;Ctsh;Ctss;Ctsb;Cfh;Serping1;Gnai3;Mmp13;Dock10;Col4a2;Pla2g4a;F7;C1s1;Anxa5;Cr1l;Olr1;Kcnip3;Rabif;Adam9;Ang;Mmp12;Gnb2;Sirt6;Casp9;Sh2b3;Xpnpep1;Cpq;C1qc;Plscr1;Fcer1g;C1qa;Hspa5;Was;Psen1;Ctsl;Csrp1;Plaur;Itgam;Rce1;Cdh13;Cdk5r1;Ppp4c","4W"
"HALLMARK_DNA_REPAIR",4.69686845608448e-06,1.4677713925264e-05,0.610526878385931,-0.370113897518602,-1.84776617871377,147,"Zwint;Gpx4;Cox17;Polr3gl;Poll;Mrpl40;Pole4;Edf1;Adrm1;Nudt9;Mpc2;Taf6;Gtf2h5;Polr1d;Vps28;Surf1;Taf12;Tarbp2;Polr2i;Nt5c3;Polr2c;Guk1;Rpa2;Gtf2a2;Polr2j;Ak3;Polr2k;Nelfcd;Polr3c;Rbx1;Polr2g;Taf13;Polb;Tsg101;Ak1;Xpc;Upf3b;Rrm2b;Itpa;Taf10;Pde4b;Polr2f;Rfc4;Cmpk2","4W"
"HALLMARK_E2F_TARGETS",0.900576368876081,0.91895547844498,0.0353910624222457,0.173699780819454,0.817755420022399,198,"Cdkn1a;Tubb5;Cdk4;Espl1;Mcm4;Mcm6;Cdkn2a;Dnmt1;Smc4;Diaph3;Smc1a;Ccnb2;Ranbp1;Trp53;Cdc20;Stmn1;Racgap1;Ssrp1;Prdx4;Gins3;Prim2;Myc;Tcf19;Cit;Cks2;Depdc1a;Plk1;Bub1b;Cdk1;Mms22l;Dclre1b;Tacc3;Kif2c;Hmmr;Kif22;Cdca8;Wdr90;Kif4;Pold3;Nudt21;Spc25;Cdc25b;Nup107;Wee1;Top2a;Atad2;Dlgap5;Plk4;Aurkb;Mxd3;Ilf3;Kif18b;Cenpe;Ppm1d;Cdca3;Hells;Chek2;Cdkn3;Melk;Mki67;Cdkn1b;Lig1;Trip13;Mad2l1;Rrm2;Dck;Timeless;Mcm5;Slbp;Chek1;Birc5;Brca1","4W"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.42561480227551e-37,7.37602467045918e-36,1.5829282179456,0.673141091789083,3.12647590317134,185,"Fap;Lum;Mmp2;Gja1;Timp1;Calu;Itgb5;Mmp14;Col5a2;Colgalt1;Cd44;Htra1;Fstl1;Col3a1;Sdc1;Postn;Fn1;Tpm4;Bmp1;Snai2;Mgp;Bgn;Col16a1;Edil3;Gas1;Nt5e;Gpx7;Thbs1;Qsox1;Col5a1;Anpep;Dab2;Tgfb1;Pdgfrb;Tfpi2;P3h1;Loxl1;Matn2;Cdh11;Col6a2;Fbln2;Id2;Plod2;Efemp2;Tnc;Ccn2;Fzd8;Sfrp1;Mfap5;Eln;Abi3bp;Col6a3;Cthrc1;Loxl2;Vcan;Itga5;Vcam1;Serpine1;Crlf1;Wipf1;Mmp3;Col1a1;Gem;Capg;Notch2;Spp1;Ppib;Glipr1;Lrp1;Serpinh1;Pmepa1;Pthlh;Plod1;Flna;Col1a2;Vim;Prrx1;Itgb3;Pcolce;Comp;Dpysl3;Cxcl12;Igfbp3;Emp3;Fbn1;Col5a3;Basp1;Sdc4;Lrrc15;Eno2;Thbs2;Sparc;Cald1;Igfbp4;Itgb1;Col12a1;Inhba;Mest;Msx1;Tgfbi;Foxc2;Ecm1;Col4a2;Fbn2;Fstl3;Thy1;Plod3;Pdlim4;Rhob;Sat1;Sfrp4;Cdh2;Col8a2;Fbln5;Ecm2;Magee1;Col11a1;Itgav;Lox;Rgs4;Adam12;Copa;Tgfbr3;Dcn;Vegfc;Col4a1;Lamc1;Fuca1","4W"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000724510125683885,0.00134168541793312,0.477270815362862,0.343707742178404,1.5888534360429,166,"Ccn5;Rab31;Gja1;Nbl1;Ugcg;Cd44;B4galt1;Slc39a6;Gfra1;Frk;Slc7a2;Myof;Tubb2b;Slc1a4;Elf1;Foxc1;Prss23;Tsku;Farp1;Endod1;Igf1r;Tpbg;Fhl2;Abhd2;Rara;Tmem164;Isg20l2;Cxcl12;Med13l;Mindy1;Igfbp4;Mlph;Muc1;Rbbp8;Olfm1;Rhod;Rapgefl1;Flnb;Add3;Ret;Abat;Elovl5;Celsr1;Olfml3;Kazn;Gla;Il6st;Klf4;Mybl1;Myc;Gab2;Sec14l2;Aldh3b1","4W"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0370919881305638,0.0515166501813386,0.287857117255149,0.285434201661021,1.31796313069914,165,"Ccn5;Rab31;Nbl1;Cd44;Slc29a1;Tfpi2;Emp2;Frk;Myof;Id2;Dnajc1;Slc1a4;Foxc1;Prss23;Farp1;Mdk;Tpbg;Abhd2;Cd9;Ass1;Cxcl12;Dlg5;Ugdh;Nab2;Igfbp4;Mest;Rbbp8;Olfm1;Rapgefl1;Flnb;Btg3;Add3;Ret;Ckb;Elovl5;Gper1;Cdc20;Gla;Il6st;Ptpn6;Klf4","4W"
"HALLMARK_FATTY_ACID_METABOLISM",1.59472144339708e-25,1.99340180424635e-24,1.31101476274061,-0.631558768530095,-3.14101924102687,145,"Alad;Retsat;Cpt2;Grhpr;Hibch;Acads;Ech1;Hsd17b10;Ehhadh;Hadh;Car4;Decr1;Uros;Echs1;Eci1;Bphl;Adipor2;Hsdl2;Gstz1;Hmgcl;Reep6;Acsl1;Acox1;Acadm;Adh1;Prdx6;Auh;Me1;Acadl;Bckdhb;Mcee;Gpd1;Urod;Pdhb;Cidea;Etfdh;Suclg2;G0s2;Mdh1;Cd36;Acadvl;Cyp1a1;Aldh1a7;Hadhb;Aqp7;Idh3g;Suclg1;Acsm3;Eci2;Crat;Fmo1;Fh1;Gcdh;Metap1;Dld;Sms;Sdhd;Idh3b;Pdha1;Sdhc;Acaa2;Mlycd;Ppara;Dlst;Ldha;Sdha;Aldoa;Mgll;Hsd17b4;Mdh2;Inmt;Apex1;Sucla2;D2hgdh;Fasn;Eno3;Hccs;Cbr1;Adsl;Aco2","4W"
"HALLMARK_G2M_CHECKPOINT",0.0294583334607891,0.0433210786188075,0.352487857583619,0.28240454407154,1.32771805596271,197,"Hif1a;Rasal2;Tgfb1;Bcl3;Tent4a;Slc38a1;Notch2;Cdk4;Espl1;Odf2;Slc7a1;Mcm6;Dbf4;Traip;Marcks;E2f1;Ss18;Smc4;Smc1a;Tle3;Ccnb2;Sqle;Cdc20;Prc1;Cenpf;Stmn1;Racgap1;Uck2;Ttk;Incenp;Prim2;Sfpq;Cenpa;Myc;Abl1;Smc2;Pml;Cks2;Plk1;Cdk1;Rbm14;Slc7a5;Upf1;Tacc3;Kif2c;Hmmr;Kif22;Pbk;Kif4;Kif23;Gins2;Cdc25b;Arid4a;Nek2;Troap;Kif20b;Numa1;Ndc80;Top2a;Ewsr1;Plk4;Aurkb;Ccna2;Bub1;Stil;Mt2;Ilf3;Cenpe;Kif11;Fancc;Cdkn3;Ccnd1;Meis2;Mki67;Tnpo2;Cdkn1b;Cdc7;Mad2l1;Mcm5;Chek1;Ube2c;Birc5","4W"
"HALLMARK_GLYCOLYSIS",0.0209140174001089,0.0337322861292079,0.352487857583619,0.289338003201382,1.3472404176552,187,"Il13ra1;Ext1;Cd44;B4galt1;B4galt2;Sdc2;Sdc1;B4galt7;Pgm2;Nt5e;Egfr;Qsox1;Col5a1;Chpf;Sdc3;Plod2;Chst2;Pdk3;Pam;Kdelr3;Vcan;Tpbg;Gmppb;Plod1;Hs2st1;Chpf2;Igfbp3;Gusb;Adora2b;Eno2;Cxcr4;Me2;Ero1a;Galk2;Pfkp;Ext2;Tgfbi;Chst12;Tpst1;Casp6;Srd5a3;Stmn1;Ang;Capn5;Xylt2;Pgam1;Galk1;Cenpa;Artn;Agrn;B3galt6;B4galt4;Dcn;P4ha2;Depdc1a;Ddit4;B3gnt3;Kif20a;Cdk1;Chst5;Copb2;Hspa5;Hmmr;Ndst3;Stc1;Sox9","4W"
"HALLMARK_HEDGEHOG_SIGNALING",0.0244789018197438,0.03708924518143,0.352487857583619,0.432283611405577,1.49768730479124,31,"Cdk6;Nrp2;Dpysl2;Myh9;Tle3;Gli1;Thy1;Celsr1;Ldb1;Nf1;Pml;Cdk5r1;Rtn1","4W"
"HALLMARK_HEME_METABOLISM",0.000110480579362239,0.000263048998481522,0.538434096309916,-0.329537566092298,-1.67454252053179,173,"Alad;Hagh;Uros;Gde1;Hmbs;Mgst3;Aldh6a1;Glrx5;Ypel5;Urod;Fn3k;Pcx;Optn;Marchf2;Ubac1;Isca1;Fbxo9;Car1;Abcb6;Hdgf;Aldh1l1;Cat;Map2k3;Abcg2;Adipor1;Rap1gap;Bpgm;Rad23a;Eif2ak1;Fech;Tfrc;Rbm38;Mospd1;Acsl6;Xk;Usp15;Tmcc2;Atg4a;Epb41;Dcaf11;Ank1;Btrc;Narf;Nudt4;Riok3;Hbb-bt;Snca;Clcn3;Bsg;Kat2b;Slc22a4;Cpox;Icam4;Sptb;Ncoa4;Nek7;Nfe2l1;Slc25a38;Rnf123;Bnip3l;Dcun1d1;Vezf1;Gmps;Car2;Top1;Hebp1;Gclm;Kdm7a;Smox;Atp6v0a1;Alas2;Xpo7;Ppp2r5b;Tfdp2;Myl4","4W"
"HALLMARK_HYPOXIA",0.000284956489892675,0.000619470630201468,0.49849310876659,0.338601483047185,1.57267085673149,185,"Ccn5;Ext1;Sdc2;Cdkn1a;Errfi1;Ackr3;Bgn;Pgm2;Egfr;Col5a1;Tgfb3;Sdc3;Fosl2;Rbpj;Ccn2;Chst2;Pdk3;Pam;Kdelr3;Serpine1;Ampd3;Hexa;Tpbg;Myh9;Has1;Foxo3;Igfbp3;Tes;Csrp2;Hk1;Adora2b;Lxn;Ndst2;Gcnt2;Sdc4;Eno2;Cxcr4;Tmem45a;Ero1a;Pfkp;Ets1;Efna1;Klf6;Pkp1;Wsb1;Tgfbi;Hmox1;Kif5a;Anxa2","4W"
"HALLMARK_IL2_STAT5_SIGNALING",6.0172871377748e-07,2.31434120683646e-06,0.659444398037935,0.3995044931227,1.84960571081994,183,"Enpp1;Cd44;Twsg1;Snx9;Ttc39b;Rabgap1l;Ckap4;Nt5e;Col6a1;Glipr2;Adam19;Tnfrsf1b;Myo1e;Ncoa3;Praf2;Capg;Swap70;Igf1r;Spp1;Traf1;Emp1;Furin;Dennd5a;Ahr;Nfkbiz;Wls;Il1rl1;Map6;Spred2;Map3k8;Cyfip1;Casp3;Ncs1;Itga6;Muc1;Irf8;Il18r1;Klf6;Sh3bgrl2;Ctsz;Lclat1;Anxa4;Il10ra;Ecm1;Il4ra;P2rx4;Socs1;Tlr7;Gpr65;Pth1r;Rhob;Il3ra;Cd83;Rgs16;Uck2;Itgav;Ccnd2;Lrrc8c;Igf2r;Myc;Plscr1","4W"
