"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category"
"G10090_1107","16905","Lmna",1.22801783123848,8.05777925790531e-08,"Up",1.09704472386418,1.89203058694459e-05,"Up","Up","persistent_direction_consistent"
"G10090_11086","57810","Cdon",1.04821283490578,1.98619159922854e-06,"Up",1.49330758000023,5.451423187347e-06,"Up","Up","persistent_direction_consistent"
"G10090_11094","217826","Kcnk13",1.09901228187335,1.47869930032642e-05,"Up",1.3553810463377,3.97855697816939e-05,"Up","Up","persistent_direction_consistent"
"G10090_11195","16998","Ltbp3",1.08186701813276,7.39960687495498e-08,"Up",1.16187236005735,2.32305767630213e-05,"Up","Up","persistent_direction_consistent"
"G10090_11209","16323","Inhba",1.12222611499478,0.0013398184465575,"Up",1.32889734315524,0.000133728959646953,"Up","Up","persistent_direction_consistent"
"G10090_1121","237353","Sh3rf3",1.43547605839052,4.34459012770767e-08,"Up",1.04754428541024,1.98865951748808e-05,"Up","Up","persistent_direction_consistent"
"G10090_11232","69993","Chn2",1.3168827873041,6.10399649373505e-08,"Up",1.14093551579818,5.44418578631549e-05,"Up","Up","persistent_direction_consistent"
"G10090_11268","52150","Kcnk6",1.36117004176439,1.38405796463474e-07,"Up",1.13774376325939,0.000115735038588379,"Up","Up","persistent_direction_consistent"
"G10090_11287","21804","Tgfb1i1",1.35673262268377,1.97394018364094e-09,"Up",1.23786314026783,7.66111505534496e-06,"Up","Up","persistent_direction_consistent"
"G10090_1136","107587","Osr2",1.32382729185181,1.69288012706009e-06,"Up",1.4109018653925,3.84714157601646e-05,"Up","Up","persistent_direction_consistent"
"G10090_11366","53867","Col5a3",1.4077099724491,4.19019510985919e-08,"Up",1.261501137455,8.76683255998049e-05,"Up","Up","persistent_direction_consistent"
"G10090_11368","232413","Clec12a",2.28321487182827,4.70357813675509e-09,"Up",1.08059212431553,0.000191738597715959,"Up","Up","persistent_direction_consistent"
"G10090_11381","21789","Tfpi2",2.28406505346789,6.2805862896119e-10,"Up",1.69471628102093,1.09258102548238e-05,"Up","Up","persistent_direction_consistent"
"G10090_1142","224024","Scarf2",2.18023144526902,7.23212365803102e-09,"Up",1.29630356877994,1.88327430833776e-05,"Up","Up","persistent_direction_consistent"
"G10090_1144","20750","Spp1",3.84023940209986,4.33276252981028e-07,"Up",4.31109567345059,3.64558618121398e-05,"Up","Up","persistent_direction_consistent"
"G10090_11470","81799","C1qtnf3",5.7382437077514,2.32796250861461e-11,"Up",3.17005620637254,1.78396343762142e-05,"Up","Up","persistent_direction_consistent"
"G10090_11496","56496","Tspan6",2.07602842743245,1.33102680537543e-09,"Up",1.03934974628474,3.71445034617925e-05,"Up","Up","persistent_direction_consistent"
"G10090_11510","54637","Praf2",1.60706554457458,4.28515649000822e-10,"Up",1.05782285693798,3.22867232427578e-05,"Up","Up","persistent_direction_consistent"
"G10090_11529","217219","Fam171a2",1.80019778591349,1.60955028712678e-08,"Up",1.29788719022929,4.50509389457465e-05,"Up","Up","persistent_direction_consistent"
"G10090_11535","74051","Steap2",1.98595438381915,1.58266594178163e-08,"Up",2.42245829495795,1.23942656332583e-05,"Up","Up","persistent_direction_consistent"
"G10090_1166","242050","Igsf10",2.46449637259919,1.9504992226847e-08,"Up",1.78832173233435,4.70582097693374e-06,"Up","Up","persistent_direction_consistent"
"G10090_11694","68119","Cmtm3",2.01933182182188,5.10331696807295e-10,"Up",1.20892266170337,1.88327430833776e-05,"Up","Up","persistent_direction_consistent"
"G10090_11719","270685","Mthfd1l",1.50809481661222,9.25159250575921e-06,"Up",1.25216762346821,8.31459184879201e-05,"Up","Up","persistent_direction_consistent"
"G10090_11758","108000","Cenpf",3.27693423810715,2.11536290633314e-08,"Up",1.55230777303594,0.000753212121820749,"Up","Up","persistent_direction_consistent"
"G10090_11764","16950","Loxl3",2.01748455396363,4.05410191740255e-09,"Up",1.35135639664927,4.8532505127253e-05,"Up","Up","persistent_direction_consistent"
"G10090_11769","93674","Nat8f3",1.13419048695059,0.000124083033181173,"Up",1.53986704265743,0.000701730064900245,"Up","Up","persistent_direction_consistent"
"G10090_11771","21960","Tnr",2.7856465956591,4.40206547856075e-07,"Up",3.78136345099859,0.00313067566812119,"Up","Up","persistent_direction_consistent"
"G10090_11788","16571","Kif4",3.14535312723805,1.98336556587054e-08,"Up",1.18665936367038,0.00454218843637925,"Up","Up","persistent_direction_consistent"
"G10090_1188","67103","Ptgr1",1.18792137303163,6.06849030808452e-07,"Up",1.07249887120952,2.29206937699329e-05,"Up","Up","persistent_direction_consistent"
"G10090_11893","244745","Dpy19l1",1.21862973310807,2.11876589298357e-08,"Up",1.00337360611079,2.84221623355617e-06,"Up","Up","persistent_direction_consistent"
"G10090_11913","66120","Fkbp11",2.86831877556443,2.1508622109929e-10,"Up",1.36984295874502,8.95050778466835e-05,"Up","Up","persistent_direction_consistent"
"G10090_11916","21838","Thy1",1.3965784948575,6.80053353410774e-06,"Up",1.07302246229986,0.00041213557264051,"Up","Up","persistent_direction_consistent"
"G10090_11942","66180","P3h4",1.64025446784215,6.51804233123431e-08,"Up",1.27449374841246,4.28255241686619e-05,"Up","Up","persistent_direction_consistent"
"G10090_11966","78558","Htra3",1.00673324788419,1.34614970251838e-06,"Up",1.23468210986579,1.50761152082353e-05,"Up","Up","persistent_direction_consistent"
"G10090_11984","277353","Tcfl5",2.58920130293194,2.03269114480734e-08,"Up",2.56081911660135,6.11636606093433e-05,"Up","Up","persistent_direction_consistent"
"G10090_1199","74617","Scpep1",1.4534227231883,7.05139288248909e-08,"Up",1.16100598976557,4.16839383782485e-05,"Up","Up","persistent_direction_consistent"
"G10090_12023","74430","Cfap20dc",1.37825751176138,0.000117466598925624,"Up",1.18598060313742,0.00504526311738083,"Up","Up","persistent_direction_consistent"
"G10090_12028","68262","Agpat4",1.36011816345897,1.39521423946697e-06,"Up",1.38574612114023,2.39533742632881e-05,"Up","Up","persistent_direction_consistent"
"G10090_1204","11499","Adam5",1.89685852097994,1.9644988475813e-06,"Up",1.15591124843302,0.000310563849605541,"Up","Up","persistent_direction_consistent"
"G10090_12052","20964","Syn1",1.05840025907311,4.18198507905417e-05,"Up",1.83625493467256,0.000375279637734902,"Up","Up","persistent_direction_consistent"
"G10090_12113","330941","AI593442",2.46405978793569,2.1237711911576e-06,"Up",3.52757707041611,6.0812898047026e-05,"Up","Up","persistent_direction_consistent"
"G10090_12163","17022","Lum",3.33275462158402,2.01137331257904e-09,"Up",2.45929683523368,1.74974397775968e-06,"Up","Up","persistent_direction_consistent"
"G10090_1221","195209","Zfp469",2.86834928826535,2.90376854921951e-08,"Up",2.05834748405498,2.15669471455751e-05,"Up","Up","persistent_direction_consistent"
"G10090_12233","12155","Bmp15",2.18022773724506,5.91880139848136e-06,"Up",1.67725668976565,0.000593301795367193,"Up","Up","persistent_direction_consistent"
"G10090_12237","54384","Mtmr7",1.20086093908944,8.05332273321247e-07,"Up",1.98992140133777,2.93128415493107e-06,"Up","Up","persistent_direction_consistent"
"G10090_1234","56708","Clcf1",1.60613662465344,1.77342281800085e-07,"Up",1.28497893146111,0.000328879280536997,"Up","Up","persistent_direction_consistent"
