"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category"
"G10090_10052","100039177","Mup16",-1.49848958059371,0.00947142201465449,"Down",-1.45354843029502,0.0204222624287865,"Down","Down","persistent_direction_consistent"
"G10090_10084","64082","Popdc2",-1.84197984445972,1.60461980621093e-06,"Down",-1.1204329870778,0.000126804967742009,"Down","Down","persistent_direction_consistent"
"G10090_10137","171282","Acot4",-1.18413882423001,0.000147683348982368,"Down",-1.22187121076527,0.00123007374508947,"Down","Down","persistent_direction_consistent"
"G10090_10146","17960","Nat1",-1.59240394054827,2.45403276568993e-05,"Down",-1.28940395598384,0.000185820385777143,"Down","Down","persistent_direction_consistent"
"G10090_10387","67451","Pkp2",-1.28856731317734,1.56271692789427e-08,"Down",-1.29710051559252,2.19235194857039e-06,"Down","Down","persistent_direction_consistent"
"G10090_10416","170835","Inpp5j",-2.53328207358455,2.29332874595577e-07,"Down",-1.32616443102469,0.0010693361061219,"Down","Down","persistent_direction_consistent"
"G10090_1043","76219","Arxes1",-1.89617604159832,8.49235009832464e-05,"Down",-1.83633872380935,3.46292633504897e-05,"Down","Down","persistent_direction_consistent"
"G10090_10441","20618","Sncg",-1.97390694553371,3.39587033547612e-06,"Down",-1.26142008149721,0.00014080537448859,"Down","Down","persistent_direction_consistent"
"G10090_10466","57339","Jph1",-1.20947093835611,0.00119450416501376,"Down",-1.04878573937518,0.00197712636289779,"Down","Down","persistent_direction_consistent"
"G10090_10516","66277","Klf15",-1.95861752422182,9.38052284058763e-10,"Down",-1.04799390949444,0.000392595511483838,"Down","Down","persistent_direction_consistent"
"G10090_1066","380709","Spata22",-1.04119338140987,0.0210390721640198,"Down",-1.26890922655152,0.00153782327368167,"Down","Down","persistent_direction_consistent"
"G10090_10664","52665","Echdc1",-1.5266313278209,1.26615356142931e-06,"Down",-1.39619921497096,3.37166380423102e-06,"Down","Down","persistent_direction_consistent"
"G10090_10676","58243","Nap1l5",-2.09709347795051,9.58403700198397e-08,"Down",-1.36249777812599,0.000128499415663206,"Down","Down","persistent_direction_consistent"
"G10090_10696","17992","Ndufa4",-1.34299249126697,6.28319385100493e-07,"Down",-1.02613886612578,8.23833102921133e-05,"Down","Down","persistent_direction_consistent"
"G10090_1078","626359","Wdr93",-1.50357386887249,0.000173568843647014,"Down",-1.36038306095782,0.000372418634015048,"Down","Down","persistent_direction_consistent"
"G10090_10817","77963","Hook1",-1.70364375449272,0.000110784903812254,"Down",-1.50277962419591,0.000529870912997535,"Down","Down","persistent_direction_consistent"
"G10090_10896","50795","Sh3bgr",-1.70040947495505,4.39477264146485e-05,"Down",-1.10394542541173,0.000359893987528556,"Down","Down","persistent_direction_consistent"
"G10090_10933","66968","Plin5",-2.18704823752654,2.39623183137192e-08,"Down",-1.29820142084998,0.00037003647959937,"Down","Down","persistent_direction_consistent"
"G10090_10934","68316","Apoo",-1.59658103934728,3.61792250935032e-06,"Down",-1.06546702185004,0.000369718162463271,"Down","Down","persistent_direction_consistent"
"G10090_10947","12790","Cnga3",-1.25723113475101,0.00129220369586813,"Down",-1.02059176065404,0.0107007891039614,"Down","Down","persistent_direction_consistent"
"G10090_10991","77627","Efcab6",-1.05206095412122,0.00347225296743942,"Down",-1.12353412373722,6.01844469740777e-05,"Down","Down","persistent_direction_consistent"
"G10090_11137","107221","Ffar4",-1.76964300443338,0.000263205532696303,"Down",-1.49366759057264,6.9727038835351e-05,"Down","Down","persistent_direction_consistent"
"G10090_11194","14311","Cidec",-2.16495448967409,2.61876347950293e-05,"Down",-1.43936919354249,9.86362862066659e-05,"Down","Down","persistent_direction_consistent"
"G10090_11354","110595","Timp4",-2.41093286747625,9.9715920651632e-10,"Down",-1.32303077006913,1.94777734694742e-05,"Down","Down","persistent_direction_consistent"
"G10090_11399","52637","Cisd1",-1.46243636331138,1.4067839097996e-06,"Down",-1.00919556794437,9.05505285246751e-05,"Down","Down","persistent_direction_consistent"
"G10090_1148","229665","Ampd1",-1.29458898727133,0.001078340880948,"Down",-1.18745796458343,0.000429047508345447,"Down","Down","persistent_direction_consistent"
"G10090_11520","12346","Car1",-1.61258796232144,0.00220256660037081,"Down",-2.14438733313629,0.000237774122363927,"Down","Down","persistent_direction_consistent"
"G10090_11550","242702","Myom3",-1.49436313048958,0.0189946368916669,"Down",-1.695701812791,0.0161822791710519,"Down","Down","persistent_direction_consistent"
"G10090_11584","69585","Hjv",-1.40260893783535,0.000207124851923854,"Down",-1.00169853183508,0.00057642983168957,"Down","Down","persistent_direction_consistent"
