"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_19936","68588","Cthrc1",6.20943492302011,1.93648903778503e-14,"1W",TRUE,"Up","FDR"
"G10090_15091","13717","Eln",2.8952764557886,6.68580131494874e-13,"1W",TRUE,"Up","FDR"
"G10090_32870","56264","Cpxm1",3.30399895444573,6.68580131494874e-13,"1W",TRUE,"Up","FDR"
"G10090_8611","17150","Mfap2",3.26316270551553,6.68580131494874e-13,"1W",TRUE,"Up","FDR"
"G10090_30168","67442","Retsat",-1.47137659307184,1.21583814396793e-12,"1W",TRUE,"Down","FDR"
"G10090_1992","72709","C1qtnf6",3.52476056909089,1.39210990429535e-12,"1W",TRUE,"Up","FDR"
"G10090_10033","17294","Mest",4.91060711004527,1.39210990429535e-12,"1W",TRUE,"Up","FDR"
"G10090_14414","19242","Ptn",4.00501706585527,1.74863259965908e-12,"1W",TRUE,"Up","FDR"
"G10090_15210","17387","Mmp14",3.38533651941381,8.7393090215426e-12,"1W",TRUE,"Up","FDR"
"G10090_4403","102657","Cd276",2.41675327977846,8.84067537544994e-12,"1W",TRUE,"Up","FDR"
"G10090_18972","22262","Uox",4.65606070034755,8.84067537544994e-12,"1W",TRUE,"Up","FDR"
"G10090_30523","14086","Fscn1",2.0640353345234,8.84067537544994e-12,"1W",TRUE,"Up","FDR"
"G10090_16680","12394","Runx1",2.74383629655089,8.84067537544994e-12,"1W",TRUE,"Up","FDR"
"G10090_5191","12577","Cdkn1c",1.57721089929991,1.19984285717762e-11,"1W",TRUE,"Up","FDR"
"G10090_19641","66102","Cxcl16",2.31220542342747,1.19984285717762e-11,"1W",TRUE,"Up","FDR"
"G10090_16969","19038","Ppic",2.05185717948293,1.19984285717762e-11,"1W",TRUE,"Up","FDR"
"G10090_31148","13051","Cx3cr1",3.26830734837177,1.19984285717762e-11,"1W",TRUE,"Up","FDR"
"G10090_14602","20677","Sox4",1.8868333920114,1.19984285717762e-11,"1W",TRUE,"Up","FDR"
"G10090_23688","12338","Capn6",3.28832832416653,1.23839161884523e-11,"1W",TRUE,"Up","FDR"
"G10090_7826","209027","Pycr1",1.8912266081495,1.67109801838498e-11,"1W",TRUE,"Up","FDR"
"G10090_33670","70350","Basp1",2.04902105117968,1.84671573488984e-11,"1W",TRUE,"Up","FDR"
"G10090_19925","320452","P4ha3",4.65502764391651,1.84671573488984e-11,"1W",TRUE,"Up","FDR"
"G10090_400","109225","Ms4a7",3.51035448462123,1.84671573488984e-11,"1W",TRUE,"Up","FDR"
"G10090_999","60525","Acss2",-1.49301778546565,1.98493650176459e-11,"1W",TRUE,"Down","FDR"
"G10090_9495","268396","Sh3pxd2b",2.58101336570204,1.98493650176459e-11,"1W",TRUE,"Up","FDR"
"G10090_5834","12552","Cdh11",3.47491272644206,1.98493650176459e-11,"1W",TRUE,"Up","FDR"
"G10090_23994","69574","Cmbl",-1.94358652496554,1.98493650176459e-11,"1W",TRUE,"Down","FDR"
"G10090_33626","78038","Mccc2",-1.40562331087062,2.00207524553138e-11,"1W",TRUE,"Down","FDR"
"G10090_17957","66848","Fuca2",0.941018552579929,2.17991233191417e-11,"1W",FALSE,"Up","FDR"
"G10090_11470","81799","C1qtnf3",5.7382437077514,2.32796250861461e-11,"1W",TRUE,"Up","FDR"
"G10090_22128","20377","Sfrp1",2.53600744338347,2.70379447302713e-11,"1W",TRUE,"Up","FDR"
