"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_17528","67895","Ppa1",-0.798500442485396,2.19235194857039e-06,"4W",FALSE,"Down","FDR"
"G10090_10387","67451","Pkp2",-1.29710051559252,2.19235194857039e-06,"4W",TRUE,"Down","FDR"
"G10090_16149","12321","Calu",0.937451980720986,2.19235194857039e-06,"4W",FALSE,"Up","FDR"
"G10090_3785","93757","Immp2l",-1.22574504947699,2.19235194857039e-06,"4W",TRUE,"Down","FDR"
"G10090_5060","21827","Thbs3",2.16236803261168,2.19235194857039e-06,"4W",TRUE,"Up","FDR"
"G10090_3548","217830","Dglucy",-0.834429850904823,2.19235194857039e-06,"4W",FALSE,"Down","FDR"
"G10090_11522","18007","Neo1",0.644988477276687,2.19235194857039e-06,"4W",FALSE,"Up","FDR"
"G10090_16467","100129","Gpr153",2.25273006799486,2.19250322710708e-06,"4W",TRUE,"Up","FDR"
"G10090_10005","12896","Cpt2",-0.835593342888006,2.19250322710708e-06,"4W",FALSE,"Down","FDR"
"G10090_10316","66659","Acp6",-0.869886012962738,2.19250322710708e-06,"4W",FALSE,"Down","FDR"
"G10090_2875","66148","Dnajc15",-1.07498309709321,2.19250322710708e-06,"4W",TRUE,"Down","FDR"
"G10090_14937","12036","Bcat2",-0.878282336997526,2.19250322710708e-06,"4W",FALSE,"Down","FDR"
"G10090_12650","77889","Lbh",1.36150277165211,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_1146","225207","Zfp521",0.770969675956467,2.27247783624488e-06,"4W",FALSE,"Up","FDR"
"G10090_31148","13051","Cx3cr1",2.33967736773023,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_17165","14042","Ext1",1.10557077904725,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_10080","67454","Ikbip",1.10127458137199,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_6988","212862","Chpt1",-1.136017380062,2.27247783624488e-06,"4W",TRUE,"Down","FDR"
"G10090_25486","13874","Ereg",3.298048994098,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_4342","20502","Slc16a2",1.91907268676837,2.27247783624488e-06,"4W",TRUE,"Up","FDR"
"G10090_14112","217707","Coq6",-0.669978479125304,2.3024802444693e-06,"4W",FALSE,"Down","FDR"
"G10090_13332","17965","Nbl1",1.84625104055734,2.3790502742392e-06,"4W",TRUE,"Up","FDR"
"G10090_12589","66500","Slc30a7",0.921085751316869,2.65223874330831e-06,"4W",FALSE,"Up","FDR"
"G10090_19511","14368","Fzd6",1.16606881688497,2.66681036721344e-06,"4W",TRUE,"Up","FDR"
"G10090_2302","75605","Kdm5b",0.690473163485938,2.67503360255619e-06,"4W",FALSE,"Up","FDR"
