"quant_file","quant_basename","geo_accession","sample_label","tissue","group"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140463_CON7_cartilage_quant.sf.txt.gz","GSM7140463_CON7_cartilage_quant.sf.txt.gz","GSM7140463","CON7","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140464_RECON8_cartilage_quant.sf.txt.gz","GSM7140464_RECON8_cartilage_quant.sf.txt.gz","GSM7140464","RECON8","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140465_RECON9_cartilage_quant.sf.txt.gz","GSM7140465_RECON9_cartilage_quant.sf.txt.gz","GSM7140465","RECON9","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140466_RECON10_cartilage_quant.sf.txt.gz","GSM7140466_RECON10_cartilage_quant.sf.txt.gz","GSM7140466","RECON10","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140467_RECON11_cartilage_quant.sf.txt.gz","GSM7140467_RECON11_cartilage_quant.sf.txt.gz","GSM7140467","RECON11","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140468_CON8_cartilage_quant.sf.txt.gz","GSM7140468_CON8_cartilage_quant.sf.txt.gz","GSM7140468","CON8","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140469_RECON12_cartilage_quant.sf.txt.gz","GSM7140469_RECON12_cartilage_quant.sf.txt.gz","GSM7140469","RECON12","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140470_CON9_cartilage_quant.sf.txt.gz","GSM7140470_CON9_cartilage_quant.sf.txt.gz","GSM7140470","CON9","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","GSM7140471","REPAIR1","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","GSM7140472","REPAIR2","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","GSM7140473","REPAIR3","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","GSM7140474","REPAIR4","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140475_CON10_cartilage_quant.sf.txt.gz","GSM7140475_CON10_cartilage_quant.sf.txt.gz","GSM7140475","CON10","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","GSM7140476","REPAIR5","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","GSM7140477","REPAIR6","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","GSM7140478","REPAIR7","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140479_CON11_cartilage_quant.sf.txt.gz","GSM7140479_CON11_cartilage_quant.sf.txt.gz","GSM7140479","CON11","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","GSM7140480","REPAIR8","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","GSM7140481","REPAIR9","cartilage","Repair_52W"
