"gene_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"ENSSSCG00000038925",0,0,0,0,0,0.287135,0.365806,0,0.438283,0,0,0,0,0.514142,0,0.450343,0,0,0,0,0,0,0,0
"ENSSSCG00000038927",9.475725,5.581112,6.712112,7.229742,5.24264,9.144902,7.188887,9.173529,7.736753,8.557669,5.665414,8.136615,4.540476,6.378941,5.098623,6.18801,6.32817,5.770058,5.684636,3.928385,5.961393,10.137449,5.048328,8.947798
"ENSSSCG00000038929",7.535407,4.172277,2.38221,10.299347,11.992034,15.385162,3.3318,5.446305,2.946166,6.928378,9.285989,7.805972,5.956486,4.624058,10.759424,26.738902,18.152681,18.735538,7.597925,29.567863,7.710391,3.726476,3.412526,4.231524
"ENSSSCG00000038931",57.580397,52.420384,40.410536,49.967083,38.8542,55.944824,53.958982,56.463221,54.181205,49.404654,53.585877,52.457619,38.859084,37.770313,44.824503,52.426531,38.667505,37.508345,44.934294,36.246435,46.453887,37.599555,34.39187,27.03009
"ENSSSCG00000038932",1.334412,1.386797,1.945423,1.257349,0.499708,0.459452,0.720282,0.786712,0.799892,0.392855,0.235424,0.217259,0.284839,0.911968,0.74333,0.359573,0.753916,1.254155,1.075864,0.639506,1.255046,0.374985,0.113605,0.26091
"ENSSSCG00000038933",34.881193,29.918398,36.398547,43.174335,32.960122,33.295845,38.134757,52.830713,33.908217,44.496729,19.505808,36.987718,32.684339,35.922383,40.287165,40.451264,33.159205,36.561456,23.8469,35.959201,32.56622,44.597131,24.141003,20.630719
"ENSSSCG00000038935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038938",85.963436,107.094255,115.359914,100.452338,129.878089,113.844367,119.220132,105.591135,117.529214,121.781704,121.07553,123.925902,85.03837,101.357696,89.696718,103.546728,87.688636,80.575609,95.981754,87.369742,72.899101,110.387507,107.230324,90.320569
