"sample_id","geo_accession","sample_label","tissue","group","sample_number","quant_file","quant_basename","sample_label_from_quant","group_from_quant","has_matching_synovium_quant_file"
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT9","synovium","ACLT_alone_52W",9,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","ACLT9","ACLT_alone_52W",TRUE
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT10","synovium","ACLT_alone_52W",10,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498_ACLT10_synovium_quant.sf.txt.gz","ACLT10","ACLT_alone_52W",TRUE
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11","synovium","ACLT_alone_52W",11,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499_ACLT11_synovium_quant.sf.txt.gz","ACLT11","ACLT_alone_52W",TRUE
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12","synovium","ACLT_alone_52W",12,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501_ACLT12_synovium_quant.sf.txt.gz","ACLT12","ACLT_alone_52W",TRUE
"GSM7140503_RECON1_synovium","GSM7140503","RECON1","synovium","Reconstruction_52W",1,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503_RECON1_synovium_quant.sf.txt.gz","RECON1","Reconstruction_52W",TRUE
"GSM7140504_RECON2_synovium","GSM7140504","RECON2","synovium","Reconstruction_52W",2,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504_RECON2_synovium_quant.sf.txt.gz","RECON2","Reconstruction_52W",TRUE
"GSM7140505_RECON3_synovium","GSM7140505","RECON3","synovium","Reconstruction_52W",3,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505_RECON3_synovium_quant.sf.txt.gz","RECON3","Reconstruction_52W",TRUE
"GSM7140506_RECON4_synovium","GSM7140506","RECON4","synovium","Reconstruction_52W",4,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506_RECON4_synovium_quant.sf.txt.gz","RECON4","Reconstruction_52W",TRUE
"GSM7140508_RECON5_synovium","GSM7140508","RECON5","synovium","Reconstruction_52W",5,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508_RECON5_synovium_quant.sf.txt.gz","RECON5","Reconstruction_52W",TRUE
"GSM7140509_RECON6_synovium","GSM7140509","RECON6","synovium","Reconstruction_52W",6,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509_RECON6_synovium_quant.sf.txt.gz","RECON6","Reconstruction_52W",TRUE
