"sample_id","geo_accession","sample_label","tissue","group","sample_number"
"GSM7140477_REPAIR6_cartilage","GSM7140477","REPAIR6","cartilage","Repair_52W",6
"GSM7140478_REPAIR7_cartilage","GSM7140478","REPAIR7","cartilage","Repair_52W",7
"GSM7140479_CON11_cartilage","GSM7140479","CON11","cartilage","Control_52W",11
"GSM7140480_REPAIR8_cartilage","GSM7140480","REPAIR8","cartilage","Repair_52W",8
"GSM7140481_REPAIR9_cartilage","GSM7140481","REPAIR9","cartilage","Repair_52W",9
"GSM7140482_REPAIR10_cartilage","GSM7140482","REPAIR10","cartilage","Repair_52W",10
"GSM7140483_REPAIR11_cartilage","GSM7140483","REPAIR11","cartilage","Repair_52W",11
"GSM7140484_CON12_cartilage","GSM7140484","CON12","cartilage","Control_52W",12
"GSM7140485_REPAIR12_cartilage","GSM7140485","REPAIR12","cartilage","Repair_52W",12
"GSM7140486_CON1_synovium","GSM7140486","CON1","synovium","Control_52W",1
"GSM7140487_ACLT1_synovium","GSM7140487","ACLT1","synovium","ACLT_alone_52W",1
"GSM7140488_ACLT2_synovium","GSM7140488","ACLT2","synovium","ACLT_alone_52W",2
"GSM7140489_ACLT3_synovium","GSM7140489","ACLT3","synovium","ACLT_alone_52W",3
"GSM7140490_ACLT4_synovium","GSM7140490","ACLT4","synovium","ACLT_alone_52W",4
"GSM7140491_CON2_synovium","GSM7140491","CON2","synovium","Control_52W",2
"GSM7140492_ACLT5_synovium","GSM7140492","ACLT5","synovium","ACLT_alone_52W",5
"GSM7140493_ACLT6_synovium","GSM7140493","ACLT6","synovium","ACLT_alone_52W",6
"GSM7140494_ACLT7_synovium","GSM7140494","ACLT7","synovium","ACLT_alone_52W",7
"GSM7140495_CON3_synovium","GSM7140495","CON3","synovium","Control_52W",3
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT8","synovium","ACLT_alone_52W",8
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT9","synovium","ACLT_alone_52W",9
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT10","synovium","ACLT_alone_52W",10
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11","synovium","ACLT_alone_52W",11
"GSM7140500_CON4_synovium","GSM7140500","CON4","synovium","Control_52W",4
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12","synovium","ACLT_alone_52W",12
"GSM7140502_CON5_synovium","GSM7140502","CON5","synovium","Control_52W",5
"GSM7140503_RECON1_synovium","GSM7140503","RECON1","synovium","Reconstruction_52W",1
"GSM7140504_RECON2_synovium","GSM7140504","RECON2","synovium","Reconstruction_52W",2
"GSM7140505_RECON3_synovium","GSM7140505","RECON3","synovium","Reconstruction_52W",3
"GSM7140506_RECON4_synovium","GSM7140506","RECON4","synovium","Reconstruction_52W",4
"GSM7140507_CON6_synovium","GSM7140507","CON6","synovium","Control_52W",6
"GSM7140508_RECON5_synovium","GSM7140508","RECON5","synovium","Reconstruction_52W",5
"GSM7140509_RECON6_synovium","GSM7140509","RECON6","synovium","Reconstruction_52W",6
"GSM7140510_RECON7_synovium","GSM7140510","RECON7","synovium","Reconstruction_52W",7
"GSM7140511_CON7_synovium","GSM7140511","CON7","synovium","Control_52W",7
"GSM7140512_RECON8_synovium","GSM7140512","RECON8","synovium","Reconstruction_52W",8
"GSM7140513_RECON9_synovium","GSM7140513","RECON9","synovium","Reconstruction_52W",9
"GSM7140514_RECON10_synovium","GSM7140514","RECON10","synovium","Reconstruction_52W",10
"GSM7140515_RECON11_synovium","GSM7140515","RECON11","synovium","Reconstruction_52W",11
"GSM7140516_CON8_synovium","GSM7140516","CON8","synovium","Control_52W",8
"GSM7140517_RECON12_synovium","GSM7140517","RECON12","synovium","Reconstruction_52W",12
"GSM7140518_CON9_synovium","GSM7140518","CON9","synovium","Control_52W",9
"GSM7140519_REPAIR1_synovium","GSM7140519","REPAIR1","synovium","Repair_52W",1
"GSM7140520_REPAIR2_synovium","GSM7140520","REPAIR2","synovium","Repair_52W",2
