"sample_id","geo_accession","sample_label","tissue","group","sample_number","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140506_RECON4_synovium","GSM7140506","RECON4","synovium","Reconstruction_52W",4,16300659.472,16561,16558,980960.397098,16561,0,0,2042.54890538812
"GSM7140508_RECON5_synovium","GSM7140508","RECON5","synovium","Reconstruction_52W",5,15637431.341,16424,16422,986033.348687,16424,0,0,2097.53852505833
"GSM7140509_RECON6_synovium","GSM7140509","RECON6","synovium","Reconstruction_52W",6,8900906.406,16066,16064,984638.562524,16066,0,0,1854.64304908243
"GSM7140510_RECON7_synovium","GSM7140510","RECON7","synovium","Reconstruction_52W",7,13919113.6,16006,16005,983773.525034,16006,0,0,2036.75502366842
"GSM7140512_RECON8_synovium","GSM7140512","RECON8","synovium","Reconstruction_52W",8,15195224.629,17139,17136,983263.7635,17139,0,0,1951.32909485032
"GSM7140513_RECON9_synovium","GSM7140513","RECON9","synovium","Reconstruction_52W",9,10735154.558,16596,16594,976122.315347,16596,0,0,2095.95851558923
"GSM7140514_RECON10_synovium","GSM7140514","RECON10","synovium","Reconstruction_52W",10,14154126.179,16572,16568,984848.563827,16572,0,0,2001.16093651422
"GSM7140515_RECON11_synovium","GSM7140515","RECON11","synovium","Reconstruction_52W",11,9371263.441,16219,16217,978270.325574,16219,0,0,2053.44782637952
"GSM7140517_RECON12_synovium","GSM7140517","RECON12","synovium","Reconstruction_52W",12,12986421.667,16005,16004,989178.247004,16005,0,0,2009.72110323323
"GSM7140519_REPAIR1_synovium","GSM7140519","REPAIR1","synovium","Repair_52W",1,13369016.349,16813,16811,979067.622161,16813,0,0,2023.61497805478
"GSM7140520_REPAIR2_synovium","GSM7140520","REPAIR2","synovium","Repair_52W",2,11851722.766,16783,16778,980626.187479,16783,0,0,2057.81287673925
"GSM7140521_REPAIR3_synovium","GSM7140521","REPAIR3","synovium","Repair_52W",3,12406428.096,16357,16356,974547.634847,16357,0,0,2058.66247086815
"GSM7140522_REPAIR4_synovium","GSM7140522","REPAIR4","synovium","Repair_52W",4,15881638.024,16890,16889,978649.104196,16890,0,0,2078.61959450549
"GSM7140524_REPAIR5_synovium","GSM7140524","REPAIR5","synovium","Repair_52W",5,12703186.47,16666,16663,985606.317764,16666,0,0,2102.099
"GSM7140525_REPAIR6_synovium","GSM7140525","REPAIR6","synovium","Repair_52W",6,13666054.37,16198,16192,983184.198656,16198,0,0,2016.65429025785
"GSM7140526_REPAIR7_synovium","GSM7140526","REPAIR7","synovium","Repair_52W",7,11246102.401,17117,17106,981139.558942,17117,0,0,1997.83863328507
"GSM7140528_REPAIR8_synovium","GSM7140528","REPAIR8","synovium","Repair_52W",8,15172038.29,16745,16742,983094.583946,16745,0,0,2060.14178482381
"GSM7140529_REPAIR9_synovium","GSM7140529","REPAIR9","synovium","Repair_52W",9,16703038.678,16788,16782,984412.129498,16788,0,0,2012.17647606133
"GSM7140530_REPAIR10_synovium","GSM7140530","REPAIR10","synovium","Repair_52W",10,14824418.45,16580,16576,973187.293597,16580,0,0,1974.24595779577
"GSM7140531_REPAIR11_synovium","GSM7140531","REPAIR11","synovium","Repair_52W",11,17197856.187,16962,16960,977270.680521,16962,0,0,2059.42103445127
"GSM7140533_REPAIR12_synovium","GSM7140533","REPAIR12","synovium","Repair_52W",12,13788693.661,16413,16405,978558.318249,16413,0,0,1864.1368002809
