"gene_id","GSM7140438_CON1_cartilage","GSM7140439_ACLT1_cartilage","GSM7140440_ACLT2_cartilage","GSM7140441_ACLT3_cartilage","GSM7140442_ACLT4_cartilage","GSM7140443_CON2_cartilage","GSM7140444_ACLT5_cartilage","GSM7140445_ACLT6_cartilage","GSM7140446_ACLT7_cartilage","GSM7140447_CON3_cartilage","GSM7140448_ACLT8_cartilage","GSM7140449_ACLT9_cartilage","GSM7140450_ACLT10_cartilage","GSM7140451_ACLT11_cartilage","GSM7140452_CON4_cartilage","GSM7140453_ACLT12_cartilage","GSM7140454_CON5_cartilage","GSM7140455_RECON1_cartilage","GSM7140456_RECON2_cartilage","GSM7140457_RECON3_cartilage","GSM7140458_RECON4_cartilage","GSM7140459_CON6_cartilage","GSM7140460_RECON5_cartilage","GSM7140461_RECON6_cartilage","GSM7140462_RECON7_cartilage","GSM7140463_CON7_cartilage","GSM7140464_RECON8_cartilage","GSM7140465_RECON9_cartilage","GSM7140466_RECON10_cartilage","GSM7140467_RECON11_cartilage","GSM7140468_CON8_cartilage","GSM7140469_RECON12_cartilage","GSM7140470_CON9_cartilage","GSM7140471_REPAIR1_cartilage","GSM7140472_REPAIR2_cartilage","GSM7140473_REPAIR3_cartilage","GSM7140474_REPAIR4_cartilage","GSM7140475_CON10_cartilage","GSM7140476_REPAIR5_cartilage","GSM7140477_REPAIR6_cartilage","GSM7140478_REPAIR7_cartilage","GSM7140479_CON11_cartilage","GSM7140480_REPAIR8_cartilage","GSM7140481_REPAIR9_cartilage","GSM7140482_REPAIR10_cartilage","GSM7140483_REPAIR11_cartilage","GSM7140484_CON12_cartilage","GSM7140485_REPAIR12_cartilage","GSM7140486_CON1_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140491_CON2_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140495_CON3_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140500_CON4_synovium","GSM7140501_ACLT12_synovium","GSM7140502_CON5_synovium","GSM7140503_RECON1_synovium","GSM7140504_RECON2_synovium","GSM7140505_RECON3_synovium","GSM7140506_RECON4_synovium","GSM7140507_CON6_synovium","GSM7140508_RECON5_synovium","GSM7140509_RECON6_synovium","GSM7140510_RECON7_synovium","GSM7140511_CON7_synovium","GSM7140512_RECON8_synovium","GSM7140513_RECON9_synovium","GSM7140514_RECON10_synovium","GSM7140515_RECON11_synovium","GSM7140516_CON8_synovium","GSM7140517_RECON12_synovium","GSM7140518_CON9_synovium","GSM7140519_REPAIR1_synovium","GSM7140520_REPAIR2_synovium","GSM7140521_REPAIR3_synovium","GSM7140522_REPAIR4_synovium","GSM7140523_CON10_synovium","GSM7140524_REPAIR5_synovium","GSM7140525_REPAIR6_synovium","GSM7140526_REPAIR7_synovium","GSM7140527_CON11_synovium","GSM7140528_REPAIR8_synovium","GSM7140529_REPAIR9_synovium","GSM7140530_REPAIR10_synovium","GSM7140531_REPAIR11_synovium","GSM7140532_CON12_synovium","GSM7140533_REPAIR12_synovium"
"ENSSSCG00000007797",2.712438,3.027088,2.154145,1.874055,2.874569,1.500762,1.655877,1.980879,2.006983,1.676317,1.991376,2.277046,2.139145,2.194803,1.568772,2.114525,1.683576,2.077,2.561296,2.501725,3.070528,2.629642,2.689481,2.230392,2.236215,2.116077,1.777031,1.507283,2.04416,2.412825,2.497081,2.798012,1.699087,1.54464,1.420677,1.823596,1.813349,2.180949,2.168153,1.730441,2.625017,1.447155,1.941986,1.497659,3.007699,2.528543,2.931599,2.057725,10.595327,9.300319,10.940151,3.713279,7.173033,7.05058,6.597304,5.510879,7.080502,13.638117,9.070296,6.433876,9.96482,2.335456,7.642518,8.720827,4.091622,6.232358,7.676517,6.174256,4.803829,5.768613,3.89833,6.211635,5.845999,10.840766,9.086164,4.891395,3.399668,6.489072,9.130996,4.951382,8.936849,7.778186,5.634779,4.815976,11.667288,13.780917,6.889209,6.106881,12.948239,4.585096,7.092941,4.869442,8.6315,10.741938,13.705508,7.209656
"ENSSSCG00000007798",11.195972,16.814652,18.471999,15.068366,15.94771,12.79757,20.157179,17.153215,14.832305,17.464855,18.5,18.182072,15.799492,13.696368,15.653425,15.65699,18.357047,16.049947,15.402118,15.583862,16.958832,13.650358,15.269297,16.697144,20.209324,15.949646,15.570038,17.794347,18.116334,13.781969,15.116575,16.447254,12.184023,12.703046,18.047061,16.251825,12.880682,14.435066,11.747999,13.537883,15.628939,16.91266,14.535755,16.081527,14.746066,14.076238,11.762753,10.84655,19.728457,19.872717,18.6763,18.305368,19.333554,19.36614,19.898014,21.765687,20.532045,20.540735,26.354736,22.972757,23.766248,11.906168,19.162539,19.684887,16.567573,22.433171,24.261615,21.942023,25.478999,19.952514,19.361693,16.841252,15.206887,22.441007,20.87151,23.60651,15.889275,19.07291,23.175365,15.910871,18.341631,24.035459,19.500569,21.292823,18.973776,21.963022,17.829528,18.282484,18.774403,13.537307,22.608244,13.334874,23.567252,20.284685,19.886644,18.347962
"ENSSSCG00000007799",0.266778,0.342866,0.842581,0.276134,0.185324,1.112402,0,0.291339,0.849131,0.56624,0.953075,1.375763,0.751814,0.505915,0.546243,0.691654,0.584473,0.498888,0.268224,0.446939,0.532091,0.624844,0.29377,0,0.199776,0.470098,0.706721,0.522067,0.728345,0.635559,0.338309,1.933356,0.423174,0.287321,0.581435,0.357332,0.889011,1.080226,0.665727,0.149722,0.573969,0.6012,0.804348,0.547093,0.710197,0.885256,0.48222,0.512,1.319576,0,0.167886,1.232347,0.191212,0,0.780097,0.447117,0.355918,0.191006,0.688014,0,1.787736,0,0.987978,0.488568,1.097265,1.868483,0.88173,0.572221,0.336853,0.632259,0.215253,0.480812,0.374391,1.035216,0.384008,0.171934,0.601199,0.58901,0.808861,0.640859,0.713043,0.136145,0.641483,0.880568,0.527504,0.845382,1.701174,0.472197,0.665409,0.774254,0.125425,0.113444,1.024897,0.881826,0.620913,0.865878
"ENSSSCG00000007800",0.199299,0.527646,0.275738,0.763774,0.409671,0.360637,0.683353,0,0.20184,0.094655,0.559593,0.28003,0.202584,0.288883,0.09304,0.224398,0.347898,0.116417,0.182376,0.15476,0.179318,0,0,0.49415,0,0,0.726055,0.302571,0.194165,0.421539,0,0,0.387649,0.293629,0.323545,0.612797,0.312265,0.370039,0.118006,0.61586,0.229024,0.393556,0.205769,0.293354,0.094955,0.502577,0.086729,0.231873,0.985457,2.229376,3.746198,0.0687,1.400725,0.724622,1.142369,0.204513,1.537386,1.646032,4.167809,0.849165,0.15316,1.306325,0.852178,0,0.097905,0.306407,0.473205,0.162709,0.157659,0.465577,0.298352,0.958144,0.184219,0.966569,2.136234,0.24587,0.175142,0.982769,0.782857,0.631897,1.602905,0.669351,1.635422,0,1.327711,1.023359,0.212753,0.167561,2.006943,0.459386,0.453006,0.674595,0.506185,2.197466,1.538699,0
"ENSSSCG00000007801",3.64059,4.292387,5.140748,2.114793,2.911606,3.322768,4.355585,4.160926,3.565681,4.066266,3.417363,4.557085,3.460532,2.473731,2.911273,2.015672,4.447055,3.554827,3.575614,3.724034,2.975251,2.999593,3.522916,3.482018,5.039279,2.883704,4.11554,3.192765,4.876008,2.439626,3.844486,4.378157,4.070793,3.367711,2.085006,3.739421,2.268116,3.986923,2.330054,2.171651,3.828982,4.542445,1.945363,3.547973,2.547587,2.604524,2.613692,2.172941,4.480294,4.543047,4.509338,3.755964,3.605707,6.009091,4.85098,4.351213,6.698069,5.265665,5.899964,6.41774,6.537887,2.775649,5.873435,1.623817,3.16524,6.985632,5.537221,5.364547,5.039376,4.220855,4.419621,2.946987,2.52421,4.769737,5.17644,5.557279,2.926916,4.826344,4.695167,5.616753,4.87674,5.954126,6.07625,5.543548,3.293805,4.660357,5.877962,4.598133,6.321457,3.733323,3.617819,3.914836,5.083345,4.823605,4.108154,3.183279
"ENSSSCG00000007803",17.087676,16.647567,15.865586,12.968859,18.162284,14.539516,17.437366,15.740295,18.52327,16.352701,13.182638,17.662328,16.843576,12.043587,15.913849,15.024993,14.86776,20.511075,16.091042,16.758762,14.727247,12.994782,13.350687,15.335243,16.890568,15.95322,17.00895,16.316783,17.885135,13.714576,15.176744,16.938789,15.716234,15.082398,10.750918,16.56057,12.293533,13.571352,9.93676,14.309067,18.324571,17.20174,14.378351,14.952179,12.601059,14.331512,10.048211,11.642471,25.266091,16.899441,22.062067,17.005005,20.235737,16.732659,23.897106,20.081321,25.24901,21.647866,19.597923,27.042342,20.384665,12.616809,23.589968,15.172177,21.629767,28.726176,27.074719,19.964472,26.880616,25.042435,20.009849,23.449321,19.451398,25.165031,23.409273,18.782,21.659364,14.134158,20.333101,19.968833,23.721074,27.159204,21.767059,22.511052,27.900064,21.927745,20.274427,23.366107,31.458275,23.95175,22.446629,17.869216,22.405868,21.893574,24.485696,24.423924
"ENSSSCG00000007804",17.545849,21.764724,22.408106,19.94988,25.480093,21.350052,21.270184,18.808008,21.63579,19.153678,27.867231,23.583633,26.231875,16.719266,21.025987,22.32386,20.557948,20.367837,18.794164,25.205422,26.272003,25.454578,22.483176,19.825655,21.973781,22.867945,20.44836,26.054239,21.218357,25.380612,19.896792,27.277125,16.16467,18.809656,21.485838,20.48617,17.929283,22.372929,16.255955,13.879358,19.491145,18.211611,21.772181,18.831921,20.336419,20.234234,16.176831,17.864899,25.008916,19.170161,22.772397,14.239653,16.505058,18.852595,17.87021,15.33576,17.91533,21.373192,20.114348,21.024595,22.991947,8.533806,19.067537,16.095546,12.725162,22.95468,20.489793,19.596717,22.292336,20.401274,15.36107,20.471279,13.906955,23.605039,20.541231,18.625484,14.960964,18.643786,20.119664,16.336185,15.265384,17.050096,18.321843,21.796903,15.952978,21.236457,21.56535,12.906469,23.219184,10.12086,19.016491,15.759002,16.497502,16.023411,17.338143,17.298963
"ENSSSCG00000007805",0.046106,0.118089,0.503334,0.249928,0.106788,0.460876,0.188403,0.400009,0.16142,0.183563,0.283857,0.131181,0.194039,0,0.219696,0.081598,0.099868,0.30428,0.174663,0.269109,0.275599,0.166307,0.142832,0.046572,0.280343,0.188664,0.43629,0.093367,0.066259,0.108206,0.088297,0.466731,0.266547,0.07574,0.291047,0.281688,0.148893,0.290069,0.393936,0.38413,0.072313,0.632414,0.07151,0.404238,0.227244,0.233767,0.08293,0.044222,0.092061,0,0,0.032027,0,0.200949,0,0.034449,0.238735,0,0.068151,0,0,0.1069,0.13059,0,0,0,0.070677,0.090744,0.458138,0,0,0,0,0.048665,0.035805,0,0,0.15772,0,0,0.038259,0.043718,0,0,0.071279,0.084573,0.048554,0,0.219337,0.070868,0,0,0.121469,0,0.136587,0.048588
"ENSSSCG00000007806",9.943309,11.032312,9.547292,8.587155,11.034004,13.279328,11.778353,10.169138,14.400656,11.684533,14.430119,10.848596,13.065581,8.746968,10.504315,12.201003,9.583566,12.241958,9.502716,11.639618,11.052162,13.764308,12.072054,9.745955,10.330708,11.477036,9.363315,12.569469,9.786278,14.506713,9.198791,12.030131,8.112527,9.375225,9.103151,11.606407,9.781642,12.785558,9.466025,5.775915,9.661484,12.841981,11.797132,7.777643,9.55108,10.674208,7.911251,9.728269,8.427736,9.759867,8.453159,7.203708,8.22992,9.602438,8.978235,5.057051,6.906346,12.297953,9.724118,9.764725,12.72535,3.809325,6.764057,8.211288,5.307453,7.919759,7.917242,10.407447,9.318778,6.086986,5.937612,8.902079,3.36595,9.00108,12.056358,10.631067,9.235918,9.107618,6.173649,4.480456,7.036029,8.130611,9.83229,7.011221,9.488504,8.943529,9.064899,6.198772,11.061115,4.787062,10.543481,5.532556,9.356544,5.877707,9.427253,8.147883
"ENSSSCG00000007807",0.881489,1.41305,1.107111,0.65602,1.307481,1.122597,0.635018,0.725409,1.491908,0.717898,1.228689,1.349398,1.498733,0.403798,1.175392,1.036548,0.245428,0.572251,0.388365,1.193831,1.274526,1.430179,1.794258,1.546389,0.506506,0.359154,0.850791,1.331011,1.022105,1.173417,1.843214,0.494416,0.150625,1.131619,0.397439,1.094554,0.523004,0.857449,0.536916,0.730598,1.030932,1.567681,1.001918,1.015451,0.468898,0.701174,0.659148,0.407102,0.580561,0.276536,0.180539,0,0,0,0,0,0.348397,0.284046,0.34102,0.258613,0,0.473043,0,0,0.135415,0,0.05367,0.54751,0.379562,0.058432,0.350256,0.245275,0.068207,0.145335,1.471222,0,0.066249,0.104435,0.098068,0,0.136627,0.19498,0.236136,0.499963,0.172887,0.140285,0,0,0.090486,0,0,0.440263,0.060169,0.399695,0,0.071688
