"branch","sample_id","group","score_name","score_value"
"trimmed","INJS3","ACLT_t7","up_score",0.491041919649724
"trimmed","INJS4","ACLT_t7","up_score",0.470901044466467
"trimmed","INJS5","ACLT_t7","up_score",0.656304904619954
"trimmed","INJS6","ACLT_t7","up_score",0.470786375854999
"trimmed","INJL1","ACLT_t28","up_score",0.0876111744146905
"trimmed","INJL2","ACLT_t28","up_score",0.138420964144174
"trimmed","INJL3","ACLT_t28","up_score",0.16668241388903
"trimmed","INJL4","ACLT_t28","up_score",0.129341701042471
"trimmed","INJL5","ACLT_t28","up_score",0.0316588942655524
"trimmed","INJL6","ACLT_t28","up_score",0.0511586651492166
"untrimmed","CON1","Control","down_score_reoriented",-0.499585940961261
"untrimmed","CON2","Control","down_score_reoriented",-0.672581078807184
"untrimmed","CON3","Control","down_score_reoriented",-0.331765824308293
"untrimmed","CON4","Control","down_score_reoriented",-0.751804242069554
"untrimmed","CON5","Control","down_score_reoriented",-0.670422022091882
"untrimmed","CON6","Control","down_score_reoriented",-0.390687073644755
"untrimmed","INJS1","ACLT_t7","down_score_reoriented",0.499396205120076
"untrimmed","INJS2","ACLT_t7","down_score_reoriented",0.0531674961248883
"untrimmed","INJS3","ACLT_t7","down_score_reoriented",-0.214549232983839
"untrimmed","INJS4","ACLT_t7","down_score_reoriented",0.0691063980779376
"untrimmed","INJS5","ACLT_t7","down_score_reoriented",0.0981643868923867
"untrimmed","INJS6","ACLT_t7","down_score_reoriented",0.0398250667843698
"untrimmed","INJL1","ACLT_t28","down_score_reoriented",0.211723602577577
"untrimmed","INJL2","ACLT_t28","down_score_reoriented",0.279332571386952
"untrimmed","INJL3","ACLT_t28","down_score_reoriented",0.857314151880872
"untrimmed","INJL4","ACLT_t28","down_score_reoriented",0.916614371074889
"untrimmed","INJL5","ACLT_t28","down_score_reoriented",0.374647808953974
"untrimmed","INJL6","ACLT_t28","down_score_reoriented",0.132103355992843
"trimmed","CON1","Control","down_score_reoriented",-0.493862089992843
"trimmed","CON2","Control","down_score_reoriented",-0.675253036102054
"trimmed","CON3","Control","down_score_reoriented",-0.312490395073777
"trimmed","CON4","Control","down_score_reoriented",-0.688174983159558
"trimmed","CON5","Control","down_score_reoriented",-0.660094318777231
"trimmed","CON6","Control","down_score_reoriented",-0.353870614507001
"trimmed","INJS1","ACLT_t7","down_score_reoriented",0.509954940594894
"trimmed","INJS2","ACLT_t7","down_score_reoriented",0.0309235004015258
"trimmed","INJS3","ACLT_t7","down_score_reoriented",-0.239479345384299
"trimmed","INJS4","ACLT_t7","down_score_reoriented",0.0773014114368969
"trimmed","INJS5","ACLT_t7","down_score_reoriented",0.0322998660838803
"trimmed","INJS6","ACLT_t7","down_score_reoriented",0.0439549933199773
"trimmed","INJL1","ACLT_t28","down_score_reoriented",0.21281280542631
"trimmed","INJL2","ACLT_t28","down_score_reoriented",0.266696392926084
"trimmed","INJL3","ACLT_t28","down_score_reoriented",0.82991331827906
"trimmed","INJL4","ACLT_t28","down_score_reoriented",0.899208350176956
"trimmed","INJL5","ACLT_t28","down_score_reoriented",0.371261319929083
"trimmed","INJL6","ACLT_t28","down_score_reoriented",0.14889788442209
"untrimmed","CON1","Control","down_score_raw",0.499585940961261
"untrimmed","CON2","Control","down_score_raw",0.672581078807184
"untrimmed","CON3","Control","down_score_raw",0.331765824308293
"untrimmed","CON4","Control","down_score_raw",0.751804242069554
"untrimmed","CON5","Control","down_score_raw",0.670422022091882
"untrimmed","CON6","Control","down_score_raw",0.390687073644755
"untrimmed","INJS1","ACLT_t7","down_score_raw",-0.499396205120076
"untrimmed","INJS2","ACLT_t7","down_score_raw",-0.0531674961248883
"untrimmed","INJS3","ACLT_t7","down_score_raw",0.214549232983839
"untrimmed","INJS4","ACLT_t7","down_score_raw",-0.0691063980779376
"untrimmed","INJS5","ACLT_t7","down_score_raw",-0.0981643868923867
"untrimmed","INJS6","ACLT_t7","down_score_raw",-0.0398250667843698
"untrimmed","INJL1","ACLT_t28","down_score_raw",-0.211723602577577
"untrimmed","INJL2","ACLT_t28","down_score_raw",-0.279332571386952
"untrimmed","INJL3","ACLT_t28","down_score_raw",-0.857314151880872
"untrimmed","INJL4","ACLT_t28","down_score_raw",-0.916614371074889
"untrimmed","INJL5","ACLT_t28","down_score_raw",-0.374647808953974
"untrimmed","INJL6","ACLT_t28","down_score_raw",-0.132103355992843
"trimmed","CON1","Control","down_score_raw",0.493862089992843
"trimmed","CON2","Control","down_score_raw",0.675253036102054
"trimmed","CON3","Control","down_score_raw",0.312490395073777
"trimmed","CON4","Control","down_score_raw",0.688174983159558
"trimmed","CON5","Control","down_score_raw",0.660094318777231
"trimmed","CON6","Control","down_score_raw",0.353870614507001
"trimmed","INJS1","ACLT_t7","down_score_raw",-0.509954940594894
"trimmed","INJS2","ACLT_t7","down_score_raw",-0.0309235004015258
"trimmed","INJS3","ACLT_t7","down_score_raw",0.239479345384299
"trimmed","INJS4","ACLT_t7","down_score_raw",-0.0773014114368969
"trimmed","INJS5","ACLT_t7","down_score_raw",-0.0322998660838803
"trimmed","INJS6","ACLT_t7","down_score_raw",-0.0439549933199773
"trimmed","INJL1","ACLT_t28","down_score_raw",-0.21281280542631
"trimmed","INJL2","ACLT_t28","down_score_raw",-0.266696392926084
"trimmed","INJL3","ACLT_t28","down_score_raw",-0.82991331827906
"trimmed","INJL4","ACLT_t28","down_score_raw",-0.899208350176956
"trimmed","INJL5","ACLT_t28","down_score_raw",-0.371261319929083
"trimmed","INJL6","ACLT_t28","down_score_raw",-0.14889788442209
"untrimmed","CON1","Control","total_score_unoriented",-0.394022705385907
"untrimmed","CON2","Control","total_score_unoriented",-0.506017997747129
"untrimmed","CON3","Control","total_score_unoriented",-0.601522614906243
"untrimmed","CON4","Control","total_score_unoriented",-0.402886368086851
"untrimmed","CON5","Control","total_score_unoriented",-0.0906877643585632
"untrimmed","CON6","Control","total_score_unoriented",-0.412708547485915
"untrimmed","INJS1","ACLT_t7","total_score_unoriented",0.225090135461425
"untrimmed","INJS2","ACLT_t7","total_score_unoriented",0.287920000770175
"untrimmed","INJS3","ACLT_t7","total_score_unoriented",0.441131611008901
"untrimmed","INJS4","ACLT_t7","total_score_unoriented",0.413029173888961
"untrimmed","INJS5","ACLT_t7","total_score_unoriented",0.50622977050853
"untrimmed","INJS6","ACLT_t7","total_score_unoriented",0.415590664393365
"untrimmed","INJL1","ACLT_t28","total_score_unoriented",0.0489107452814453
