"branch","comparison","score","n_control","n_case","median_control","median_case","mean_control","mean_case","median_difference_case_minus_control","mean_difference_case_minus_control","wilcox_p_value","BH_FDR_within_step"
"untrimmed","ACLT_t7_vs_Control","directional_score",6,6,-0.565306561140488,0.40506458220787,-0.548723052189898,0.405725684672596,0.970371143348358,0.954448736862494,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","directional_score",6,6,-0.565306561140488,0.126164511817836,-0.548723052189898,0.142997367517302,0.691471072958324,0.6917204197072,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t7_vs_Control","directional_score_sum_means",6,6,-1.05397908782406,0.540894982583442,-1.10090234227953,0.545019553085995,1.5948740704075,1.64592189536552,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","directional_score_sum_means",6,6,-1.05397908782406,0.40538336277508,-1.10090234227953,0.55588278919353,1.45936245059914,1.65678513147306,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t7_vs_Control","up_score",6,6,-0.558419475577696,0.480822530716733,-0.548094645299038,0.454167833083359,1.03924200629443,1.0022624783824,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","up_score",6,6,-0.558419475577696,0.100277714179636,-0.548094645299038,0.0939268122156792,0.658697189757332,0.642021457514717,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t7_vs_Control","down_score_reoriented",6,6,-0.585003981526572,0.061136947101413,-0.552807696980488,0.0908517200026365,0.646140928627985,0.643659416983125,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","down_score_reoriented",6,6,-0.585003981526572,0.326990190170463,-0.552807696980488,0.461955976977851,0.911994171697035,1.01476367395834,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t7_vs_Control","down_score_raw",6,6,0.585003981526572,-0.061136947101413,0.552807696980488,-0.0908517200026365,-0.646140928627985,-0.643659416983125,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","down_score_raw",6,6,0.585003981526572,-0.326990190170463,0.552807696980488,-0.461955976977851,-0.911994171697035,-1.01476367395834,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t7_vs_Control","total_score_unoriented",6,6,-0.407797457786383,0.414309919141163,-0.401307666328435,0.38149855933856,0.822107376927546,0.782806225666994,0.00507486809794025,0.00507486809794025
"untrimmed","ACLT_t28_vs_Control","total_score_unoriented",6,6,-0.407797457786383,0.0234004426894988,-0.401307666328435,0.0198091069898752,0.431197900475881,0.42111677331831,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","directional_score",6,6,-0.589057043058815,0.403757304581092,-0.560075755181233,0.412065313958056,0.992814347639907,0.97214106913929,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","directional_score",6,6,-0.589057043058815,0.129914539932334,-0.560075755181233,0.148010441223177,0.71897158299115,0.70808619640441,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","directional_score_sum_means",6,6,-1.04711741509754,0.53147191253917,-1.0952309971801,0.539620349835983,1.57858932763671,1.63485134701609,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","directional_score_sum_means",6,6,-1.04711741509754,0.404018785632447,-1.0952309971801,0.55561064734412,1.45113620072999,1.65084164452422,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","up_score",6,6,-0.599523849862744,0.470843710160733,-0.564606757578026,0.463794455427171,1.07036756002348,1.0284012130052,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","up_score",6,6,-0.599523849862744,0.108476437728581,-0.564606757578026,0.100812302150856,0.708000287591325,0.665419059728882,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","down_score_reoriented",6,6,-0.576978204385037,0.0381274297019288,-0.530624239602077,0.0758258944088126,0.615105634086965,0.60645013401089,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","down_score_reoriented",6,6,-0.576978204385037,0.318978856427583,-0.530624239602077,0.454798345193264,0.89595706081262,0.985422584795341,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","down_score_raw",6,6,0.576978204385037,-0.0381274297019288,0.530624239602077,-0.0758258944088126,-0.615105634086965,-0.60645013401089,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","down_score_raw",6,6,0.576978204385037,-0.318978856427583,0.530624239602077,-0.454798345193264,-0.89595706081262,-0.985422584795341,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t7_vs_Control","total_score_unoriented",6,6,-0.450117630036608,0.399980788488844,-0.418575957954013,0.39184507544904,0.850098418525451,0.810421033403052,0.00507486809794025,0.00507486809794025
"trimmed","ACLT_t28_vs_Control","total_score_unoriented",6,6,-0.450117630036608,0.029143720736497,-0.418575957954013,0.0267308825049732,0.479261350773104,0.445306840458986,0.00507486809794025,0.00507486809794025
