"metric","value"
"input_count_matrix_genes","22438"
"input_count_matrix_samples","24"
"filterByExpr_applied_before_scoring","FALSE"
"edgeR_DGEList_used","TRUE"
"TMM_normalization","edgeR::calcNormFactors(method = 'TMM')"
"logCPM_function","edgeR::cpm(log = TRUE)"
"prior_count","1"
"normalized_lib_sizes","TRUE"
"estimated_counts_rounded","FALSE"
