"sample_id","group","score_name","score_value"
"GSM7140511_CON7_synovium","Control_52W","down_score_reoriented",0.137119330470995
"GSM7140516_CON8_synovium","Control_52W","down_score_reoriented",0.303040704698058
"GSM7140518_CON9_synovium","Control_52W","down_score_reoriented",-0.359292132977426
"GSM7140523_CON10_synovium","Control_52W","down_score_reoriented",0.194499006413586
"GSM7140527_CON11_synovium","Control_52W","down_score_reoriented",0.384973204182013
"GSM7140532_CON12_synovium","Control_52W","down_score_reoriented",0.0504171558706965
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","down_score_reoriented",-0.0172366329064814
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","down_score_reoriented",0.0691324756649917
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","down_score_reoriented",0.487720063705137
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","down_score_reoriented",0.216383114212769
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","down_score_reoriented",0.303889305262691
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","down_score_reoriented",0.110411153824359
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","down_score_reoriented",0.121241069993767
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","down_score_reoriented",-0.148365797472086
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","down_score_reoriented",0.15122767560268
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","down_score_reoriented",-0.106209105550803
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","down_score_reoriented",0.586553149760842
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","down_score_reoriented",-0.315017280325295
"GSM7140486_CON1_synovium","Control_52W","down_score_raw",-0.184047317723358
"GSM7140491_CON2_synovium","Control_52W","down_score_raw",0.626031052512297
"GSM7140495_CON3_synovium","Control_52W","down_score_raw",0.210786976509095
"GSM7140500_CON4_synovium","Control_52W","down_score_raw",0.151762838522411
"GSM7140502_CON5_synovium","Control_52W","down_score_raw",0.430371103985933
"GSM7140507_CON6_synovium","Control_52W","down_score_raw",0.935581806624117
"GSM7140511_CON7_synovium","Control_52W","down_score_raw",-0.137119330470995
"GSM7140516_CON8_synovium","Control_52W","down_score_raw",-0.303040704698058
"GSM7140518_CON9_synovium","Control_52W","down_score_raw",0.359292132977426
"GSM7140523_CON10_synovium","Control_52W","down_score_raw",-0.194499006413586
"GSM7140527_CON11_synovium","Control_52W","down_score_raw",-0.384973204182013
"GSM7140532_CON12_synovium","Control_52W","down_score_raw",-0.0504171558706965
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","down_score_raw",0.0172366329064814
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","down_score_raw",-0.0691324756649917
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","down_score_raw",-0.487720063705137
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","down_score_raw",-0.216383114212769
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","down_score_raw",-0.303889305262691
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","down_score_raw",-0.110411153824359
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","down_score_raw",-0.121241069993767
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","down_score_raw",0.148365797472086
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","down_score_raw",-0.15122767560268
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","down_score_raw",0.106209105550803
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","down_score_raw",-0.586553149760842
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","down_score_raw",0.315017280325295
"GSM7140486_CON1_synovium","Control_52W","total_score_unoriented",-0.107932136732163
"GSM7140491_CON2_synovium","Control_52W","total_score_unoriented",-0.0414755386575988
"GSM7140495_CON3_synovium","Control_52W","total_score_unoriented",0.0387616800374865
"GSM7140500_CON4_synovium","Control_52W","total_score_unoriented",-0.48943727594195
"GSM7140502_CON5_synovium","Control_52W","total_score_unoriented",0.113651923458097
"GSM7140507_CON6_synovium","Control_52W","total_score_unoriented",-0.136997799440493
"GSM7140511_CON7_synovium","Control_52W","total_score_unoriented",-0.235913127217186
"GSM7140516_CON8_synovium","Control_52W","total_score_unoriented",-0.507504573216318
"GSM7140518_CON9_synovium","Control_52W","total_score_unoriented",0.0162921118002842
"GSM7140523_CON10_synovium","Control_52W","total_score_unoriented",-0.125614248348258
"GSM7140527_CON11_synovium","Control_52W","total_score_unoriented",0.225450405017829
"GSM7140532_CON12_synovium","Control_52W","total_score_unoriented",-0.372773595744056
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","total_score_unoriented",0.356571658574525
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","total_score_unoriented",0.162425510743735
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","total_score_unoriented",0.0470020006543001
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","total_score_unoriented",0.323048109878979
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","total_score_unoriented",0.0868720145944378
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","total_score_unoriented",0.371725813088225
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","total_score_unoriented",0.109663224406849
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","total_score_unoriented",0.120640477966648
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","total_score_unoriented",0.0331618830396994
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","total_score_unoriented",0.0320782488922281
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","total_score_unoriented",-0.260691466831814
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","total_score_unoriented",0.240994699976513
