"sample_id","group"
"CON1","Control"
"CON2","Control"
"CON3","Control"
"CON4","Control"
"CON5","Control"
"CON6","Control"
"INJS1","ACLT-untreated-1W"
"INJS2","ACLT-untreated-1W"
"INJS3","ACLT-untreated-1W"
"INJS4","ACLT-untreated-1W"
"INJS5","ACLT-untreated-1W"
"INJS6","ACLT-untreated-1W"
"INJL1","ACLT-untreated-4W"
"INJL2","ACLT-untreated-4W"
"INJL3","ACLT-untreated-4W"
"INJL4","ACLT-untreated-4W"
"INJL5","ACLT-untreated-4W"
"INJL6","ACLT-untreated-4W"
