"sample_id","group","group_raw","total_score_unoriented","up_score","down_score_raw","down_score_reoriented","directional_score","directional_score_sum_means"
"CON1","Control","CON_t0",-0.394022705385907,-0.531500958670087,0.499585940961261,-0.499585940961261,-0.527245622975577,-1.03108689963135
"CON2","Control","CON_t0",-0.506017997747129,-0.687340932601639,0.672581078807184,-0.672581078807184,-0.685372952095711,-1.35992201140882
"CON3","Control","CON_t0",-0.601522614906243,-0.74510545170848,0.331765824308293,-0.331765824308293,-0.689993501388455,-1.07687127601677
"CON4","Control","CON_t0",-0.402886368086851,-0.580531077341682,0.751804242069554,-0.751804242069554,-0.603367499305398,-1.33233531941124
"CON5","Control","CON_t0",-0.0906877643585632,-0.207781577658632,0.670422022091882,-0.670422022091882,-0.269466970249732,-0.878203599750514
"CON6","Control","CON_t0",-0.412708547485915,-0.53630787381371,0.390687073644755,-0.390687073644755,-0.516891767124516,-0.926994947458465
"INJS1","ACLT_t7","ACLT_untreated_t7",0.225090135461425,0.336549572473964,-0.499396205120076,0.499396205120076,0.358262456826779,0.83594577759404
"INJS2","ACLT_t7","ACLT_untreated_t7",0.287920000770175,0.340395000292493,-0.0531674961248883,0.0531674961248883,0.302097999736812,0.393562496417381
"INJS3","ACLT_t7","ACLT_untreated_t7",0.441131611008901,0.475990438397372,0.214549232983839,-0.214549232983839,0.38391848221321,0.261441205413533
"INJS4","ACLT_t7","ACLT_untreated_t7",0.413029173888961,0.487203877268484,-0.0691063980779376,0.0691063980779376,0.431457546709744,0.556310275346422
"INJS5","ACLT_t7","ACLT_untreated_t7",0.50622977050853,0.599213487031748,-0.0981643868923867,0.0981643868923867,0.5324069403465,0.697377873924134
"INJS6","ACLT_t7","ACLT_untreated_t7",0.415590664393365,0.485654623036094,-0.0398250667843698,0.0398250667843698,0.42621068220253,0.525479689820463
"INJL1","ACLT_t28","ACLT_untreated_t28",0.0489107452814453,0.0890083372597563,-0.211723602577577,0.211723602577577,0.105370372635466,0.300731939837333
"INJL2","ACLT_t28","ACLT_untreated_t28",0.0724699652970189,0.126593432479168,-0.279332571386952,0.279332571386952,0.146958651000206,0.40592600386612
"INJL3","ACLT_t28","ACLT_untreated_t28",0.00549321431096993,0.138232809109715,-0.857314151880872,0.857314151880872,0.234110321479203,0.995546960990587
"INJL4","ACLT_t28","ACLT_untreated_t28",-0.0255411038570719,0.111547091099515,-0.916614371074889,0.916614371074889,0.218889395096232,1.0281614621744
"INJL5","ACLT_t28","ACLT_untreated_t28",-0.0237858501611387,0.0301929127300667,-0.374647808953974,0.374647808953974,0.0761202322265876,0.40484072168404
"INJL6","ACLT_t28","ACLT_untreated_t28",0.0413076710680277,0.0679862906158539,-0.132103355992843,0.132103355992843,0.0765352326661191,0.200089646608697
