"column_name","core_group","value","Freq"
"manifest__R1_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508838/ERR2508838_1.fastq.gz",1
"manifest__R1_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508848/ERR2508848_1.fastq.gz",1
"manifest__R1_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508839/ERR2508839_1.fastq.gz",1
"manifest__R1_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508849/ERR2508849_1.fastq.gz",1
"manifest__R2_file","CON_t0","CON1_R2.fastq.gz",1
"manifest__R2_file","CON_t0","CON2_R2.fastq.gz",1
"manifest__R2_file","CON_t0","CON3_R2.fastq.gz",1
"manifest__R2_file","CON_t0","CON4_R2.fastq.gz",1
"manifest__R2_file","CON_t0","CON5_R2.fastq.gz",1
"manifest__R2_file","CON_t0","CON6_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL1_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL2_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL3_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL4_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL5_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t28","INJL6_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS1_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS2_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS3_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS4_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS5_R2.fastq.gz",1
"manifest__R2_file","ACLT_untreated_t7","INJS6_R2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508840/ERR2508840_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508850/ERR2508850_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508841/ERR2508841_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508851/ERR2508851_2.fastq.gz",1
