"sample_id","mouse_id","sex","timepoint","treatment"
"M130L","M130","M","1W","Contra"
"M130R","M130","M","1W","ACLR"
"M135L","M135","M","1W","Contra"
"M135R","M135","M","1W","ACLR"
"M142L","M142","F","1W","Contra"
"M142R","M142","F","1W","ACLR"
"M143L","M143","F","1W","Contra"
"M143R","M143","F","1W","ACLR"
"M147L","M147","M","1W","Contra"
"M147R","M147","M","1W","ACLR"
"M153L","M153","M","1W","Contra"
"M153R","M153","M","1W","ACLR"
"M158L","M158","F","1W","Contra"
"M158R","M158","F","1W","ACLR"
"M160L","M160","F","1W","Contra"
"M160R","M160","F","1W","ACLR"
"M163L","M163","M","1W","Contra"
"M163R","M163","M","1W","ACLR"
"M167L","M167","M","1W","Contra"
"M167R","M167","M","1W","ACLR"
"M174L","M174","F","1W","Contra"
"M174R","M174","F","1W","ACLR"
"M178L","M178","F","1W","Contra"
"M178R","M178","F","1W","ACLR"
