"category","role","required","source_exact_rel","source_basename_candidates","source_resolved","destination","selection_mode","n_exact_basename_candidates","status","source_size_bytes","copied_size_bytes","source_modified_time","copied_modified_time","md5_copied_file","all_exact_basename_candidates","error_message"
"fastp_qc","H2w1 smoke test summary",FALSE,"rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w1_wsl_fastp_smoke_test_summary.csv","stepH2w1_wsl_fastp_smoke_test_summary.csv","","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/tables/01_fastp_qc_and_trimming/stepH2w1_wsl_fastp_smoke_test_summary.csv","not_found",0,"NOT_FOUND",NA,NA,NA,NA,NA,"",""
"fastp_qc","H2w1 smoke test file check",FALSE,"rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w1_wsl_fastp_smoke_test_file_check.csv","stepH2w1_wsl_fastp_smoke_test_file_check.csv","","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/tables/01_fastp_qc_and_trimming/stepH2w1_wsl_fastp_smoke_test_file_check.csv","not_found",0,"NOT_FOUND",NA,NA,NA,NA,NA,"",""
"logs","H2w1 fastp version check log",FALSE,"rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w1_wsl_fastp_version_check.log","stepH2w1_wsl_fastp_version_check.log","","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/logs/stepH2w1_wsl_fastp_version_check.log","not_found",0,"NOT_FOUND",NA,NA,NA,NA,NA,"",""
"logs","H2w1 CON1 smoke fastp log",FALSE,"rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w1_CON1_smoke_fastp.log","stepH2w1_CON1_smoke_fastp.log","","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/logs/stepH2w1_CON1_smoke_fastp.log","not_found",0,"NOT_FOUND",NA,NA,NA,NA,NA,"",""
