"item","value"
"R_version","4.5.2"
"ggplot2_version","4.0.2"
"dplyr_version","1.1.4"
"source_step","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability"
"branch_plotted","trimmed fastp sensitivity branch"
"rank_statistic","sign(logFC) * -log10(PValue), inherited from StepH2w9_current78"
"gene_identifier_for_GSEA","pig gene symbols"
"target_pathways_note","fgsea was run on the full Hallmark collection in StepH2w9; target pathways were extracted afterward"
"figure_role","supplementary sensitivity figure, not replacement for primary Figure4B"
