"display_label","CON1","CON2","CON3","CON4","CON5","CON6","INJS1","INJS2","INJS3","INJS4","INJS5","INJS6","INJL1","INJL2","INJL3","INJL4","INJL5","INJL6"
"FASN",0.728272999052225,1.36156931607996,1.23341552025858,1.59969395936536,1.44694149767555,1.39756050891618,-1.22793020165015,-0.809850119034278,-0.199000684458649,-0.301211167393394,-0.437939410445966,0.0523934440704865,-0.735393647946635,-0.838938826622047,-0.851947016870399,-0.950527954335075,-0.891541409172049,-0.575566807489698
"PPARG",1.33317210679993,1.09339435057647,1.54807178502006,1.62847816587962,1.07808727563709,1.27727877055586,-0.607442956648483,-1.03597105583502,-0.149161810267783,-0.618332733407138,-0.770780216106367,-0.480434817108191,-0.608879901190269,-0.982393055951989,-1.02893946401553,-0.871811568782791,-0.534743803577496,-0.269591071577969
"CBS",0.66503703168095,1.20310050328329,1.56584003742711,1.43771790158121,1.07755163151453,1.48267147496913,-0.801959432275789,-0.703441056333548,-0.173276931102448,-0.271139774853651,-1.0463428184359,0.0373533071827502,-0.668825847223363,-0.885436777136051,-1.00861580696347,-1.51905695203569,-0.557210104118078,0.16603361283902
"ENTPD7",-1.69458133180579,-0.718063745482177,0.0911504165177969,1.13091320875274,0.62669352564872,0.124445962776993,-1.3708136701284,-0.670083903502648,0.224763796394994,-1.77800671723571,-0.967409441285157,1.11012081849405,-0.145317062469418,1.01577547246731,1.18444802161446,0.373107640114625,0.209874651007894,1.2529823581197
"HTRA1",-1.29975390980814,0.344948352278554,1.19389929106843,1.24014341999339,0.376686585046471,-0.0464310364484041,-0.77076828791729,-0.633647887680206,-1.69961296764223,-0.905390216535096,-1.58769889900215,-0.381359476272594,0.095922542093227,1.22427236111212,0.950221017739996,-0.146572304120774,0.71413144333413,1.33100997276055
"RUNX1",-1.54314029977228,-0.823767435462915,0.841172532396036,1.68922581150397,0.400023765167923,0.854919836016726,-1.05127842694668,-0.992019403673204,-0.207608325020628,-0.752770420663787,-1.01422555482098,-0.118658422713963,-0.377829233464482,0.377604803215352,1.18010925333757,-0.5046610145776,0.0922122571480497,1.95069027833089
"SERPINE1",0.506571223849915,0.544235906518872,-0.10842678714897,-0.532597904802091,0.402258075256237,-0.137216745428789,-0.305558696796786,-1.31562193571993,-1.37626507908644,-2,-0.551082518500194,-0.0314904043697305,2,-0.10875079009759,1.08284918932187,-0.169340799032014,0.629545415995519,1.35978223446635
"SPARC",-0.187650778982701,0.849895184476644,0.847393797041849,0.0838972685903038,-1.13599483707468,0.0949146879421383,-0.644409912069372,-0.193777903693179,-2,-0.918442570590645,-0.935201875779941,-0.893716587366407,-0.229053825095067,1.17446776442291,1.12052929596255,1.91840238998159,0.91467876415373,0.140112989002126
"TNFSF15",-1.29439393269337,-1.80974749740789,1.72744012867386,0.683361999908217,0.242315669872299,-0.529925478947562,-0.733008108173415,-1.02407970622078,1.03195257740175,0.60873603510595,-1.0001145598719,0.191605768505492,-0.354154044394099,0.661809036276862,1.591335804671,-0.662830393536073,-0.134706124725688,0.804402825555341
"BUB1",-1.70361080109895,-1.73206684925961,-1.98860972983101,-0.238448680159261,-1.08667956542549,-0.0948419619922649,0.716052478633014,0.899521385664573,0.966083556063959,0.892916001761966,1.07272064054001,0.602024217755292,-0.218177774917023,0.805172446207407,0.614147679106317,-0.107591368657074,0.120111372399359,0.481276953208786
"CCNB1",-2,-0.866659833986132,-1.61126582342247,-0.141748860848792,-0.947177695755192,-0.617098324168336,1.13999049923011,1.35274512172585,0.891911114753723,0.939632601662694,1.37431333798694,0.498131333035698,-0.344879052430897,0.549631439273199,-0.138495798627444,0.17611746454606,-0.121284437389054,0.0835595463390344
"CDK1",-2,-0.0440303514417146,-2,0.329766802285179,-1.11305969142856,-0.361784179512022,1.07145447838844,1.23296822916883,0.570181802354376,0.155525350202305,0.467745078916353,0.33172064196118,-0.0756308717295368,0.946340616306996,0.520580441552226,0.141318650595345,-0.0305329771972005,0.491266835168085
"CKAP2",-1.95359505829574,-1.25070259665201,-2,0.532760139659059,-0.836495982876627,-0.419835532620198,0.864005352521539,1.08491587381247,1.21797911923642,0.688718206191605,0.879190949268778,0.168461206979319,-0.247874476856631,0.41066740496734,0.476361157584957,-0.0396224848583432,0.0448976199881388,0.605032933661708
"ESPL1",-1.82075426568001,-1.4062000053034,-1.99543959731318,0.478116477251084,-0.144149940416413,0.33125732372641,0.520531854274585,0.950624635902852,1.07074139864028,0.597640726644105,1.20969771893006,0.658951057025931,0.0788037094164016,0.578549081123705,0.289941806555462,-1.08961316617637,-0.906274727232655,0.59757591263114
"FOXM1",-2,-1.71216462670016,-0.446968049340916,-0.751139060489636,-0.895866678065634,-0.158217402472791,0.476246223456224,1.14949095435008,1.54336773455986,1.1396985806701,1.30444930219958,0.511058125172592,0.0510419059077141,0.447888589050852,0.357004021360022,-0.916416354428253,-0.0246696881926274,-0.0470500375421957
"HIF1A",-0.0809141958130945,0.0574162468006971,0.228916777466054,1.44074459324827,1.16784835576365,0.627023784419467,-0.988384161295962,-1.00341092247535,-0.930988021732406,-1.21495484745259,-1.81662355149206,-0.436794175269573,-1.11774298002463,0.796874197174891,0.647730456517428,0.287696687580457,0.873355628871811,1.46220612771292
"KIF20A",-1.75996697000461,-1.58157753106977,-1.82124085095908,0.0365584549436817,-0.906912752990381,-0.691394617448058,1.0874305245164,1.2679230138546,1.0906202796719,0.696082865543144,1.27618497375065,0.486916526006879,0.0445369679763728,0.56409503851138,0.111279796084667,-0.168084565999954,-0.0333924758333457,0.300941323445535
"KIF2C",-2,-1.12611483354462,-0.954967820471186,0.532950799199972,-0.995134667090501,-0.770106759091912,0.513729031642208,1.26064304371937,1.27104715859767,1.38874469690341,1.23281326613494,0.245751533495163,-0.234406583122244,0.350311987007911,0.126626873220168,-0.127314770182995,-0.653690395785801,0.237260663258107
"KIFC1",-2,-0.0996871278647601,-0.287575823782923,0.730968194537409,-0.324595703384293,0.766000932438737,-0.0914055580563029,0.678673641658759,0.974412499660825,0.62985098890974,1.07308197520168,0.351925792681639,-0.524714816600505,0.163966759379358,-0.202510149592137,-0.406745149284306,-0.233656117972136,0.260251689377505
"LOXL2",0.249841389423571,-0.232378990257861,-1.47354044263418,0.601383644971863,-1.30919473837913,-2,0.00881553547844917,-0.415406812167735,-1.03545916806025,0.0763105501900206,0.665701394102554,0.0189942921257201,0.738444045852736,0.301538017420208,0.694127290179746,2,0.441066175708713,0.551269844546814
"NEK2",-1.47238013639258,-1.21106086295859,-2,-0.441844475766094,-0.653720502470178,-0.190337621527768,0.489587779542951,1.34482569746925,0.894177081994938,1.30177039126473,0.424536692003287,0.646467274862022,-0.057841403341399,0.574148626943692,0.358534748596241,-0.0294174234277628,0.607640990431847,0.00997162890213887
"RACGAP1",-2,-1.36085942554608,-1.68649697784131,0.680494793245827,-0.470936470811764,-0.232153555194409,0.558368966569638,0.733632816591328,1.04893952306245,0.504234267753535,0.637316138831475,0.116206326514513,-0.0498853040587512,0.959804401325266,0.787469641636913,-0.116979896798957,0.0521267971613644,0.507605160313509
"SDC1",1.05045072854617,1.36391598131166,0.256185861439199,-0.348639063528553,0.207520654387981,-2,-1.33267741921994,-0.977799466243862,-0.860556152538116,-0.445152926529195,-0.437957439500689,0.709141771316004,-0.196582743010688,1.11456522741375,0.158570851726466,1.09880730750265,0.118095222402231,0.967084434359095
"TTK",-2,-1.01327492612938,-0.792258025748564,0.0075646239871038,-1.55203536164081,-1.09066621319739,1.25708133118388,0.755765884709229,0.626829146231007,0.706767319263365,0.884673910117935,0.391122675661871,-1.02226514726156,1.01711638337753,0.495992447718175,0.14130636373249,0.339255445904035,0.947057843081639
