"item","value"
"R_version","4.5.2"
"edgeR_version","4.8.2"
"pheatmap_version","1.0.13"
"RColorBrewer_version","1.1.3"
"input_core_definition","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w10_current78_core_gene_sensitivity_audit/stepH2w10_current78_main24_core_genes_trimmed_preservation_table.csv"
"trimmed_expression_source","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_gene_level_counts_matrix.csv"
"normalization","TMM-normalized logCPM"
"row_standardization","row-wise z-score clipped to [-2, 2]"
"interpretation","sensitivity visualization only; does not redefine the official core gene set"
