"M130L","M130R","M135L","M135R","M142L","M142R","M143L","M143R","M147L","M147R","M153L","M153R","M158L","M158R","M160L","M160R","M163L","M163R","M167L","M167R","M174L","M174R","M178L","M178R","M131L","M131R","M137L","M137R","M140L","M140R","M146L","M146R","M150L","M150R","M154L","M154R","M157L","M157R","M161L","M161R","M166L","M166R","M169L","M169R","M173L","M173R","M176L","M176R","gene_id"
2.59456338179325,2.1128585871537,2.44461579861418,1.70073542590516,1.37122228285894,1.48136182280495,1.42481380563909,1.34433975828105,3.34086864824201,3.16139633344018,2.83757672061889,2.81118509100404,2.88366742042884,3.1413161192896,2.9868939557881,3.10412911094361,2.48186719891273,2.86270042287941,2.92428090358809,0.739446289344911,1.69111234213543,2.56096535573479,2.5698958449576,1.32087036597893,2.14959297692203,2.23674604927622,2.67957465770583,1.40629071207869,2.57609048795433,2.05294568834065,1.50756684794103,1.18111911962475,2.42274562914532,2.00485595886024,2.5691209260683,2.71473729313135,1.27801931551511,1.31900420276288,1.91641291329311,2.21477932820666,3.00272886837208,1.59009810632504,2.57535478771836,2.73934455961523,2.43130611475246,1.36016880843431,3.11959244742521,2.99625456651001,"G10090_20435"
-1.87796402570473,-1.36082392684752,-4.9938598546404,-0.50877983561785,-0.00462496242681628,0.00887568789925415,-0.129777872793781,-0.451021588519796,-4.9938598546404,-1.81447731023671,-3.29255895231204,-2.79886761153822,-2.04720604477956,-1.39862182053494,-3.91122001761942,-1.28287830391048,-2.08657209361259,-1.05325530685618,-2.3020629787608,-0.110433670521627,-1.56127370680224,-0.666828193270426,-1.83200383256001,0.143269815904541,-2.9099383306988,-2.2423436892797,-3.2124312163216,-2.46928249051453,-2.29329918258562,-0.870246856770109,-0.242833071332775,-0.793318266415231,-3.72501871759442,-2.85338082550665,-3.73323322900201,-2.42591113984359,-1.19755636751551,-0.419790767000743,-1.57817077868585,-2.04330411038479,-3.88772924989141,-0.93047314363659,-4.9938598546404,-1.90252237576448,-2.16580540045205,-2.46287770787515,-1.28507906356207,-2.67787507147184,"G10090_7229"
6.08700690547401,5.98849936953986,6.393200514957,5.03936192563803,5.57332816185698,4.75218409250876,5.83184479187545,4.91758594283636,6.06566502716293,5.42024848043059,5.31461790075052,5.40979237103391,6.00511041225795,5.09789721649745,5.50903226536646,5.19560374186329,6.18566941887806,6.10849332263229,6.30807058260737,4.65532595811833,5.89416058805544,5.60513067811978,6.17188914187057,5.24023018504537,6.04925555595076,5.59293268626218,6.25778480821108,5.0218942068576,6.31077125901927,5.41253490980715,5.97558000651114,5.11124635276473,6.20605869270094,5.24714202235725,6.19319568346547,5.90909319299765,5.48718238109377,5.45229813196092,5.67491237632504,5.51673518358237,5.90346919725714,5.18456353914987,5.77943526037733,5.48697631462219,5.87248820851875,5.13360028034416,5.70165009798539,5.67427187757701,"G10090_6078"
6.71437974225459,7.46894738703101,5.49086351879681,8.74040966817549,8.059607063489,9.19873862404482,7.31994275284179,9.27596514088459,6.18752193197701,7.89693158486288,7.87707397233324,7.57910911189149,6.30137519397501,8.9962759235152,6.52223446731096,8.75726144462603,7.22067452941325,8.14387575087034,6.50637894187849,9.27408440853757,7.14466903636827,8.47180267471894,5.53071969692661,8.64187904206301,7.27019657338891,8.35282778807391,6.75353869228358,8.76063377975982,5.9381285568183,8.3415756797588,7.6884286299137,7.97276124093953,6.65424153607468,8.29505907655532,6.15872701443673,6.75512993019991,7.44862831575733,8.05191141989441,7.37818186936787,7.96229812851318,7.01399280857274,8.69334596772836,7.00794240841357,8.59734806233354,6.60096262722716,8.16884019295462,7.23640233280045,7.72364839141278,"G10090_5196"
3.60067126693188,1.87822927188456,2.92356109100157,2.61264682901016,3.71701852811827,2.95606748736005,4.37287644610441,2.49857463512322,2.05558553297828,2.37426292547948,3.84221168424087,2.62777625696099,2.9753636514468,1.93795045526412,2.68180955225231,1.47334172892343,2.68677985107794,2.09724676289427,3.33648082809315,2.80167993894635,3.41361145012051,2.32705474313567,3.34728982606326,2.51000996627993,3.76626255981431,2.90642891143507,3.50984172515619,2.50494486310043,3.27736041800608,2.71279326914893,3.85034207598088,2.74813073522597,3.41265566534466,3.23517458080186,2.88555064261607,2.86812399866666,4.05771029161862,2.78793824898534,3.72811992439805,2.70464698811512,3.61995489229891,3.5021230686723,3.47405845374288,2.69262603545191,3.15716883964608,2.62770699480311,3.63588427578164,2.5379060480852,"G10090_1177"
4.06685804519567,3.70942924117462,3.24489731466248,4.19785916498846,4.756737167069,4.5797645733053,4.34810711305651,4.22382024325899,3.13506318864293,3.64610539533148,3.9484289900021,3.87663679470477,3.22319536314451,3.82937521918541,3.66237490877517,3.54052787777096,3.22915029693896,3.53398643642678,3.32406610696434,4.23289156134158,3.95805024556511,3.72541739110687,3.65410257847176,4.68970395624358,4.2867244163143,4.0931834850226,3.75033512928486,4.90785743190175,3.27774565512835,4.00154572571538,4.78255789051283,4.23420289799385,3.63444057503925,3.86873945186591,3.11472513344357,3.72045733565052,4.78226773169561,4.14849529389706,4.09274820841989,3.92402148004113,3.58123607523835,4.14920313341895,2.82051748452077,3.59007080971475,3.94010426091255,4.47939543430148,3.90859463394405,3.57237391900953,"G10090_24170"
5.87178787353415,5.32875916706704,5.34764782294221,6.48265362260444,6.18431073461267,6.28180074003182,6.11104050757069,6.22923270459217,5.58812164541232,6.14669773892074,6.05910208463583,6.16255883036065,5.75545519752405,5.9147204173531,5.92174089156317,5.9745496423426,5.41959124020481,5.5638085475319,5.6274448961286,6.49959751388767,6.23444078446586,6.11035609887827,5.2943650306192,6.27480086197185,6.23198020419904,6.15573545584548,5.76008079806223,6.79000883082667,5.51110197906339,6.4339220088823,6.54270989440014,6.86609589590731,6.11778887157872,6.84536794236788,5.30556578681304,5.41721190266005,6.88347056032703,6.17431208663593,6.17801242412749,6.37734960829041,5.95668911967931,6.80568210348169,6.05029059070539,6.45612592187037,5.8117709654942,6.49916114292543,6.21344790407198,5.95943690618782,"G10090_11159"
2.62499644391198,2.54203393242193,2.56280539982608,2.87208618052097,2.59718226831663,2.73248955719689,2.17470514673086,2.71319015472989,1.35987006077012,2.3295918442457,1.97026995264518,2.89068211765725,1.9341857466724,2.2775596620163,2.42333441495228,2.48276750699305,2.65908262110113,2.43433759356385,2.49681880224616,2.86788281812456,2.40395237151765,2.59573058219498,2.56949165718755,2.92394611580109,2.88467948105051,2.62058735868153,2.28961451139003,2.94302039437926,2.01611059805589,2.74616422744765,2.6966323762249,3.09558504277557,2.08209554245301,2.73072868594375,1.72996953150278,2.08651171378939,2.49528518362768,2.54049186213935,2.51875421010257,2.71130948601252,1.77896883310519,2.8659156277199,2.64302332962957,2.6321023949961,2.17373004103847,2.74554562624453,1.92089625950942,2.52230962851489,"G10090_12960"
4.31672041722321,3.96528893532543,4.01129816485165,3.59612451815856,3.6069476655603,3.34019195872496,3.8012604876906,3.36575671158017,5.42743013603036,4.62038825881147,4.97478907560472,4.460571462771,5.2097373804935,4.63614101612746,4.84799451012892,4.75104324843929,4.89244678919987,4.64581288468398,4.96261623629644,2.80167993894635,3.63208784508544,4.40647686087489,4.77569448000723,3.49204058510114,4.37655386032104,4.1527821818329,5.12107762903035,3.5750052377736,4.81162375846971,3.98988690220447,3.51021947463178,3.1311774192607,4.2453632831981,3.66479510639646,4.81995760920022,5.30171416349148,2.7270643975593,3.33430020867046,3.702150120702,4.22570962173294,5.12830054810844,3.55209549982801,4.073515411526,4.76144182813251,4.51927274567935,3.50544224985127,5.28269837169019,5.24188730429129,"G10090_20475"
-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-3.75184026707941,-4.99385985464041,-4.9938598546404,-3.50007221296664,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.99385985464041,-4.9938598546404,-4.9938598546404,-2.29329918258562,-3.5916093472092,-4.9938598546404,-4.18163579113131,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-3.94102006918413,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.9938598546404,-4.99385985464041,-4.9938598546404,-3.99757155426184,"G10090_30796"
