"title","mouse_id","treatment","time_point","Sex","score_type","score","id","score_label"
"M178R","M178","ACLR","1W","F","CellAge_induces",0.186370124316918,24,"CellAge induces"
"M131L","M131","Contra","4W","M","CellAge_induces",0.00293911718757629,25,"CellAge induces"
"M131R","M131","ACLR","4W","M","CellAge_induces",0.109921037651369,26,"CellAge induces"
"M137L","M137","Contra","4W","M","CellAge_induces",-0.0140134494242435,27,"CellAge induces"
"M137R","M137","ACLR","4W","M","CellAge_induces",0.266321694310453,28,"CellAge induces"
"M140L","M140","Contra","4W","F","CellAge_induces",-0.212109552876487,29,"CellAge induces"
"M140R","M140","ACLR","4W","F","CellAge_induces",0.113409174607928,30,"CellAge induces"
"M146L","M146","Contra","4W","F","CellAge_induces",0.0332595381588103,31,"CellAge induces"
"M146R","M146","ACLR","4W","F","CellAge_induces",0.178628547925138,32,"CellAge induces"
"M150L","M150","Contra","4W","M","CellAge_induces",-0.207918303016115,33,"CellAge induces"
"M150R","M150","ACLR","4W","M","CellAge_induces",0.182471940836577,34,"CellAge induces"
"M154L","M154","Contra","4W","M","CellAge_induces",-0.247958750935647,35,"CellAge induces"
"M154R","M154","ACLR","4W","M","CellAge_induces",-0.245180135664648,36,"CellAge induces"
"M157L","M157","Contra","4W","F","CellAge_induces",0.266376374247401,37,"CellAge induces"
"M157R","M157","ACLR","4W","F","CellAge_induces",0.127885301337896,38,"CellAge induces"
"M161L","M161","Contra","4W","F","CellAge_induces",0.0547008182288877,39,"CellAge induces"
"M161R","M161","ACLR","4W","F","CellAge_induces",0.159357420114152,40,"CellAge induces"
"M166L","M166","Contra","4W","M","CellAge_induces",-0.114537616580432,41,"CellAge induces"
"M166R","M166","ACLR","4W","M","CellAge_induces",0.17434902610785,42,"CellAge induces"
"M169L","M169","Contra","4W","M","CellAge_induces",-0.241632312562739,43,"CellAge induces"
"M169R","M169","ACLR","4W","M","CellAge_induces",0.0673890329905271,44,"CellAge induces"
"M173L","M173","Contra","4W","F","CellAge_induces",-0.10709248496806,45,"CellAge induces"
"M173R","M173","ACLR","4W","F","CellAge_induces",0.127282997600193,46,"CellAge induces"
"M176L","M176","Contra","4W","F","CellAge_induces",0.0717004926454783,47,"CellAge induces"
"M176R","M176","ACLR","4W","F","CellAge_induces",0.0230262259529452,48,"CellAge induces"
"M130L","M130","Contra","1W","M","CellAge_inhibits",-0.16066217044819,1,"CellAge inhibits"
"M130R","M130","ACLR","1W","M","CellAge_inhibits",0.120371626491469,2,"CellAge inhibits"
"M135L","M135","Contra","1W","M","CellAge_inhibits",-0.236074315627378,3,"CellAge inhibits"
"M135R","M135","ACLR","1W","M","CellAge_inhibits",0.052992327713178,4,"CellAge inhibits"
"M142L","M142","Contra","1W","F","CellAge_inhibits",0.166452432434886,5,"CellAge inhibits"
"M142R","M142","ACLR","1W","F","CellAge_inhibits",0.0836774213222203,6,"CellAge inhibits"
"M143L","M143","Contra","1W","F","CellAge_inhibits",-0.0513670576325496,7,"CellAge inhibits"
"M143R","M143","ACLR","1W","F","CellAge_inhibits",0.176093740463972,8,"CellAge inhibits"
"M147L","M147","Contra","1W","M","CellAge_inhibits",-0.0193537960145944,9,"CellAge inhibits"
"M147R","M147","ACLR","1W","M","CellAge_inhibits",0.150372252712653,10,"CellAge inhibits"
"M153L","M153","Contra","1W","M","CellAge_inhibits",0.0571499933016002,11,"CellAge inhibits"
"M153R","M153","ACLR","1W","M","CellAge_inhibits",0.173237582570952,12,"CellAge inhibits"
"M158L","M158","Contra","1W","F","CellAge_inhibits",-0.133372578347493,13,"CellAge inhibits"
"M158R","M158","ACLR","1W","F","CellAge_inhibits",0.439640299282819,14,"CellAge inhibits"
"M160L","M160","Contra","1W","F","CellAge_inhibits",-0.142606241560182,15,"CellAge inhibits"
"M160R","M160","ACLR","1W","F","CellAge_inhibits",0.301833474821487,16,"CellAge inhibits"
"M163L","M163","Contra","1W","M","CellAge_inhibits",-0.115998390431018,17,"CellAge inhibits"
"M163R","M163","ACLR","1W","M","CellAge_inhibits",0.122689516643733,18,"CellAge inhibits"
"M167L","M167","Contra","1W","M","CellAge_inhibits",-0.105406242884363,19,"CellAge inhibits"
"M167R","M167","ACLR","1W","M","CellAge_inhibits",0.0519837247574774,20,"CellAge inhibits"
"M174L","M174","Contra","1W","F","CellAge_inhibits",-0.155123523797427,21,"CellAge inhibits"
"M174R","M174","ACLR","1W","F","CellAge_inhibits",0.239265796170335,22,"CellAge inhibits"
"M178L","M178","Contra","1W","F","CellAge_inhibits",-0.189426809403235,23,"CellAge inhibits"
"M178R","M178","ACLR","1W","F","CellAge_inhibits",0.0749184827385716,24,"CellAge inhibits"
"M131L","M131","Contra","4W","M","CellAge_inhibits",-0.21374295984778,25,"CellAge inhibits"
"M131R","M131","ACLR","4W","M","CellAge_inhibits",0.0896668208127891,26,"CellAge inhibits"
"M137L","M137","Contra","4W","M","CellAge_inhibits",0.0268921337136168,27,"CellAge inhibits"
"M137R","M137","ACLR","4W","M","CellAge_inhibits",0.205151423602814,28,"CellAge inhibits"
"M140L","M140","Contra","4W","F","CellAge_inhibits",-0.0567815684158115,29,"CellAge inhibits"
"M140R","M140","ACLR","4W","F","CellAge_inhibits",-0.0568183599665974,30,"CellAge inhibits"
"M146L","M146","Contra","4W","F","CellAge_inhibits",-0.172614315201437,31,"CellAge inhibits"
"M146R","M146","ACLR","4W","F","CellAge_inhibits",-0.160122826363212,32,"CellAge inhibits"
"M150L","M150","Contra","4W","M","CellAge_inhibits",-0.196995545840378,33,"CellAge inhibits"
"M150R","M150","ACLR","4W","M","CellAge_inhibits",-0.022328525155499,34,"CellAge inhibits"
"M154L","M154","Contra","4W","M","CellAge_inhibits",0.12952936151569,35,"CellAge inhibits"
"M154R","M154","ACLR","4W","M","CellAge_inhibits",-0.0720019185284662,36,"CellAge inhibits"
"M157L","M157","Contra","4W","F","CellAge_inhibits",-0.0132590770478504,37,"CellAge inhibits"
"M157R","M157","ACLR","4W","F","CellAge_inhibits",-0.138557492059804,38,"CellAge inhibits"
"M161L","M161","Contra","4W","F","CellAge_inhibits",-0.0280117543155137,39,"CellAge inhibits"
"M161R","M161","ACLR","4W","F","CellAge_inhibits",0.103674192505461,40,"CellAge inhibits"
"M166L","M166","Contra","4W","M","CellAge_inhibits",-0.0751461926871333,41,"CellAge inhibits"
"M166R","M166","ACLR","4W","M","CellAge_inhibits",-0.109416774062951,42,"CellAge inhibits"
"M169L","M169","Contra","4W","M","CellAge_inhibits",-0.272357772659807,43,"CellAge inhibits"
"M169R","M169","ACLR","4W","M","CellAge_inhibits",0.136714380168114,44,"CellAge inhibits"
"M173L","M173","Contra","4W","F","CellAge_inhibits",-0.0488072556497132,45,"CellAge inhibits"
"M173R","M173","ACLR","4W","F","CellAge_inhibits",-0.123428237673891,46,"CellAge inhibits"
"M176L","M176","Contra","4W","F","CellAge_inhibits",0.0906540602239218,47,"CellAge inhibits"
"M176R","M176","ACLR","4W","F","CellAge_inhibits",0.0768206576545117,48,"CellAge inhibits"
