"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","combined_score","Direction","heatmap_label"
"G10090_23994",69574,"Cmbl",-1.94358652496554,1.98493650176459e-11,"Down",-1.41431882122152,2.8069905731064e-06,"Down","Down","persistent_direction_consistent",28.6527127690808,"Persistent_down","Cmbl"
"G10090_14376",104158,"Ces1d",-2.6017223272666,7.34027510826591e-09,"Down",-1.62561436485197,4.98117270026032e-05,"Down","Down","persistent_direction_consistent",28.1576373880014,"Persistent_down","Ces1d"
"G10090_3298",70564,"Prxl2a",-2.01608961491753,4.20560830125124e-10,"Down",-1.59186463641701,1.70583664455986e-06,"Down","Down","persistent_direction_consistent",28.0851761516693,"Persistent_down","Prxl2a"
"G10090_8472",57264,"Retn",-2.65713816287866,1.33724835922699e-07,"Down",-1.97622793111884,1.26042759037014e-05,"Down","Down","persistent_direction_consistent",27.9470975942205,"Persistent_down","Retn"
"G10090_11354",110595,"Timp4",-2.41093286747625,9.9715920651632e-10,"Down",-1.32303077006913,1.94777734694742e-05,"Down","Down","persistent_direction_consistent",27.9334589400827,"Persistent_down","Timp4"
"G10090_24857",69386,"H4c8",-2.27762497617903,1.3474592594819e-09,"Down",-1.30101884216517,2.8069905731064e-06,"Down","Down","persistent_direction_consistent",27.4265798478531,"Persistent_down","H4c8"
"G10090_13462",68393,"Mogat1",-3.18431774458747,2.59491789205004e-06,"Down",-2.00755902097683,3.61559357158388e-05,"Down","Down","persistent_direction_consistent",26.7044218766373,"Persistent_down","Mogat1"
"G10090_13568",13106,"Cyp2e1",-3.0669722779831,2.3719669227934e-06,"Down",-1.84334052328737,1.05027825261399e-05,"Down","Down","persistent_direction_consistent",26.4288173056046,"Persistent_down","Cyp2e1"
"G10090_21695",23831,"Car14",-2.64888374921188,2.66619728280438e-09,"Down",-1.13917324045952,0.00103703475440617,"Down","Down","persistent_direction_consistent",26.1113430033856,"Persistent_down","Car14"
"G10090_3551",18639,"Pfkfb1",-2.05221784991714,1.94627478961857e-10,"Down",-1.25388075172277,1.2339799534153e-05,"Down","Down","persistent_direction_consistent",26.0835828494768,"Persistent_down","Pfkfb1"
"G10090_33723",382384,"Cimap1d",-4.12858063169879,7.58394114555041e-06,"Down",-1.80801594361996,0.00217931236495847,"Down","Down","persistent_direction_consistent",25.9511273366417,"Persistent_down","Cimap1d"
"G10090_23167",76187,"Adhfe1",-2.06010442726456,2.66857977144708e-10,"Down",-1.30247490852535,1.71192589902558e-05,"Down","Down","persistent_direction_consistent",25.9311288045139,"Persistent_down","Adhfe1"
"G10090_29882",12351,"Car4",-2.2564145147657,9.21195464921142e-08,"Down",-1.8129360886927,5.91358348451566e-06,"Down","Down","persistent_direction_consistent",25.3536392234839,"Persistent_down","Car4"
"G10090_15207",239790,"Ostn",-2.83376476016889,6.71507736772224e-08,"Down",-1.53452024574326,0.000567230948533452,"Down","Down","persistent_direction_consistent",25.3078711718717,"Persistent_down","Ostn"
"G10090_23832",13850,"Ephx2",-2.04910086818699,7.20403235042781e-09,"Down",-1.5321445511979,2.91693907810287e-06,"Down","Down","persistent_direction_consistent",25.1651801835265,"Persistent_down","Ephx2"
"G10090_11759",18979,"Pon1",-2.80323280121436,7.72942555349528e-08,"Down",-1.47329552514875,0.000289578877749035,"Down","Down","persistent_direction_consistent",25.1490420158438,"Persistent_down","Pon1"
"G10090_9136",72148,"Tdrp",-1.7992722140435,1.92809042822764e-10,"Down",-1.12374068991183,5.27228201047083e-07,"Down","Down","persistent_direction_consistent",24.5345459228209,"Persistent_down","Tdrp"
"G10090_32252",75552,"Paqr9",-2.12577502769172,4.6319651825698e-09,"Down",-1.37365447614347,2.18794274501078e-05,"Down","Down","persistent_direction_consistent",24.117888501247,"Persistent_down","Paqr9"
"G10090_6344",68241,"Mcrip2",-1.9313786928762,5.30304582549961e-10,"Down",-1.15901583955724,1.24928672460555e-05,"Down","Down","persistent_direction_consistent",23.5975003111294,"Persistent_down","Mcrip2"
"G10090_922",19125,"Prodh",-1.77369343078908,5.11512961290624e-11,"Down",-1.09933441698998,2.59324964996507e-05,"Down","Down","persistent_direction_consistent",23.2950521398837,"Persistent_down","Prodh"
