"gene_id","logFC","logCPM","F","PValue","FDR","comparison","direction","FDR_lt_0_05","strict_DE_FDR_0_05_abslogFC_1","strict_direction"
"ENSSSCG00000016658",2.99845562222672,4.21304570375166,451.780484553796,5.6210988183389e-12,3.24129030948747e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000015581",4.11887269021752,3.83017835066126,441.609727557936,6.75559436279714e-12,3.24129030948747e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000008747",3.48171044586027,3.04327850019164,440.252976777091,6.99854005411212e-12,3.24129030948747e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000007235",3.35779491028046,4.99370846983772,421.137274520048,9.00045903363406e-12,3.24129030948747e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000012377",3.82533294773684,3.49179336532343,399.147156148949,1.3371746512962e-11,3.85240017038436e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000004969",3.35719592020148,3.83303305458704,355.393500883195,2.83386862823672e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000028840",1.92959892607665,3.61880772578598,336.458394370406,4.05486712216026e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000017473",3.50419138619488,5.10335501071522,335.328542180533,4.14351073819193e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000011309",3.57269772710251,2.92708826551383,337.635519307696,4.20200256093862e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000017583",-2.86801971493279,4.59822564971901,330.44893611813,4.56816570492839e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000010471",3.12297214481096,3.32717915139087,327.391549907442,4.93081346226722e-11,6.45712435672358e-08,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000008501",-4.2862402142531,5.10176258793214,308.493512226923,7.24576800985022e-11,8.69794068182437e-08,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000003628",2.29463528265113,3.07016891601105,280.451573515688,1.36856041122112e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000007423",3.42523829928468,3.62339004455677,277.655506021005,1.47175443729242e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000032909",3.12573970510666,3.25267023926612,271.412806908081,1.71537430897137e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000014256",3.97915955134661,3.39155013733312,269.77215828869,1.84251008374844e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000029509",2.52276714672608,3.87227653046463,265.828253445408,1.94141551463069e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000007366",2.69808794093552,3.77492382051355,263.146346323141,2.07854555374814e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000003931",3.29767391897536,3.38874593882454,261.756815271926,2.17987008321034e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000027093",-2.36292141076662,4.73567102385571,260.158826188102,2.2329285709236e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000004588",3.3639006205394,3.15938232131195,259.665657147794,2.32283295277122e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000003697",3.5244226943974,2.58324820902457,260.468799488348,2.41382577723965e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000025344",1.8406913722287,7.24389718265845,255.60143686101,2.50653158326456e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000014326",3.85723020345847,4.77377355348046,255.665515648728,2.51476392952636e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000009839",3.24991391579932,3.52779559308604,255.854856179822,2.5228717253263e-10,1.45367868813301e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000008889",-6.52607845381654,2.19145679072276,132.81951031151,2.66836460370206e-10,1.47837661985877e-07,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000029326",3.7951508203963,4.0219244592483,250.369915742144,2.90981824763228e-10,1.54566469666395e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000000171",1.62177044298126,6.02582621644112,248.677404199116,3.00441593242558e-10,1.54566469666395e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000035537",1.42810676747169,6.03389429705669,246.846568830242,3.15430677229271e-10,1.56682031223712e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000030469",3.86842245337449,3.35039071548082,241.835408140806,3.76493664750793e-10,1.80779708024506e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000008150",-3.59292668774414,3.01576868507515,238.270452394728,4.15364377135984e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000000217",2.82934212705462,4.71172315041004,236.451448627853,4.19350940142482e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000010495",1.64157902384509,6.45922511721282,235.52273613257,4.2960945681897e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000005056",4.02086791713558,3.40335657541131,236.716605203786,4.35999681713634e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000005344",3.61725904540748,2.45905847951791,237.550568205454,4.51881826272256e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000004565",4.66316267820828,6.01136117648505,233.581371657731,4.548208144973e-10,1.81991495356489e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000006273",1.69200982915078,4.68959914518895,231.262801121012,4.84690421970809e-10,1.88701771040257e-07,"ACLT_t7_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000013341",-6.96476802515367,2.81049438135271,132.54760879819,5.35318545245918e-10,1.99283742054192e-07,"ACLT_t7_vs_Control_t0","down",TRUE,TRUE,"strict_down"
